year,sampreg,sex,plh0033,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Very concerned,0.1909128133341015,1262,12006,0.19075229385550954,0.19107333281269348
1984,West,male,Somewhat concerned,0.4307919463230513,2566,12006,0.4305896994359824,0.43099419321012017
1984,West,male,Not concerned at all,0.3782952403428473,2048,12006,0.37809716971666374,0.3784933109690308
1984,West,female,Very concerned,0.17879625729237897,1250,12006,0.17864909367308118,0.17894342091167675
1984,West,female,Somewhat concerned,0.4156445274455837,2636,12006,0.41545525151957496,0.4158338033715925
1984,West,female,Not concerned at all,0.4055592152620373,2244,12006,0.40537064325439176,0.40574778726968286
1985,West,male,Very concerned,0.19828442824693374,1157,10857,0.19812287631157766,0.19844598018228982
1985,West,male,Somewhat concerned,0.42679555577583306,2367,10857,0.42659514437684776,0.42699596717481836
1985,West,male,Not concerned at all,0.3749200159772332,1822,10857,0.37472386304232436,0.375116168912142
1985,West,female,Very concerned,0.1769790727510937,1074,10857,0.17683298901449993,0.17712515648768748
1985,West,female,Somewhat concerned,0.4432492773427287,2500,10857,0.44305913016450543,0.4434394245209519
1985,West,female,Not concerned at all,0.37977164990617773,1937,10857,0.379585881202927,0.37995741860942844
1986,West,male,Very concerned,0.16354679795401464,981,10411,0.16339717821068295,0.16369641769734633
1986,West,male,Somewhat concerned,0.4034768756093862,2163,10411,0.40327841696289907,0.4036753342558734
1986,West,male,Not concerned at all,0.43297632643659917,2016,10411,0.4327758885892348,0.4331767642839635
1986,West,female,Very concerned,0.14900759101110983,888,10411,0.14887078920226826,0.1491443928199514
1986,West,female,Somewhat concerned,0.4041081456178495,2227,10411,0.40391962566316786,0.4042966655725312
1986,West,female,Not concerned at all,0.4468842633710407,2136,10411,0.44669326470321874,0.44707526203886266
1987,West,male,Very concerned,0.15682510887599768,893,10285,0.15667808636917196,0.1569721313828234
1987,West,male,Somewhat concerned,0.4497593872064066,2371,10285,0.44955825406748307,0.4499605203453302
1987,West,male,Not concerned at all,0.39341550391759555,1839,10285,0.39321799414893466,0.39361301368625645
1987,West,female,Very concerned,0.14868485391037004,889,10285,0.1485482446673145,0.14882146315342556
1987,West,female,Somewhat concerned,0.43708785651915816,2366,10285,0.4368973954496053,0.437278317588711
1987,West,female,Not concerned at all,0.4142272895704718,1927,10285,0.41403814866631433,0.4144164304746292
1988,West,male,Very concerned,0.15645949189112693,906,9836,0.15631354756822416,0.1566054362140297
1988,West,male,Somewhat concerned,0.44094122336322655,2244,9836,0.4407417649484758,0.44114068177797733
1988,West,male,Not concerned at all,0.4025992847456465,1727,9836,0.4024022682248492,0.4027963012664438
1988,West,female,Very concerned,0.15162119601486945,862,9836,0.15148337075177815,0.15175902127796076
1988,West,female,Somewhat concerned,0.4473927331456298,2322,9836,0.44720165688873775,0.4475838094025218
1988,West,female,Not concerned at all,0.40098607083950083,1775,9836,0.4007977332228008,0.40117440845620084
1989,West,male,Very concerned,0.12895280402551862,762,9511,0.12881885893175601,0.12908674911928122
1989,West,male,Somewhat concerned,0.41407628015044845,2015,9511,0.41387942295729735,0.41427313734359955
1989,West,male,Not concerned at all,0.4569709158240329,1924,9511,0.45677182722187243,0.4571700044261933
1989,West,female,Very concerned,0.12309448268184663,703,9511,0.12296859413289085,0.1232203712308024
