"plh0033","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1995","1 Einkommensschwächstes Quintil","2600","0.518727685834521","0.504797340780449","0.532658030888593"
"Einige Sorgen","1995","2","2019","0.497574696317036","0.481735723202764","0.513413669431308"
"Einige Sorgen","1995","3","1173","0.506311561259195","0.485386623454117","0.527236499064273"
"Einige Sorgen","1995","4","712","0.445090912928945","0.419702855719983","0.470478970137908"
"Einige Sorgen","1995","5 Einkommensstärkstes Quintil","278","0.380887917588815","0.345515719707032","0.416260115470598"
"Grosse Sorgen","1995","1 Einkommensschwächstes Quintil","1530","0.280114312095191","0.267594548171779","0.292634076018604"
"Grosse Sorgen","1995","2","695","0.160447417191899","0.148820824918632","0.172074009465166"
"Grosse Sorgen","1995","3","276","0.109817026780506","0.0967311370180649","0.122902916542948"
"Grosse Sorgen","1995","4","140","0.080570766966195","0.0666666923781309","0.0944748415542592"
"Grosse Sorgen","1995","5 Einkommensstärkstes Quintil","48","0.0538365358604467","0.0373965875220213","0.0702764841988721"
"Keine Sorgen","1995","1 Einkommensschwächstes Quintil","812","0.201158002070288","0.189981759431844","0.212334244708731"
"Keine Sorgen","1995","2","1114","0.341977886491065","0.326950571743316","0.357005201238814"
"Keine Sorgen","1995","3","744","0.383871411960299","0.363517057165529","0.404225766755068"
"Keine Sorgen","1995","4","620","0.47433832010486","0.448829436572085","0.499847203637634"
"Keine Sorgen","1995","5 Einkommensstärkstes Quintil","398","0.565275546550738","0.529166506558067","0.601384586543409"
"Einige Sorgen","1996","1 Einkommensschwächstes Quintil","2370","0.536304370239424","0.521687044487939","0.550921695990909"
"Einige Sorgen","1996","2","2162","0.5465133766017","0.530783938886616","0.562242814316785"
"Einige Sorgen","1996","3","1334","0.551084273111759","0.530779223967112","0.571389322256405"
"Einige Sorgen","1996","4","793","0.487437397096906","0.462489221889407","0.512385572304404"
"Einige Sorgen","1996","5 Einkommensstärkstes Quintil","374","0.415306255586657","0.38176191292506","0.448850598248254"
"Grosse Sorgen","1996","1 Einkommensschwächstes Quintil","1402","0.275488330596733","0.262392891890466","0.288583769303"
"Grosse Sorgen","1996","2","695","0.159000164225325","0.147446298892438","0.170554029558212"
"Grosse Sorgen","1996","3","280","0.106129771167687","0.0935559153360878","0.118703626999287"
"Grosse Sorgen","1996","4","148","0.0914653407640353","0.077077191574004","0.105853489954067"
"Grosse Sorgen","1996","5 Einkommensstärkstes Quintil","61","0.060409705577434","0.0441918493400314","0.0766275618148365"
"Keine Sorgen","1996","1 Einkommensschwächstes Quintil","699","0.188207299163843","0.176749886422958","0.199664711904729"
"Keine Sorgen","1996","2","991","0.294486459172974","0.280084688165995","0.308888230179954"
"Keine Sorgen","1996","3","691","0.342785955720554","0.323409356615","0.362162554826108"
"Keine Sorgen","1996","4","601","0.421097262139059","0.396453902514916","0.445740621763202"
"Keine Sorgen","1996","5 Einkommensstärkstes Quintil","394","0.524284038835909","0.490288024362845","0.558280053308973"
"Einige Sorgen","1997","1 Einkommensschwächstes Quintil","2230","0.511873600121165","0.496834982480608","0.526912217761722"
"Einige Sorgen","1997","2","2236","0.578491470666761","0.562770471321279","0.594212470012242"
"Einige Sorgen","1997","3","1408","0.580140531358991","0.560169400045816","0.600111662672167"
"Einige Sorgen","1997","4","909","0.55498722209371","0.530443775794884","0.579530668392537"
"Einige Sorgen","1997","5 Einkommensstärkstes Quintil","405","0.455200073209883","0.42117744531576","0.489222701104007"
"Grosse Sorgen","1997","1 Einkommensschwächstes Quintil","1475","0.329293559372699","0.315154573516791","0.343432545228607"
"Grosse Sorgen","1997","2","764","0.172997659456139","0.160955566672476","0.185039752239802"
"Grosse Sorgen","1997","3","368","0.14756593133833","0.13321409286044","0.16191776981622"
"Grosse Sorgen","1997","4","169","0.0946479534860772","0.0801911535912084","0.109104753380946"
"Grosse Sorgen","1997","5 Einkommensstärkstes Quintil","76","0.0698265464955573","0.052414876578051","0.0872382164130636"
"Keine Sorgen","1997","1 Einkommensschwächstes Quintil","539","0.158832840506136","0.147835904212064","0.169829776800207"
"Keine Sorgen","1997","2","790","0.248510869877101","0.234752640922942","0.262269098831259"
"Keine Sorgen","1997","3","570","0.272293537302679","0.254280752110523","0.290306322494835"
"Keine Sorgen","1997","4","497","0.350364824420212","0.326803330304521","0.373926318535904"
"Keine Sorgen","1997","5 Einkommensstärkstes Quintil","342","0.474973380294559","0.440856173307582","0.509090587281536"
"Einige Sorgen","1998","1 Einkommensschwächstes Quintil","2217","0.479382896789827","0.46493514234605","0.493830651233604"
"Einige Sorgen","1998","2","2229","0.529038478876405","0.513729664132907","0.544347293619903"
"Einige Sorgen","1998","3","1445","0.542278232594811","0.522952562892244","0.561603902297379"
"Einige Sorgen","1998","4","988","0.511902035667183","0.489578299759634","0.534225771574732"
"Einige Sorgen","1998","5 Einkommensstärkstes Quintil","443","0.422466302205086","0.391942839368748","0.452989765041424"
"Grosse Sorgen","1998","1 Einkommensschwächstes Quintil","1770","0.365391644423158","0.351465462403527","0.379317826442788"
"Grosse Sorgen","1998","2","987","0.222021814992847","0.209275438028555","0.234768191957139"
"Grosse Sorgen","1998","3","447","0.169267422205323","0.154721542394641","0.183813302016005"
"Grosse Sorgen","1998","4","283","0.140708528450708","0.125179280976648","0.156237775924768"
"Grosse Sorgen","1998","5 Einkommensstärkstes Quintil","90","0.0701421144451686","0.0543606676073207","0.0859235612830165"
"Keine Sorgen","1998","1 Einkommensschwächstes Quintil","606","0.155225458787015","0.144752925415453","0.165697992158577"
"Keine Sorgen","1998","2","868","0.248939706130748","0.235678295832952","0.262201116428543"
"Keine Sorgen","1998","3","661","0.288454345199866","0.27088066933803","0.306028021061701"
"Keine Sorgen","1998","4","655","0.347389435882109","0.326124929629162","0.368653942135056"
"Keine Sorgen","1998","5 Einkommensstärkstes Quintil","473","0.507391583349745","0.476497761061146","0.538285405638345"
"Einige Sorgen","1999","1 Einkommensschwächstes Quintil","1962","0.502006636061225","0.486192372019303","0.517820900103147"
"Einige Sorgen","1999","2","2306","0.533096064489447","0.517808093258946","0.548384035719948"
"Einige Sorgen","1999","3","1365","0.504160700938062","0.484739599408775","0.523581802467348"
"Einige Sorgen","1999","4","1051","0.509994190087193","0.488085504531772","0.531902875642613"
"Einige Sorgen","1999","5 Einkommensstärkstes Quintil","465","0.377304881793927","0.349216997884494","0.40539276570336"
"Grosse Sorgen","1999","1 Einkommensschwächstes Quintil","1262","0.301291390755923","0.286779503784347","0.3158032777275"
"Grosse Sorgen","1999","2","741","0.166392205484842","0.154979707239288","0.177804703730395"
"Grosse Sorgen","1999","3","344","0.124118286332564","0.111310929598991","0.136925643066138"
"Grosse Sorgen","1999","4","195","0.0864263315667577","0.0741115157818142","0.0987411473517013"
"Grosse Sorgen","1999","5 Einkommensstärkstes Quintil","51","0.0352899638383954","0.0245979605468779","0.0459819671299129"
"Keine Sorgen","1999","1 Einkommensschwächstes Quintil","616","0.196701973182852","0.184129370618641","0.209274575747062"
"Keine Sorgen","1999","2","1044","0.300511730025711","0.286462443050477","0.314561017000945"
"Keine Sorgen","1999","3","837","0.371721012729374","0.352949307983497","0.390492717475251"
"Keine Sorgen","1999","4","754","0.40357947834605","0.38207772282035","0.425081233871749"
"Keine Sorgen","1999","5 Einkommensstärkstes Quintil","628","0.587405154367677","0.558877513771731","0.615932794963624"
"Einige Sorgen","2000","1 Einkommensschwächstes Quintil","3043","0.485919196091769","0.473469309060219","0.49836908312332"
"Einige Sorgen","2000","2","3504","0.499525421930806","0.487609816868737","0.511441026992875"
"Einige Sorgen","2000","3","2284","0.477718883477043","0.463304544534726","0.492133222419359"
"Einige Sorgen","2000","4","1715","0.449765401176227","0.433979557803429","0.465551244549026"
"Einige Sorgen","2000","5 Einkommensstärkstes Quintil","912","0.352463114105185","0.333724912250258","0.371201315960111"
"Grosse Sorgen","2000","1 Einkommensschwächstes Quintil","1938","0.29730192813325","0.285916458931267","0.308687397335232"
"Grosse Sorgen","2000","2","1179","0.161948253575954","0.153168752350575","0.170727754801333"
"Grosse Sorgen","2000","3","585","0.125567817850235","0.116005600663051","0.135130035037419"
"Grosse Sorgen","2000","4","364","0.0886210469371211","0.0796028699254318","0.0976392239488103"
"Grosse Sorgen","2000","5 Einkommensstärkstes Quintil","176","0.066674443982454","0.0568900236818305","0.0764588642830775"
"Keine Sorgen","2000","1 Einkommensschwächstes Quintil","1210","0.216778875774981","0.206514835086212","0.22704291646375"
"Keine Sorgen","2000","2","2081","0.33852632449324","0.327249189032126","0.349803459954353"
"Keine Sorgen","2000","3","1744","0.396713298672723","0.382595836936854","0.410830760408591"
"Keine Sorgen","2000","4","1736","0.461613551886651","0.445794255798522","0.477432847974781"
"Keine Sorgen","2000","5 Einkommensstärkstes Quintil","1409","0.580862441912361","0.561509198567743","0.600215685256979"
"Einige Sorgen","2001","1 Einkommensschwächstes Quintil","2579","0.488083260721572","0.474480201488708","0.501686319954436"
"Einige Sorgen","2001","2","3141","0.511867216231954","0.499138394275386","0.524596038188523"
"Einige Sorgen","2001","3","2209","0.468006425690943","0.453417925066874","0.482594926315011"
"Einige Sorgen","2001","4","1668","0.441393857144286","0.425363750131626","0.457423964156947"
"Einige Sorgen","2001","5 Einkommensstärkstes Quintil","890","0.347379925394702","0.328533871395527","0.366225979393877"
"Grosse Sorgen","2001","1 Einkommensschwächstes Quintil","1610","0.298718051291285","0.286262383090038","0.311173719492532"
"Grosse Sorgen","2001","2","1095","0.174311878019516","0.164651100614435","0.183972655424598"
"Grosse Sorgen","2001","3","539","0.119890408518787","0.110393283522896","0.129387533514678"
"Grosse Sorgen","2001","4","341","0.0885060755148481","0.0793368246129672","0.097675326416729"
"Grosse Sorgen","2001","5 Einkommensstärkstes Quintil","137","0.0558039057735557","0.0467183550727111","0.0648894564744004"
"Keine Sorgen","2001","1 Einkommensschwächstes Quintil","998","0.213198687987143","0.202052797577186","0.224344578397099"
"Keine Sorgen","2001","2","1688","0.313820905748529","0.302004096010757","0.325637715486302"
"Keine Sorgen","2001","3","1746","0.41210316579027","0.397712360632693","0.426493970947847"
"Keine Sorgen","2001","4","1677","0.470100067340866","0.453987582771703","0.486212551910028"
"Keine Sorgen","2001","5 Einkommensstärkstes Quintil","1425","0.596816168831742","0.577400171573999","0.616232166089486"
"Einige Sorgen","2002","1 Einkommensschwächstes Quintil","2250","0.4914724611896","0.477045887580123","0.505899034799078"
"Einige Sorgen","2002","2","2921","0.541098278536902","0.527687800695693","0.554508756378112"
"Einige Sorgen","2002","3","2347","0.525493687433785","0.510703783015633","0.540283591851938"
"Einige Sorgen","2002","4","2131","0.504409495646827","0.489279624702239","0.519539366591416"
"Einige Sorgen","2002","5 Einkommensstärkstes Quintil","1769","0.40113840653455","0.386667793865318","0.415609019203782"
"Grosse Sorgen","2002","1 Einkommensschwächstes Quintil","1645","0.339818313507613","0.326150108307969","0.353486518707258"
"Grosse Sorgen","2002","2","1081","0.198757557736809","0.188017907637257","0.209497207836362"
"Grosse Sorgen","2002","3","696","0.149678741863383","0.139112216526547","0.160245267200219"
"Grosse Sorgen","2002","4","458","0.106781539604183","0.0974358997120966","0.116127179496269"
"Grosse Sorgen","2002","5 Einkommensstärkstes Quintil","291","0.0706925021478494","0.0631251670969669","0.0782598371987318"
"Keine Sorgen","2002","1 Einkommensschwächstes Quintil","718","0.168709225302786","0.157902297259698","0.179516153345875"
"Keine Sorgen","2002","2","1302","0.260144163726289","0.248337507207254","0.271950820245323"
"Keine Sorgen","2002","3","1336","0.324827570702832","0.310956997449864","0.338698143955799"
"Keine Sorgen","2002","4","1606","0.38880896474899","0.374057378217862","0.403560551280119"
"Keine Sorgen","2002","5 Einkommensstärkstes Quintil","2347","0.5281690913176","0.513430490699621","0.54290769193558"
"Einige Sorgen","2003","1 Einkommensschwächstes Quintil","1935","0.44861917946768","0.433764071100706","0.463474287834653"
"Einige Sorgen","2003","2","2703","0.52961571257375","0.515870065154249","0.54336135999325"
"Einige Sorgen","2003","3","2364","0.537915747056128","0.523057323010926","0.55277417110133"
"Einige Sorgen","2003","4","2266","0.510940444494321","0.496020241562808","0.525860647425834"
"Einige Sorgen","2003","5 Einkommensstärkstes Quintil","1828","0.444110477336994","0.428762506703204","0.459458447970784"
"Grosse Sorgen","2003","1 Einkommensschwächstes Quintil","1809","0.40377904671438","0.389124021001749","0.41843407242701"
"Grosse Sorgen","2003","2","1349","0.252300837394545","0.240339460930561","0.264262213858529"
"Grosse Sorgen","2003","3","887","0.205797017306506","0.193748313450153","0.217845721162858"
"Grosse Sorgen","2003","4","706","0.160337466383871","0.14938584021577","0.171289092551973"
