"plh0033","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","Schleswig-Holstein","kein Migrationshintergrund","51","0.148427094055653","0.110581462939899","0.186272725171407"
"Grosse Sorgen","1984","Schleswig-Holstein","direkter Migrationshintergrund","9","0.25425056295347","0.119309065868394","0.389192060038546"
"Grosse Sorgen","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Hamburg","kein Migrationshintergrund","40","0.169281268283338","0.119387112593514","0.219175423973163"
"Grosse Sorgen","1984","Hamburg","direkter Migrationshintergrund","33","0.419729629329556","0.316618209614268","0.522841049044844"
"Grosse Sorgen","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Niedersachsen","kein Migrationshintergrund","177","","",""
"Grosse Sorgen","1984","Niedersachsen","direkter Migrationshintergrund","59","0.309701318602111","0.244804884439184","0.374597752765039"
"Grosse Sorgen","1984","Niedersachsen","indirekter Migrationshintergrund","5","0.915433827510099","0.69280352242078","1.13806413259942"
"Grosse Sorgen","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Bremen","kein Migrationshintergrund","36","0.363706703938495","0.268462319341913","0.458951088535077"
"Grosse Sorgen","1984","Bremen","direkter Migrationshintergrund","20","","",""
"Grosse Sorgen","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Nordrhein-Westfalen","kein Migrationshintergrund","446","0.201034391550391","0.184437631907957","0.217631151192826"
"Grosse Sorgen","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","312","0.307917563685132","0.278248573726032","0.337586553644233"
"Grosse Sorgen","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","5","0.114876848441865","0.0121307509486496","0.217622945935081"
"Grosse Sorgen","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Hessen","kein Migrationshintergrund","130","","",""
"Grosse Sorgen","1984","Hessen","direkter Migrationshintergrund","121","","",""
"Grosse Sorgen","1984","Hessen","indirekter Migrationshintergrund","5","0.768280520546332","0.529555108795255","1.00700593229741"
"Grosse Sorgen","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","150","","",""
"Grosse Sorgen","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","39","0.248264016023246","0.178898357313624","0.317629674732867"
"Grosse Sorgen","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","1","","",""
"Grosse Sorgen","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Baden-Wuerttemberg","kein Migrationshintergrund","183","","",""
"Grosse Sorgen","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","214","","",""
"Grosse Sorgen","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","6","0.0849990041878305","-0.0182977743398279","0.188295782715489"
"Grosse Sorgen","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Bayern","kein Migrationshintergrund","243","","",""
"Grosse Sorgen","1984","Bayern","direkter Migrationshintergrund","123","","",""
"Grosse Sorgen","1984","Bayern","indirekter Migrationshintergrund","7","0.245786871956635","0.0833844154979502","0.40818932841532"
"Grosse Sorgen","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Saarland","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Saarland","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Saarland","indirekter Migrationshintergrund","","","",""
