"plh0033","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1985","Staedtischer Raum","männlich","1853","0.427016459707183","0.412065864878082","0.441967054536284"
"Einige Sorgen","1985","Staedtischer Raum","weiblich","1930","0.434482449691351","0.419699345020633","0.449265554362069"
"Einige Sorgen","1985","Laendlicher Raum","männlich","514","0.426122708190045","0.397429300560357","0.454816115819734"
"Einige Sorgen","1985","Laendlicher Raum","weiblich","570","0.469984238148254","0.441651013669366","0.498317462627142"
"Große Sorgen","1985","Staedtischer Raum","männlich","901","0.192482059029939","0.180565899498189","0.20439821856169"
"Große Sorgen","1985","Staedtischer Raum","weiblich","839","0.174424165968145","0.163106983907497","0.185741348028792"
"Große Sorgen","1985","Laendlicher Raum","männlich","256","0.215952108199254","0.192076453539593","0.239827762858916"
"Große Sorgen","1985","Laendlicher Raum","weiblich","235","0.184770330444932","0.162737714228434","0.20680294666143"
"Keine Sorgen","1985","Staedtischer Raum","männlich","1451","0.380501481262878","0.365826978208084","0.395175984317671"
"Keine Sorgen","1985","Staedtischer Raum","weiblich","1550","0.391093384340505","0.376539729524849","0.40564703915616"
"Keine Sorgen","1985","Laendlicher Raum","männlich","371","0.357925183610701","0.330109213235149","0.385741153986252"
"Keine Sorgen","1985","Laendlicher Raum","weiblich","387","0.345245431406814","0.318254790191525","0.372236072622103"
"Einige Sorgen","1986","Staedtischer Raum","männlich","1700","0.398026218017049","0.383004629312281","0.413047806721816"
"Einige Sorgen","1986","Staedtischer Raum","weiblich","1714","0.390909442957508","0.3760259569461","0.405792928968917"
"Einige Sorgen","1986","Laendlicher Raum","männlich","463","0.42063035371574","0.391202172762501","0.45005853466898"
"Einige Sorgen","1986","Laendlicher Raum","weiblich","513","0.445393641670119","0.416312189360258","0.474475093979979"
"Große Sorgen","1986","Staedtischer Raum","männlich","759","0.155231853127065","0.144118875902173","0.166344830351956"
"Große Sorgen","1986","Staedtischer Raum","weiblich","696","0.143521028040332","0.132826988876666","0.154215067203997"
"Große Sorgen","1986","Laendlicher Raum","männlich","222","0.189714524558367","0.166342057195576","0.213086991921158"
"Große Sorgen","1986","Laendlicher Raum","weiblich","192","0.166169500358359","0.144389082479487","0.187949918237231"
"Keine Sorgen","1986","Staedtischer Raum","männlich","1620","0.446741928855887","0.431485128087767","0.461998729624006"
"Keine Sorgen","1986","Staedtischer Raum","weiblich","1719","0.46556952900216","0.450354824227609","0.480784233776711"
"Keine Sorgen","1986","Laendlicher Raum","männlich","396","0.389655121725893","0.360583912895298","0.418726330556488"
"Keine Sorgen","1986","Laendlicher Raum","weiblich","417","0.388436857971522","0.359917973726757","0.416955742216287"
