"plh0033","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1985","Staedtischer Raum","3783","0.430962427706011","0.420449672629895","0.441475182782126"
"Einige Sorgen","1985","Laendlicher Raum","1084","0.449287979552079","0.429103600224716","0.469472358879441"
"Große Sorgen","1985","Staedtischer Raum","1740","0.182937997452145","0.174730592954639","0.191145401949652"
"Große Sorgen","1985","Laendlicher Raum","491","0.199483591393805","0.183268125541466","0.215699057246143"
"Keine Sorgen","1985","Staedtischer Raum","3001","0.386099574841844","0.375764229340705","0.396434920342983"
"Keine Sorgen","1985","Laendlicher Raum","758","0.351228429054117","0.331858347122955","0.370598510985278"
"Einige Sorgen","1986","Staedtischer Raum","3414","0.394286885722323","0.383714595619159","0.404859175825488"
"Einige Sorgen","1986","Laendlicher Raum","976","0.433679162140069","0.412984592897941","0.454373731382196"
"Große Sorgen","1986","Staedtischer Raum","1455","0.149078691606806","0.141373527320701","0.156783855892911"
"Große Sorgen","1986","Laendlicher Raum","414","0.177307670076922","0.161359042084119","0.193256298069726"
"Keine Sorgen","1986","Staedtischer Raum","3339","0.456634422670871","0.445858367613065","0.467410477728676"
"Keine Sorgen","1986","Laendlicher Raum","813","0.389013167783009","0.368654989243152","0.409371346322865"
"Einige Sorgen","1987","Staedtischer Raum","3699","0.438457232595748","0.42765267448128","0.449261790710216"
"Einige Sorgen","1987","Laendlicher Raum","1038","0.457766047207991","0.436866524596589","0.478665569819393"
"Große Sorgen","1987","Staedtischer Raum","1433","0.152342668284568","0.144517874301014","0.160167462268122"
"Große Sorgen","1987","Laendlicher Raum","349","0.15318031230311","0.138071922834854","0.168288701771366"
"Keine Sorgen","1987","Staedtischer Raum","2970","0.409200099119684","0.398493783463805","0.419906414775564"
"Keine Sorgen","1987","Laendlicher Raum","796","0.389053640488898","0.368602030340161","0.409505250637636"
"Einige Sorgen","1988","Staedtischer Raum","3613","0.44298877811053","0.431948035133671","0.454029521087389"
"Einige Sorgen","1988","Laendlicher Raum","953","0.448541568559739","0.4270646376439","0.470018499475579"
"Große Sorgen","1988","Staedtischer Raum","1388","0.148457936795738","0.140555250763281","0.156360622828195"
"Große Sorgen","1988","Laendlicher Raum","380","0.171467147739353","0.155190693207156","0.18774360227155"
"Keine Sorgen","1988","Staedtischer Raum","2775","0.408553285093733","0.39762751316657","0.419479057020895"
