year,quintil_oecd,regtyp,plh0033,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Very concerned,0.32639,580,10850,0.32602,0.32675
1985,1st Quintile,Urban regions,Somewhat concerned,0.42647,730,10850,0.42609,0.42685
1985,1st Quintile,Urban regions,Not concerned at all,0.24715,389,10850,0.24681,0.24748
1985,1st Quintile,Rural regions,Very concerned,0.32472,175,10850,0.32416,0.32528
1985,1st Quintile,Rural regions,Somewhat concerned,0.42364,235,10850,0.42305,0.42424
1985,1st Quintile,Rural regions,Not concerned at all,0.25164,104,10850,0.25112,0.25216
1985,2nd Quintile,Urban regions,Very concerned,0.23683,398,10850,0.23651,0.23715
1985,2nd Quintile,Urban regions,Somewhat concerned,0.45232,769,10850,0.45194,0.45269
1985,2nd Quintile,Urban regions,Not concerned at all,0.31086,454,10850,0.31051,0.31121
1985,2nd Quintile,Rural regions,Very concerned,0.18696,102,10850,0.18649,0.18743
1985,2nd Quintile,Rural regions,Somewhat concerned,0.51693,265,10850,0.51633,0.51753
1985,2nd Quintile,Rural regions,Not concerned at all,0.29611,140,10850,0.29556,0.29666
1985,3rd Quintile,Urban regions,Very concerned,0.16872,329,10850,0.16845,0.16899
1985,3rd Quintile,Urban regions,Somewhat concerned,0.43885,766,10850,0.43849,0.43921
1985,3rd Quintile,Urban regions,Not concerned at all,0.39243,607,10850,0.39207,0.39278
1985,3rd Quintile,Rural regions,Very concerned,0.18543,92,10850,0.18495,0.18590
1985,3rd Quintile,Rural regions,Somewhat concerned,0.45772,220,10850,0.45711,0.45833
1985,3rd Quintile,Rural regions,Not concerned at all,0.35685,159,10850,0.35626,0.35744
1985,4th Quintile,Urban regions,Very concerned,0.13498,268,10850,0.13474,0.13521
1985,4th Quintile,Urban regions,Somewhat concerned,0.45508,824,10850,0.45474,0.45542
1985,4th Quintile,Urban regions,Not concerned at all,0.40994,694,10850,0.40961,0.41028
1985,4th Quintile,Rural regions,Very concerned,0.16153,70,10850,0.16104,0.16202
1985,4th Quintile,Rural regions,Somewhat concerned,0.43507,182,10850,0.43441,0.43573
1985,4th Quintile,Rural regions,Not concerned at all,0.40340,158,10850,0.40275,0.40406
1985,5th Quintile,Urban regions,Very concerned,0.08740,162,10850,0.08721,0.08759
1985,5th Quintile,Urban regions,Somewhat concerned,0.38547,691,10850,0.38514,0.38579
1985,5th Quintile,Urban regions,Not concerned at all,0.52713,860,10850,0.52680,0.52747
1985,5th Quintile,Rural regions,Very concerned,0.11784,52,10850,0.11741,0.11826
1985,5th Quintile,Rural regions,Somewhat concerned,0.40533,181,10850,0.40468,0.40598
1985,5th Quintile,Rural regions,Not concerned at all,0.47683,194,10850,0.47617,0.47749
1986,1st Quintile,Urban regions,Very concerned,0.27204,484,10405,0.27171,0.27237
1986,1st Quintile,Urban regions,Somewhat concerned,0.41869,711,10405,0.41832,0.41906
1986,1st Quintile,Urban regions,Not concerned at all,0.30927,411,10405,0.30892,0.30961
1986,1st Quintile,Rural regions,Very concerned,0.26487,122,10405,0.26432,0.26543
1986,1st Quintile,Rural regions,Somewhat concerned,0.43748,194,10405,0.43686,0.43811
1986,1st Quintile,Rural regions,Not concerned at all,0.29764,116,10405,0.29707,0.29822
1986,2nd Quintile,Urban regions,Very concerned,0.17112,330,10405,0.17084,0.17140
1986,2nd Quintile,Urban regions,Somewhat concerned,0.41402,667,10405,0.41365,0.41439
1986,2nd Quintile,Urban regions,Not concerned at all,0.41486,559,10405,0.41449,0.41523
1986,2nd Quintile,Rural regions,Very concerned,0.19360,107,10405,0.19312,0.19408
1986,2nd Quintile,Rural regions,Somewhat concerned,0.40548,203,10405,0.40488,0.40607
1986,2nd Quintile,Rural regions,Not concerned at all,0.40092,187,10405,0.40033,0.40151
1986,3rd Quintile,Urban regions,Very concerned,0.13481,258,10405,0.13456,0.13505
1986,3rd Quintile,Urban regions,Somewhat concerned,0.40096,689,10405,0.40060,0.40131
1986,3rd Quintile,Urban regions,Not concerned at all,0.46424,669,10405,0.46388,0.46460
1986,3rd Quintile,Rural regions,Very concerned,0.14341,66,10405,0.14297,0.14386
1986,3rd Quintile,Rural regions,Somewhat concerned,0.51269,238,10405,0.51205,0.51332
1986,3rd Quintile,Rural regions,Not concerned at all,0.34390,143,10405,0.34330,0.34450
1986,4th Quintile,Urban regions,Very concerned,0.10675,230,10405,0.10653,0.10696
1986,4th Quintile,Urban regions,Somewhat concerned,0.40496,740,10405,0.40462,0.40530
