year,pgisced97,quintil_oecd,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Lower Secondary Level,1st Quintile,Agree completely,0.14116,64,533,0.11158,0.17075
1992,Lower Secondary Level,1st Quintile,Agree,0.21905,96,533,0.18391,0.25420
1992,Lower Secondary Level,1st Quintile,Disagree,0.28701,161,533,0.24857,0.32545
1992,Lower Secondary Level,1st Quintile,Disagree completely,0.35277,212,533,0.31217,0.39338
1992,Lower Secondary Level,2nd Quintile,Agree,0.18392,72,404,0.14610,0.22175
1992,Lower Secondary Level,2nd Quintile,Disagree,0.25903,120,404,0.21626,0.30181
1992,Lower Secondary Level,2nd Quintile,Disagree completely,0.47885,212,404,0.43007,0.52762
1992,Lower Secondary Level,3rd Quintile,Agree,0.12483,41,342,0.08975,0.15992
1992,Lower Secondary Level,3rd Quintile,Disagree,0.32436,115,342,0.27467,0.37405
1992,Lower Secondary Level,3rd Quintile,Disagree completely,0.47997,186,342,0.42694,0.53300
1992,Lower Secondary Level,4th Quintile,Agree,0.14318,46,344,0.10611,0.18025
1992,Lower Secondary Level,4th Quintile,Disagree,0.29506,106,344,0.24679,0.34333
1992,Lower Secondary Level,4th Quintile,Disagree completely,0.49169,192,344,0.43878,0.54459
1992,Lower Secondary Level,5th Quintile,Disagree,0.29176,71,196,0.22795,0.35556
1992,Lower Secondary Level,5th Quintile,Disagree completely,0.52593,125,196,0.45585,0.59602
1992,Upper Secondary Level,1st Quintile,Agree completely,0.10414,117,1271,0.08734,0.12094
1992,Upper Secondary Level,1st Quintile,Agree,0.16412,170,1271,0.14375,0.18449
1992,Upper Secondary Level,1st Quintile,Disagree,0.26930,329,1271,0.24491,0.29370
1992,Upper Secondary Level,1st Quintile,Disagree completely,0.46244,655,1271,0.43502,0.48986
1992,Upper Secondary Level,2nd Quintile,Agree completely,0.09568,115,1295,0.07966,0.11171
1992,Upper Secondary Level,2nd Quintile,Agree,0.12679,129,1295,0.10866,0.14492
1992,Upper Secondary Level,2nd Quintile,Disagree,0.23839,310,1295,0.21517,0.26161
1992,Upper Secondary Level,2nd Quintile,Disagree completely,0.53914,741,1295,0.51198,0.56629
1992,Upper Secondary Level,3rd Quintile,Agree completely,0.07677,86,1129,0.06124,0.09231
1992,Upper Secondary Level,3rd Quintile,Agree,0.11822,114,1129,0.09938,0.13706
1992,Upper Secondary Level,3rd Quintile,Disagree,0.27421,308,1129,0.24818,0.30024
1992,Upper Secondary Level,3rd Quintile,Disagree completely,0.53080,621,1129,0.50167,0.55992
1992,Upper Secondary Level,4th Quintile,Agree completely,0.08683,97,1204,0.07091,0.10274
