year,age_gr,bula_h,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Berlin,Disagree completely,0.51777,43,43,0.36665,0.66889
1990,17-29 y.,Brandenburg,Disagree,0.33422,57,145,0.25717,0.41127
1990,17-29 y.,Brandenburg,Disagree completely,0.49312,88,145,0.41146,0.57478
1990,17-29 y.,Mecklenburg-Western Pomerania,Disagree,0.22073,37,130,0.14916,0.29230
1990,17-29 y.,Mecklenburg-Western Pomerania,Disagree completely,0.68271,93,130,0.60240,0.76303
1990,17-29 y.,Saxony,Agree completely,0.08820,31,319,0.05703,0.11937
1990,17-29 y.,Saxony,Agree,0.12033,35,319,0.08457,0.15609
1990,17-29 y.,Saxony,Disagree,0.27169,85,319,0.22280,0.32058
1990,17-29 y.,Saxony,Disagree completely,0.51978,168,319,0.46487,0.57469
1990,17-29 y.,Saxony-Anhalt,Disagree,0.19857,44,178,0.13980,0.25734
1990,17-29 y.,Saxony-Anhalt,Disagree completely,0.64857,134,178,0.57823,0.71890
1990,17-29 y.,Thuringa,Disagree,0.19479,43,170,0.13508,0.25450
1990,17-29 y.,Thuringa,Disagree completely,0.66071,127,170,0.58932,0.73209
1990,30-45 y.,Berlin,Disagree completely,0.65549,77,77,0.54865,0.76233
1990,30-45 y.,Brandenburg,Agree completely,0.13267,32,251,0.09062,0.17472
1990,30-45 y.,Brandenburg,Disagree,0.14399,40,251,0.10047,0.18751
1990,30-45 y.,Brandenburg,Disagree completely,0.64567,179,251,0.58637,0.70496
1990,30-45 y.,Mecklenburg-Western Pomerania,Disagree,0.23042,40,140,0.16042,0.30043
1990,30-45 y.,Mecklenburg-Western Pomerania,Disagree completely,0.59049,100,140,0.50874,0.67224
1990,30-45 y.,Saxony,Agree completely,0.06991,32,443,0.04614,0.09368
1990,30-45 y.,Saxony,Agree,0.09963,34,443,0.07171,0.12755
1990,30-45 y.,Saxony,Disagree,0.19256,87,443,0.15580,0.22932
1990,30-45 y.,Saxony,Disagree completely,0.63790,290,443,0.59309,0.68270
1990,30-45 y.,Saxony-Anhalt,Disagree,0.21318,58,241,0.16136,0.26500
1990,30-45 y.,Saxony-Anhalt,Disagree completely,0.67368,183,241,0.61436,0.73300
1990,30-45 y.,Thuringa,Disagree,0.14267,36,211,0.09537,0.18998
1990,30-45 y.,Thuringa,Disagree completely,0.71376,175,211,0.65263,0.77490
1990,46-65 y.,Berlin,Disagree completely,0.52416,49,49,0.38288,0.66545
1990,46-65 y.,Brandenburg,Disagree,0.20974,41,171,0.14854,0.27094
1990,46-65 y.,Brandenburg,Disagree completely,0.57980,130,171,0.50560,0.65400
1990,46-65 y.,Mecklenburg-Western Pomerania,Disagree completely,0.69161,112,112,0.60569,0.77753
1990,46-65 y.,Saxony,Agree completely,0.09578,41,422,0.06767,0.12389
1990,46-65 y.,Saxony,Agree,0.09627,36,422,0.06809,0.12444
1990,46-65 y.,Saxony,Disagree,0.17043,69,422,0.13451,0.20634
1990,46-65 y.,Saxony,Disagree completely,0.63752,276,422,0.59160,0.68344
1990,46-65 y.,Saxony-Anhalt,Disagree,0.13555,33,180,0.08540,0.18570
1990,46-65 y.,Saxony-Anhalt,Disagree completely,0.66339,147,180,0.59416,0.73262
1990,46-65 y.,Thuringa,Disagree,0.22823,49,196,0.16932,0.28713
1990,46-65 y.,Thuringa,Disagree completely,0.63782,147,196,0.57036,0.70528
1990,66 and older,Brandenburg,Disagree completely,0.53420,33,33,0.36137,0.70704
1990,66 and older,Saxony,Disagree,0.27776,37,102,0.19041,0.36511
1990,66 and older,Saxony,Disagree completely,0.44540,65,102,0.34847,0.54233
1990,66 and older,Saxony-Anhalt,Disagree completely,0.47236,46,46,0.32650,0.61823
1990,66 and older,Thuringa,Disagree completely,0.54456,39,39,0.38622,0.70291
1991,17-29 y.,Berlin,Disagree completely,0.55455,35,35,0.38748,0.72161
1991,17-29 y.,Brandenburg,Disagree,0.35214,51,127,0.26874,0.43554
1991,17-29 y.,Brandenburg,Disagree completely,0.49882,76,127,0.41152,0.58613
1991,17-29 y.,Mecklenburg-Western Pomerania,Disagree,0.27378,38,107,0.18889,0.35867
1991,17-29 y.,Mecklenburg-Western Pomerania,Disagree completely,0.59927,69,107,0.50598,0.69256
1991,17-29 y.,Saxony,Disagree,0.37968,99,235,0.31749,0.44186
1991,17-29 y.,Saxony,Disagree completely,0.47170,136,235,0.40774,0.53566
1991,17-29 y.,Saxony-Anhalt,Disagree,0.25784,52,164,0.19068,0.32500
1991,17-29 y.,Saxony-Anhalt,Disagree completely,0.60747,112,164,0.53251,0.68244
1991,17-29 y.,Thuringa,Disagree,0.24443,44,151,0.17566,0.31321
1991,17-29 y.,Thuringa,Disagree completely,0.61413,107,151,0.53622,0.69203
1991,30-45 y.,Berlin,Disagree completely,0.68437,71,71,0.57549,0.79325
1991,30-45 y.,Brandenburg,Disagree,0.22630,57,231,0.17223,0.28038
1991,30-45 y.,Brandenburg,Disagree completely,0.62627,174,231,0.56375,0.68880
1991,30-45 y.,Mecklenburg-Western Pomerania,Disagree,0.23182,32,134,0.16010,0.30354
1991,30-45 y.,Mecklenburg-Western Pomerania,Disagree completely,0.57699,102,134,0.49303,0.66095
1991,30-45 y.,Saxony,Agree,0.08029,33,405,0.05379,0.10678
1991,30-45 y.,Saxony,Disagree,0.25816,106,405,0.21549,0.30083
1991,30-45 y.,Saxony,Disagree completely,0.59161,266,405,0.54368,0.63954
1991,30-45 y.,Saxony-Anhalt,Disagree,0.21602,60,235,0.16329,0.26875
1991,30-45 y.,Saxony-Anhalt,Disagree completely,0.59512,175,235,0.53222,0.65801
1991,30-45 y.,Thuringa,Disagree,0.19141,49,203,0.13716,0.24567
1991,30-45 y.,Thuringa,Disagree completely,0.66441,154,203,0.59929,0.72952
1991,46-65 y.,Berlin,Disagree completely,0.54859,53,53,0.41333,0.68385
1991,46-65 y.,Brandenburg,Disagree,0.22520,43,160,0.16028,0.29013
1991,46-65 y.,Brandenburg,Disagree completely,0.52955,117,160,0.45196,0.60713
1991,46-65 y.,Mecklenburg-Western Pomerania,Disagree completely,0.61406,98,98,0.51718,0.71094
1991,46-65 y.,Saxony,Agree completely,0.10671,40,384,0.07578,0.13763
1991,46-65 y.,Saxony,Agree,0.10752,36,384,0.07649,0.13854
1991,46-65 y.,Saxony,Disagree,0.24497,93,384,0.20190,0.28804
1991,46-65 y.,Saxony,Disagree completely,0.54081,215,384,0.49090,0.59072
1991,46-65 y.,Saxony-Anhalt,Disagree,0.17444,35,185,0.11960,0.22927
1991,46-65 y.,Saxony-Anhalt,Disagree completely,0.64286,150,185,0.57363,0.71210
1991,46-65 y.,Thuringa,Disagree,0.24475,48,174,0.18068,0.30882
1991,46-65 y.,Thuringa,Disagree completely,0.57607,126,174,0.50243,0.64971
1991,66 and older,Brandenburg,Disagree completely,0.49308,33,33,0.31985,0.66630
1991,66 and older,Saxony,Disagree,0.27045,34,90,0.17816,0.36274
1991,66 and older,Saxony,Disagree completely,0.44377,56,90,0.34055,0.54699
1991,66 and older,Saxony-Anhalt,Disagree completely,0.38072,39,39,0.22633,0.53511
1992,17-29 y.,Lower Saxony,Disagree,0.41690,80,198,0.34805,0.48575
1992,17-29 y.,Lower Saxony,Disagree completely,0.47178,118,198,0.40207,0.54149
1992,17-29 y.,North Rhine-Westphalia,Agree,0.11208,46,440,0.08257,0.14159
1992,17-29 y.,North Rhine-Westphalia,Disagree,0.34016,149,440,0.29584,0.38448
1992,17-29 y.,North Rhine-Westphalia,Disagree completely,0.50228,245,440,0.45551,0.54905
1992,17-29 y.,Hesse,Disagree,0.43379,66,149,0.35395,0.51364
1992,17-29 y.,Hesse,Disagree completely,0.45750,83,149,0.37724,0.53776
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Disagree completely,0.58593,77,77,0.47519,0.69668
1992,17-29 y.,Baden-Wuerttemberg,Disagree,0.39984,127,267,0.34097,0.45871
1992,17-29 y.,Baden-Wuerttemberg,Disagree completely,0.45149,140,267,0.39169,0.51130
1992,17-29 y.,Bavaria,Agree,0.10992,36,343,0.07677,0.14307
1992,17-29 y.,Bavaria,Disagree,0.35763,130,343,0.30683,0.40843
1992,17-29 y.,Bavaria,Disagree completely,0.47184,177,343,0.41893,0.52475
1992,17-29 y.,Berlin,Disagree,0.36560,40,96,0.26875,0.46244
1992,17-29 y.,Berlin,Disagree completely,0.49322,56,96,0.39268,0.59375
1992,17-29 y.,Brandenburg,Disagree,0.33538,52,133,0.25483,0.41592
1992,17-29 y.,Brandenburg,Disagree completely,0.55507,81,133,0.47029,0.63985
1992,17-29 y.,Mecklenburg-Western Pomerania,Disagree,0.44569,41,82,0.33744,0.55393
1992,17-29 y.,Mecklenburg-Western Pomerania,Disagree completely,0.40641,41,82,0.29944,0.51337
1992,17-29 y.,Saxony,Disagree,0.38024,87,211,0.31458,0.44590
1992,17-29 y.,Saxony,Disagree completely,0.48464,124,211,0.41704,0.55223
1992,17-29 y.,Saxony-Anhalt,Disagree,0.31394,61,163,0.24247,0.38540
1992,17-29 y.,Saxony-Anhalt,Disagree completely,0.56316,102,163,0.48678,0.63954
1992,17-29 y.,Thuringa,Disagree,0.36882,64,151,0.29161,0.44604
1992,17-29 y.,Thuringa,Disagree completely,0.47668,87,151,0.39675,0.55661
1992,30-45 y.,Schleswig-Holstein,Disagree completely,0.56246,43,43,0.41243,0.71249
1992,30-45 y.,Lower Saxony,Disagree,0.30332,65,186,0.23708,0.36957
1992,30-45 y.,Lower Saxony,Disagree completely,0.47865,121,186,0.40667,0.55064
1992,30-45 y.,North Rhine-Westphalia,Agree completely,0.07240,46,668,0.05274,0.09207
1992,30-45 y.,North Rhine-Westphalia,Agree,0.06495,38,668,0.04624,0.08365
1992,30-45 y.,North Rhine-Westphalia,Disagree,0.30190,201,668,0.26706,0.33674
1992,30-45 y.,North Rhine-Westphalia,Disagree completely,0.56075,383,668,0.52309,0.59842
1992,30-45 y.,Hesse,Disagree,0.29085,54,156,0.21935,0.36235
1992,30-45 y.,Hesse,Disagree completely,0.53854,102,156,0.46006,0.61702
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Disagree,0.23042,38,140,0.16042,0.30043
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Disagree completely,0.60284,102,140,0.52149,0.68418
1992,30-45 y.,Baden-Wuerttemberg,Agree completely,0.14173,37,326,0.10381,0.17965
1992,30-45 y.,Baden-Wuerttemberg,Agree,0.12028,34,326,0.08492,0.15565
1992,30-45 y.,Baden-Wuerttemberg,Disagree,0.32901,115,326,0.27793,0.38010
1992,30-45 y.,Baden-Wuerttemberg,Disagree completely,0.40897,140,326,0.35552,0.46242
1992,30-45 y.,Bavaria,Agree completely,0.07286,31,398,0.04729,0.09842
