year,bula_h,migback,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Berlin,No migration background,Agree completely,0.18272,40,257,0.13538,0.23006
1990,Berlin,No migration background,Disagree,0.16448,48,257,0.11906,0.20989
1990,Berlin,No migration background,Disagree completely,0.53965,169,257,0.47860,0.60071
1990,Brandenburg,No migration background,Agree completely,0.12067,81,704,0.09659,0.14474
1990,Brandenburg,No migration background,Agree,0.09119,57,704,0.06991,0.11247
1990,Brandenburg,No migration background,Disagree,0.22110,150,704,0.19042,0.25177
1990,Brandenburg,No migration background,Disagree completely,0.56705,416,704,0.53042,0.60368
1990,Mecklenburg-Western Pomerania,No migration background,Agree,0.09384,44,471,0.06748,0.12020
1990,Mecklenburg-Western Pomerania,No migration background,Disagree,0.21988,113,471,0.18243,0.25732
1990,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.64601,314,471,0.60277,0.68924
1990,Saxony,No migration background,Agree completely,0.09005,115,1282,0.07438,0.10573
1990,Saxony,No migration background,Agree,0.11094,119,1282,0.09374,0.12814
1990,Saxony,No migration background,Disagree,0.21949,272,1282,0.19683,0.24216
1990,Saxony,No migration background,Disagree completely,0.57951,776,1282,0.55248,0.60654
1990,Saxony-Anhalt,No migration background,Agree completely,0.08467,60,768,0.06497,0.10438
1990,Saxony-Anhalt,No migration background,Agree,0.10507,72,768,0.08337,0.12677
1990,Saxony-Anhalt,No migration background,Disagree,0.18178,145,768,0.15449,0.20907
1990,Saxony-Anhalt,No migration background,Disagree completely,0.62848,491,768,0.59428,0.66268
1990,Thuringa,No migration background,Agree completely,0.09106,56,714,0.06995,0.11218
1990,Thuringa,No migration background,Agree,0.08231,57,714,0.06214,0.10249
1990,Thuringa,No migration background,Disagree,0.16791,126,714,0.14047,0.19535
1990,Thuringa,No migration background,Disagree completely,0.65871,475,714,0.62391,0.69352
1991,Berlin,No migration background,Disagree,0.23619,54,215,0.17928,0.29310
1991,Berlin,No migration background,Disagree completely,0.58431,161,215,0.51828,0.65034
1991,Brandenburg,No migration background,Agree completely,0.07650,45,653,0.05610,0.09690
1991,Brandenburg,No migration background,Agree,0.11950,58,653,0.09460,0.14440
1991,Brandenburg,No migration background,Disagree,0.26056,161,653,0.22687,0.29425
1991,Brandenburg,No migration background,Disagree completely,0.54344,389,653,0.50521,0.58168
1991,Mecklenburg-Western Pomerania,No migration background,Agree completely,0.06696,31,455,0.04397,0.08995
1991,Mecklenburg-Western Pomerania,No migration background,Agree,0.11585,45,455,0.08641,0.14529
1991,Mecklenburg-Western Pomerania,No migration background,Disagree,0.22616,104,455,0.18767,0.26464
1991,Mecklenburg-Western Pomerania,No migration background,Disagree completely,0.59104,275,455,0.54582,0.63627
1991,Saxony,No migration background,Agree completely,0.08986,101,1176,0.07351,0.10621
1991,Saxony,No migration background,Agree,0.09609,97,1176,0.07924,0.11294
