year,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Agree completely,0.08191,822,10934,0.07677,0.08705
1992,Agree,0.12171,1149,10934,0.11558,0.12784
1992,Disagree,0.28149,3034,10934,0.27306,0.28992
1992,Disagree completely,0.51490,5929,10934,0.50553,0.52427
1993,Agree completely,0.08517,973,13020,0.08038,0.08996
1993,Agree,0.13696,1628,13020,0.13106,0.14287
1993,Disagree,0.28663,3621,13020,0.27886,0.29440
1993,Disagree completely,0.49124,6798,13020,0.48265,0.49982
1995,Agree completely,0.08334,910,13206,0.07862,0.08805
1995,Agree,0.14175,1671,13206,0.13580,0.14770
1995,Disagree,0.32674,4235,13206,0.31874,0.33474
1995,Disagree completely,0.44818,6390,13206,0.43970,0.45666
1996,Agree completely,0.07282,811,13007,0.06835,0.07728
1996,Agree,0.13986,1615,13007,0.13389,0.14582
1996,Disagree,0.33416,4298,13007,0.32605,0.34227
1996,Disagree completely,0.45317,6283,13007,0.44461,0.46172
1997,Agree completely,0.08078,813,12750,0.07605,0.08551
1997,Agree,0.13066,1453,12750,0.12481,0.13651
1997,Disagree,0.30493,3957,12750,0.29694,0.31292
1997,Disagree completely,0.48363,6527,12750,0.47495,0.49230
2008,Agree completely,0.07383,1190,19241,0.07013,0.07752
2008,Agree,0.15282,2565,19241,0.14774,0.15791
2008,Disagree,0.39122,7488,19241,0.38433,0.39812
2008,Disagree completely,0.38213,7998,19241,0.37526,0.38899
2013,Agree completely,0.05356,885,18795,0.05034,0.05678
2013,Agree,0.12370,2109,18795,0.11899,0.12841
2013,Disagree,0.40623,7409,18795,0.39921,0.41326
2013,Disagree completely,0.41651,8392,18795,0.40946,0.42356
2018,Agree completely,0.05745,1331,25502,0.05460,0.06031
2018,Agree,0.14207,3339,25502,0.13778,0.14635
2018,Disagree,0.38296,9488,25502,0.37700,0.38893
2018,Disagree completely,0.41752,11344,25502,0.41147,0.42357
