"plh0189","year","bula_h","n","percent","lower_confidence","upper_confidence","NA"
"Stimmt ganz u.gar","1990","Schleswig-Holstein","","","","",""
"Stimmt ganz u.gar","1990","Hamburg","","","","",""
"Stimmt ganz u.gar","1990","Niedersachsen","","","","",""
"Stimmt ganz u.gar","1990","Bremen","","","","",""
"Stimmt ganz u.gar","1990","Nordrhein-Westfalen","","","","",""
"Stimmt ganz u.gar","1990","Hessen","","","","",""
"Stimmt ganz u.gar","1990","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt ganz u.gar","1990","Baden-Wuerttemberg","","","","",""
"Stimmt ganz u.gar","1990","Bayern","","","","",""
"Stimmt ganz u.gar","1990","Saarland","","","","",""
"Stimmt ganz u.gar","1990","Berlin","41","0.177047363661734","0.133489232774651","0.220605494548817",""
"Stimmt ganz u.gar","1990","Brandenburg","82","0.118418009295019","0.0948827471110111","0.141953271479027",""
"Stimmt ganz u.gar","1990","Mecklenburg-Vorpommern","21","","","",""
"Stimmt ganz u.gar","1990","Sachsen","118","0.0897105313624291","0.074300335596473","0.105120727128385",""
"Stimmt ganz u.gar","1990","Sachsen-Anhalt","63","0.0863910320831332","0.0669110205563632","0.105871043609903",""
"Stimmt ganz u.gar","1990","Thueringen","57","0.0887398713019066","0.0682650759996864","0.109214666604127",""
"Stimmt eher","1990","Schleswig-Holstein","","","","",""
"Stimmt eher","1990","Hamburg","","","","",""
"Stimmt eher","1990","Niedersachsen","","","","",""
"Stimmt eher","1990","Bremen","","","","",""
"Stimmt eher","1990","Nordrhein-Westfalen","","","","",""
"Stimmt eher","1990","Hessen","","","","",""
"Stimmt eher","1990","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt eher","1990","Baden-Wuerttemberg","","","","",""
"Stimmt eher","1990","Bayern","","","","",""
"Stimmt eher","1990","Saarland","","","","",""
"Stimmt eher","1990","Berlin","27","","","",""
"Stimmt eher","1990","Brandenburg","58","0.0897785354961743","0.0689557606768428","0.110601310315506",""
"Stimmt eher","1990","Mecklenburg-Vorpommern","45","0.0938294637615597","0.0683976703112237","0.119261257211896",""
"Stimmt eher","1990","Sachsen","126","0.113967710112904","0.0968315951136523","0.131103825112155",""
"Stimmt eher","1990","Sachsen-Anhalt","76","0.106007493051851","0.0846618165762187","0.127353169527483",""
"Stimmt eher","1990","Thueringen","60","0.0827489427858708","0.06291247577024","0.102585409801502",""
"Stimmt eher nicht","1990","Schleswig-Holstein","","","","",""
"Stimmt eher nicht","1990","Hamburg","","","","",""
"Stimmt eher nicht","1990","Niedersachsen","","","","",""
"Stimmt eher nicht","1990","Bremen","","","","",""
"Stimmt eher nicht","1990","Nordrhein-Westfalen","","","","",""
"Stimmt eher nicht","1990","Hessen","","","","",""
"Stimmt eher nicht","1990","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt eher nicht","1990","Baden-Wuerttemberg","","","","",""
"Stimmt eher nicht","1990","Bayern","","","","",""
"Stimmt eher nicht","1990","Saarland","","","","",""
"Stimmt eher nicht","1990","Berlin","50","0.162771623340194","0.120645800182706","0.204897446497681",""
"Stimmt eher nicht","1990","Brandenburg","154","0.219590584149553","0.189436446343832","0.249744721955273",""
"Stimmt eher nicht","1990","Mecklenburg-Vorpommern","115","0.217177813106999","0.181215990634104","0.253139635579894",""
"Stimmt eher nicht","1990","Sachsen","278","0.21735665402064","0.195115101402547","0.239598206638732",""
"Stimmt eher nicht","1990","Sachsen-Anhalt","150","0.179814122091004","0.153185864867724","0.206442379314284",""
"Stimmt eher nicht","1990","Thueringen","136","0.180271126089422","0.152592967764403","0.207949284414441",""
"Stimmt ganz u.gar nicht","1990","Schleswig-Holstein","","","","",""
"Stimmt ganz u.gar nicht","1990","Hamburg","","","","",""
"Stimmt ganz u.gar nicht","1990","Niedersachsen","","","","",""
"Stimmt ganz u.gar nicht","1990","Bremen","","","","",""
"Stimmt ganz u.gar nicht","1990","Nordrhein-Westfalen","","","","",""
"Stimmt ganz u.gar nicht","1990","Hessen","","","","",""
"Stimmt ganz u.gar nicht","1990","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt ganz u.gar nicht","1990","Baden-Wuerttemberg","","","","",""
"Stimmt ganz u.gar nicht","1990","Bayern","","","","",""
"Stimmt ganz u.gar nicht","1990","Saarland","","","","",""
"Stimmt ganz u.gar nicht","1990","Berlin","177","0.546730903563756","0.489923891152925","0.603537915974587",""
"Stimmt ganz u.gar nicht","1990","Brandenburg","430","0.572212871059254","0.536173975276765","0.608251766841742",""
"Stimmt ganz u.gar nicht","1990","Mecklenburg-Vorpommern","324","0.649802394932049","0.608197000688606","0.691407789175493",""
"Stimmt ganz u.gar nicht","1990","Sachsen","799","0.578965104504027","0.552340576192278","0.605589632815777",""
"Stimmt ganz u.gar nicht","1990","Sachsen-Anhalt","510","0.627787352774012","0.594269472497377","0.661305233050647",""
"Stimmt ganz u.gar nicht","1990","Thueringen","488","0.648240059822801","0.613858141095116","0.682621978550486",""
"Stimmt ganz u.gar","1991","Schleswig-Holstein","","","","",""
"Stimmt ganz u.gar","1991","Hamburg","","","","",""
"Stimmt ganz u.gar","1991","Niedersachsen","","","","",""
"Stimmt ganz u.gar","1991","Bremen","","","","",""
"Stimmt ganz u.gar","1991","Nordrhein-Westfalen","","","","",""
"Stimmt ganz u.gar","1991","Hessen","","","","",""
"Stimmt ganz u.gar","1991","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt ganz u.gar","1991","Baden-Wuerttemberg","","","","",""
"Stimmt ganz u.gar","1991","Bayern","1","","","",""
"Stimmt ganz u.gar","1991","Saarland","","","","",""
"Stimmt ganz u.gar","1991","Berlin","22","","","",""
"Stimmt ganz u.gar","1991","Brandenburg","45","0.0738371461577459","0.0540654200773826","0.0936088722381093",""
"Stimmt ganz u.gar","1991","Mecklenburg-Vorpommern","31","0.0648823369906632","0.042566070610621","0.0871986033707055",""
"Stimmt ganz u.gar","1991","Sachsen","105","0.090916151994636","0.0747641895663146","0.107068114422957",""
"Stimmt ganz u.gar","1991","Sachsen-Anhalt","68","0.0930159457065108","0.0726715057590836","0.113360385653938",""
"Stimmt ganz u.gar","1991","Thueringen","59","0.0890940309544508","0.0678686192928332","0.110319442616068",""
"Stimmt eher","1991","Schleswig-Holstein","","","","",""
"Stimmt eher","1991","Hamburg","","","","",""
"Stimmt eher","1991","Niedersachsen","1","","","",""
"Stimmt eher","1991","Bremen","","","","",""
"Stimmt eher","1991","Nordrhein-Westfalen","","","","",""
"Stimmt eher","1991","Hessen","","","","",""
"Stimmt eher","1991","Rheinland-Pfalz,Saarland","1","","","",""
"Stimmt eher","1991","Baden-Wuerttemberg","2","","","",""
"Stimmt eher","1991","Bayern","","","","",""
"Stimmt eher","1991","Saarland","","","","",""
"Stimmt eher","1991","Berlin","24","","","",""
"Stimmt eher","1991","Brandenburg","62","0.121984765278668","0.0972409150825556","0.14672861547478",""
"Stimmt eher","1991","Mecklenburg-Vorpommern","47","0.116628054251822","0.0875477811394214","0.145708327364222",""
"Stimmt eher","1991","Sachsen","107","0.102809387382054","0.0857461454695426","0.119872629294566",""
"Stimmt eher","1991","Sachsen-Anhalt","73","0.113868411108503","0.0916190292560729","0.136117792960934",""
"Stimmt eher","1991","Thueringen","59","0.09720946951632","0.0751374115574355","0.119281527475204",""
"Stimmt eher nicht","1991","Schleswig-Holstein","","","","",""
"Stimmt eher nicht","1991","Hamburg","","","","",""
"Stimmt eher nicht","1991","Niedersachsen","","","","",""
"Stimmt eher nicht","1991","Bremen","","","","",""
"Stimmt eher nicht","1991","Nordrhein-Westfalen","2","","","",""
"Stimmt eher nicht","1991","Hessen","1","","","",""
"Stimmt eher nicht","1991","Rheinland-Pfalz,Saarland","","","","",""
"Stimmt eher nicht","1991","Baden-Wuerttemberg","4","","","",""
"Stimmt eher nicht","1991","Bayern","3","","","",""
"Stimmt eher nicht","1991","Saarland","","","","",""
"Stimmt eher nicht","1991","Berlin","58","0.235616887587398","0.185183006723661","0.286050768451135",""
"Stimmt eher nicht","1991","Brandenburg","165","0.257611595860221","0.224547111950749","0.290676079769693",""
"Stimmt eher nicht","1991","Mecklenburg-Vorpommern","105","0.221376768185012","0.183762305290357","0.258991231079667",""
"Stimmt eher nicht","1991","Sachsen","332","0.281556218508793","0.256287584868412","0.306824852149174",""
"Stimmt eher nicht","1991","Sachsen-Anhalt","166","0.219480129712337","0.190489556936048","0.248470702488625",""
"Stimmt eher nicht","1991","Thueringen","165","0.248380095650966","0.216187753487636","0.280572437814296",""
"Stimmt ganz u.gar nicht","1991","Schleswig-Holstein","3","","","",""
"Stimmt ganz u.gar nicht","1991","Hamburg","","","","",""
"Stimmt ganz u.gar nicht","1991","Niedersachsen","","","","",""
"Stimmt ganz u.gar nicht","1991","Bremen","","","","",""
"Stimmt ganz u.gar nicht","1991","Nordrhein-Westfalen","5","","","",""
"Stimmt ganz u.gar nicht","1991","Hessen","4","","","",""
"Stimmt ganz u.gar nicht","1991","Rheinland-Pfalz,Saarland","2","","","",""
"Stimmt ganz u.gar nicht","1991","Baden-Wuerttemberg","2","","","",""
"Stimmt ganz u.gar nicht","1991","Bayern","4","","","",""
"Stimmt ganz u.gar nicht","1991","Saarland","","","","",""
"Stimmt ganz u.gar nicht","1991","Berlin","168","0.583087775368165","0.524493805687025","0.641681745049304",""
"Stimmt ganz u.gar nicht","1991","Brandenburg","400","0.546566492703365","0.508927173347854","0.584205812058876",""
"Stimmt ganz u.gar nicht","1991","Mecklenburg-Vorpommern","285","0.597112840572503","0.552675804627162","0.641549876517843",""
"Stimmt ganz u.gar nicht","1991","Sachsen","673","0.524718242114517","0.496661227639944","0.552775256589089",""
"Stimmt ganz u.gar nicht","1991","Sachsen-Anhalt","476","0.573635513472649","0.53899568467001","0.608275342275288",""
"Stimmt ganz u.gar nicht","1991","Thueringen","409","0.565316403878263","0.528382308764393","0.602250498992134",""
"Stimmt ganz u.gar","1992","Schleswig-Holstein","18","","","",""
"Stimmt ganz u.gar","1992","Hamburg","3","","","",""
