"plh0189","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","17-29","(noch) kein Abschluss","2","","",""
"Stimmt ganz u.gar","1990","17-29","Hauptschule","12","","",""
"Stimmt ganz u.gar","1990","17-29","Realschule","57","0.0765855760283535","0.0575024070503975","0.0956687450063095"
"Stimmt ganz u.gar","1990","17-29","(Fach-)Abitur","7","","",""
"Stimmt ganz u.gar","1990","17-29","AkademikerIn","11","","",""
"Stimmt ganz u.gar","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","30-45","Hauptschule","32","0.118178025670086","0.0825286738657828","0.153827377474389"
"Stimmt ganz u.gar","1990","30-45","Realschule","49","0.0764193917379008","0.0563329668223234","0.0965058166534782"
"Stimmt ganz u.gar","1990","30-45","(Fach-)Abitur","2","","",""
"Stimmt ganz u.gar","1990","30-45","AkademikerIn","31","0.0654354413672794","0.0432896346075185","0.0875812481270403"
"Stimmt ganz u.gar","1990","46-65","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","46-65","Hauptschule","83","0.0967656518627385","0.0774186931404412","0.116112610585036"
"Stimmt ganz u.gar","1990","46-65","Realschule","12","","",""
"Stimmt ganz u.gar","1990","46-65","(Fach-)Abitur","2","","",""
"Stimmt ganz u.gar","1990","46-65","AkademikerIn","27","","",""
"Stimmt ganz u.gar","1990","66","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","66","Hauptschule","","","",""
"Stimmt ganz u.gar","1990","66","Realschule","","","",""
"Stimmt ganz u.gar","1990","66","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","66","AkademikerIn","","","",""
"Stimmt eher","1990","17-29","(noch) kein Abschluss","4","","",""
"Stimmt eher","1990","17-29","Hauptschule","13","","",""
"Stimmt eher","1990","17-29","Realschule","55","0.0696024573488025","0.0513414285640249","0.0878634861335802"
"Stimmt eher","1990","17-29","(Fach-)Abitur","11","","",""
"Stimmt eher","1990","17-29","AkademikerIn","18","","",""
"Stimmt eher","1990","30-45","(noch) kein Abschluss","1","","",""
"Stimmt eher","1990","30-45","Hauptschule","23","","",""
"Stimmt eher","1990","30-45","Realschule","50","0.0881593478800371","0.0667226881607214","0.109596007599353"
"Stimmt eher","1990","30-45","(Fach-)Abitur","1","","",""
"Stimmt eher","1990","30-45","AkademikerIn","30","0.0800315021526249","0.0557320044328996","0.10433099987235"
"Stimmt eher","1990","46-65","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","46-65","Hauptschule","79","0.091823548541008","0.0729256277687612","0.110721469313255"
"Stimmt eher","1990","46-65","Realschule","5","","",""
"Stimmt eher","1990","46-65","(Fach-)Abitur","","","",""
"Stimmt eher","1990","46-65","AkademikerIn","31","0.11443948859869","0.0789445910728607","0.149934386124519"
"Stimmt eher","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","66","Hauptschule","","","",""
"Stimmt eher","1990","66","Realschule","","","",""
"Stimmt eher","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher","1990","66","AkademikerIn","","","",""
"Stimmt eher nicht","1990","17-29","(noch) kein Abschluss","6","","",""
"Stimmt eher nicht","1990","17-29","Hauptschule","25","","",""
"Stimmt eher nicht","1990","17-29","Realschule","190","0.249123202596471","0.218086890621586","0.280159514571357"
"Stimmt eher nicht","1990","17-29","(Fach-)Abitur","28","","",""
"Stimmt eher nicht","1990","17-29","AkademikerIn","39","0.248342780340098","0.179882596394096","0.316802964286099"
"Stimmt eher nicht","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1990","30-45","Hauptschule","59","0.170420678361527","0.128898233405928","0.211943123317125"
"Stimmt eher nicht","1990","30-45","Realschule","106","0.157045705542915","0.129536471339443","0.184554939746388"
"Stimmt eher nicht","1990","30-45","(Fach-)Abitur","9","","",""
"Stimmt eher nicht","1990","30-45","AkademikerIn","103","0.22095544609964","0.183800739384669","0.258110152814611"
"Stimmt eher nicht","1990","46-65","(noch) kein Abschluss","2","","",""
"Stimmt eher nicht","1990","46-65","Hauptschule","159","0.187934431447008","0.162369149003286","0.213499713890731"
"Stimmt eher nicht","1990","46-65","Realschule","18","","",""
"Stimmt eher nicht","1990","46-65","(Fach-)Abitur","3","","",""
"Stimmt eher nicht","1990","46-65","AkademikerIn","50","0.149085376880181","0.10937268112069","0.188798072639673"
"Stimmt eher nicht","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1990","66","Hauptschule","","","",""
"Stimmt eher nicht","1990","66","Realschule","","","",""
"Stimmt eher nicht","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher nicht","1990","66","AkademikerIn","","","",""
"Stimmt ganz u.gar nicht","1990","17-29","(noch) kein Abschluss","21","","",""
"Stimmt ganz u.gar nicht","1990","17-29","Hauptschule","61","0.548849510127627","0.456278722535604","0.641420297719649"
