,Unnamed: 0,year,age_gr,regtyp,plh0189,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,Urban regions,Agree,0.10706,36,4203,0.09406,0.12283
1,1,1990,17-29 y.,Urban regions,Disagree,0.28728,99,4203,0.26912,0.3127
2,2,1990,17-29 y.,Urban regions,Disagree completely,0.60566,209,4203,0.57598,0.64356
3,3,1990,17-29 y.,Rural regions,Agree completely,0.08112,63,4203,0.07405,0.08811
4,4,1990,17-29 y.,Rural regions,Agree,0.08447,64,4203,0.07807,0.09132
5,5,1990,17-29 y.,Rural regions,Disagree,0.2413,186,4203,0.2287,0.2551
6,6,1990,17-29 y.,Rural regions,Disagree completely,0.59311,428,4203,0.56884,0.61488
7,7,1990,30-45 y.,Urban regions,Agree completely,0.09674,40,4203,0.08687,0.10863
8,8,1990,30-45 y.,Urban regions,Agree,0.09274,41,4203,0.08095,0.10466
9,9,1990,30-45 y.,Urban regions,Disagree,0.19504,94,4203,0.18217,0.20803
10,10,1990,30-45 y.,Urban regions,Disagree completely,0.61548,320,4203,0.5919,0.64572
11,11,1990,30-45 y.,Rural regions,Agree completely,0.07403,71,4203,0.06479,0.08512
12,12,1990,30-45 y.,Rural regions,Agree,0.07852,62,4203,0.06734,0.08992
13,13,1990,30-45 y.,Rural regions,Disagree,0.17388,178,4203,0.16111,0.18353
14,14,1990,30-45 y.,Rural regions,Disagree completely,0.67358,659,4203,0.65647,0.69255
15,15,1990,46-65 y.,Urban regions,Agree completely,0.12135,53,4203,0.11035,0.13273
16,16,1990,46-65 y.,Urban regions,Agree,0.11003,45,4203,0.09214,0.13532
17,17,1990,46-65 y.,Urban regions,Disagree,0.19829,92,4203,0.18605,0.21154
18,18,1990,46-65 y.,Urban regions,Disagree completely,0.57033,273,4203,0.55043,0.59348
19,19,1990,46-65 y.,Rural regions,Agree completely,0.08451,70,4203,0.07601,0.09265
20,20,1990,46-65 y.,Rural regions,Agree,0.08529,71,4203,0.07779,0.09264
21,21,1990,46-65 y.,Rural regions,Disagree,0.16598,134,4203,0.15653,0.17644
22,22,1990,46-65 y.,Rural regions,Disagree completely,0.66422,574,4203,0.64509,0.67901
23,23,1990,66 and older,Urban regions,Disagree completely,1.0,55,4203,0.91484,1.10463
24,24,1990,66 and older,Rural regions,Agree completely,0.10921,31,4203,0.0934,0.12539
25,25,1990,66 and older,Rural regions,Agree,0.15408,43,4203,0.13796,0.16777
26,26,1990,66 and older,Rural regions,Disagree,0.20369,59,4203,0.18391,0.22514
27,27,1990,66 and older,Rural regions,Disagree completely,0.53302,153,4203,0.5016,0.5618
28,28,1991,17-29 y.,Urban regions,Disagree,0.37914,102,3934,0.34234,0.42354
29,29,1991,17-29 y.,Urban regions,Disagree completely,0.62086,164,3934,0.56775,0.67844
