year,migback,quintil_oecd,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,1st Quintile,Agree completely,0.10889,204,2149,0.09571,0.12206
1992,No migration background,1st Quintile,Agree,0.17656,306,2149,0.16043,0.19268
1992,No migration background,1st Quintile,Disagree,0.28490,594,2149,0.26581,0.30398
1992,No migration background,1st Quintile,Disagree completely,0.42966,1045,2149,0.40872,0.45059
1992,No migration background,2nd Quintile,Agree completely,0.08330,168,2147,0.07161,0.09499
1992,No migration background,2nd Quintile,Agree,0.13325,223,2147,0.11887,0.14763
1992,No migration background,2nd Quintile,Disagree,0.25972,559,2147,0.24117,0.27827
1992,No migration background,2nd Quintile,Disagree completely,0.52373,1197,2147,0.50260,0.54486
1992,No migration background,3rd Quintile,Agree completely,0.06621,132,1961,0.05520,0.07722
1992,No migration background,3rd Quintile,Agree,0.11180,179,1961,0.09785,0.12575
1992,No migration background,3rd Quintile,Disagree,0.29805,568,1961,0.27780,0.31830
1992,No migration background,3rd Quintile,Disagree completely,0.52394,1082,1961,0.50183,0.54605
1992,No migration background,4th Quintile,Agree completely,0.08256,148,1957,0.07036,0.09476
1992,No migration background,4th Quintile,Agree,0.10672,190,1957,0.09304,0.12041
1992,No migration background,4th Quintile,Disagree,0.26888,517,1957,0.24923,0.28852
1992,No migration background,4th Quintile,Disagree completely,0.54184,1102,1957,0.51976,0.56392
1992,No migration background,5th Quintile,Agree completely,0.06425,117,2072,0.05369,0.07481
1992,No migration background,5th Quintile,Agree,0.09155,171,2072,0.07913,0.10397
1992,No migration background,5th Quintile,Disagree,0.29116,605,2072,0.27160,0.31073
1992,No migration background,5th Quintile,Disagree completely,0.55303,1179,2072,0.53162,0.57445
1992,Direct migration background,1st Quintile,Disagree completely,0.38947,44,44,0.24372,0.53523
1992,Direct migration background,2nd Quintile,Disagree completely,0.48933,61,61,0.36284,0.61582
1992,Direct migration background,3rd Quintile,Disagree,0.31713,44,99,0.22499,0.40927
1992,Direct migration background,3rd Quintile,Disagree completely,0.47387,55,99,0.37501,0.57273
1992,Direct migration background,4th Quintile,Disagree,0.29822,32,93,0.20474,0.39170
1992,Direct migration background,4th Quintile,Disagree completely,0.50928,61,93,0.40713,0.61144
1992,Direct migration background,5th Quintile,Disagree,0.26983,31,99,0.18195,0.35771
1992,Direct migration background,5th Quintile,Disagree completely,0.59041,68,99,0.49304,0.68777
1993,No migration background,1st Quintile,Agree completely,0.12558,196,1855,0.11050,0.14067
1993,No migration background,1st Quintile,Agree,0.18726,284,1855,0.16950,0.20502
