,Unnamed: 0,year,bula_h,pgisced97,plh0189,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Berlin,Upper Secondary Level,Disagree completely,1.0,84,3514,0.91357,1.1046
1,1,1990,Berlin,Second Stage of Tertiary Education,Disagree completely,1.0,65,3514,0.93087,1.06915
2,2,1990,Brandenburg,Lower Secondary Level,Disagree completely,1.0,37,3514,0.84817,1.19069
3,3,1990,Brandenburg,Upper Secondary Level,Agree completely,0.13605,46,3514,0.11635,0.1534
4,4,1990,Brandenburg,Upper Secondary Level,Disagree,0.25019,86,3514,0.2328,0.27278
5,5,1990,Brandenburg,Upper Secondary Level,Disagree completely,0.61376,234,3514,0.57866,0.64485
6,6,1990,Brandenburg,First Stage of Tertiary Education,Disagree completely,1.0,35,3514,0.8761,1.16241
7,7,1990,Brandenburg,Second Stage of Tertiary Education,Disagree completely,1.0,112,3514,0.93049,1.08044
8,8,1990,Mecklenburg-Western Pomerania,Lower Secondary Level,Disagree completely,1.0,34,3514,0.8837,1.13755
9,9,1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Disagree,0.21662,55,3514,0.19763,0.24077
10,10,1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Disagree completely,0.78338,189,3514,0.73539,0.8273
11,11,1990,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Disagree,0.32901,35,3514,0.29068,0.3693
12,12,1990,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Disagree completely,0.67099,64,3514,0.60372,0.73496
13,13,1990,Saxony,Lower Secondary Level,Disagree,0.389,41,3514,0.33363,0.45314
14,14,1990,Saxony,Lower Secondary Level,Disagree completely,0.611,71,3514,0.55453,0.67911
15,15,1990,Saxony,Upper Secondary Level,Agree completely,0.08311,65,3514,0.07416,0.09388
16,16,1990,Saxony,Upper Secondary Level,Agree,0.10302,67,3514,0.09489,0.11505
17,17,1990,Saxony,Upper Secondary Level,Disagree,0.21925,160,3514,0.20568,0.23344
18,18,1990,Saxony,Upper Secondary Level,Disagree completely,0.59462,471,3514,0.57358,0.61463
19,19,1990,Saxony,First Stage of Tertiary Education,Disagree completely,1.0,51,3514,0.90817,1.10505
20,20,1990,Saxony,Second Stage of Tertiary Education,Disagree,0.2154,51,3514,0.19764,0.23602
21,21,1990,Saxony,Second Stage of Tertiary Education,Disagree completely,0.7846,183,3514,0.74789,0.82348
22,22,1990,Saxony-Anhalt,Lower Secondary Level,Disagree completely,1.0,65,3514,0.89271,1.13439
23,23,1990,Saxony-Anhalt,Upper Secondary Level,Agree completely,0.10133,44,3514,0.08723,0.11985
24,24,1990,Saxony-Anhalt,Upper Secondary Level,Agree,0.10379,43,3514,0.08779,0.12046
25,25,1990,Saxony-Anhalt,Upper Secondary Level,Disagree,0.16502,77,3514,0.14993,0.18172
26,26,1990,Saxony-Anhalt,Upper Secondary Level,Disagree completely,0.62986,280,3514,0.59789,0.66186
27,27,1990,Saxony-Anhalt,First Stage of Tertiary Education,Disagree completely,1.0,38,3514,0.85052,1.16507
28,28,1990,Saxony-Anhalt,Second Stage of Tertiary Education,Disagree,0.23393,38,3514,0.20467,0.26466
29,29,1990,Saxony-Anhalt,Second Stage of Tertiary Education,Disagree completely,0.76607,116,3514,0.69491,0.85986
30,30,1990,Thuringa,Upper Secondary Level,Agree completely,0.08233,38,3514,0.07236,0.09396
31,31,1990,Thuringa,Upper Secondary Level,Agree,0.0775,36,3514,0.06753,0.0929
32,32,1990,Thuringa,Upper Secondary Level,Disagree,0.17107,85,3514,0.15223,0.18866
33,33,1990,Thuringa,Upper Secondary Level,Disagree completely,0.6691,327,3514,0.6364,0.70054
34,34,1990,Thuringa,Second Stage of Tertiary Education,Disagree completely,1.0,91,3514,0.92401,1.08073
35,35,1991,Berlin,Upper Secondary Level,Disagree completely,1.0,79,3268,0.88586,1.13986
36,36,1991,Berlin,Second Stage of Tertiary Education,Disagree completely,1.0,68,3268,0.89734,1.11212
37,37,1991,Brandenburg,Lower Secondary Level,Disagree completely,1.0,34,3268,0.82026,1.21778
38,38,1991,Brandenburg,Upper Secondary Level,Agree,0.1358,33,3268,0.11424,0.15712
39,39,1991,Brandenburg,Upper Secondary Level,Disagree,0.26246,87,3268,0.23061,0.29277
40,40,1991,Brandenburg,Upper Secondary Level,Disagree completely,0.60175,222,3268,0.57691,0.64079
41,41,1991,Brandenburg,Second Stage of Tertiary Education,Disagree,0.27365,33,3268,0.22815,0.33167
42,42,1991,Brandenburg,Second Stage of Tertiary Education,Disagree completely,0.72635,104,3268,0.67296,0.78112
43,43,1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Agree,0.1414,31,3268,0.1173,0.16384
44,44,1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Disagree,0.22247,51,3268,0.1895,0.25467
45,45,1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Disagree completely,0.63614,164,3268,0.59546,0.68033
46,46,1991,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Disagree,0.31051,31,3268,0.25467,0.36667
47,47,1991,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Disagree completely,0.68949,60,3268,0.63079,0.74777
48,48,1991,Saxony,Lower Secondary Level,Disagree,0.42354,41,3268,0.33971,0.52899
