year,quintil_oecd,sampreg,plh0189,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,1st Quintile,West,Agree completely,0.13650,75,10896,0.13621,0.13679
1992,1st Quintile,West,Agree,0.21102,120,10896,0.21067,0.21137
1992,1st Quintile,West,Disagree,0.29199,201,10896,0.29160,0.29238
1992,1st Quintile,West,Disagree completely,0.36049,255,10896,0.36008,0.36090
1992,1st Quintile,East,Agree completely,0.09279,145,10896,0.09256,0.09302
1992,1st Quintile,East,Agree,0.13984,202,10896,0.13956,0.14011
1992,1st Quintile,East,Disagree,0.28299,433,10896,0.28264,0.28335
1992,1st Quintile,East,Disagree completely,0.48438,845,10896,0.48398,0.48477
1992,2nd Quintile,West,Agree completely,0.07924,77,10896,0.07905,0.07944
1992,2nd Quintile,West,Agree,0.15316,143,10896,0.15290,0.15341
1992,2nd Quintile,West,Disagree,0.25958,276,10896,0.25927,0.25989
1992,2nd Quintile,West,Disagree completely,0.50802,587,10896,0.50767,0.50838
1992,2nd Quintile,East,Agree completely,0.09306,102,10896,0.09275,0.09336
1992,2nd Quintile,East,Agree,0.10380,107,10896,0.10349,0.10412
1992,2nd Quintile,East,Disagree,0.26164,311,10896,0.26118,0.26209
1992,2nd Quintile,East,Disagree completely,0.54150,677,10896,0.54098,0.54202
1992,3rd Quintile,West,Agree completely,0.06939,91,10896,0.06923,0.06955
1992,3rd Quintile,West,Agree,0.11830,145,10896,0.11809,0.11850
1992,3rd Quintile,West,Disagree,0.30600,426,10896,0.30571,0.30629
1992,3rd Quintile,West,Disagree completely,0.50631,737,10896,0.50599,0.50662
1992,3rd Quintile,East,Agree completely,0.05646,49,10896,0.05615,0.05677
1992,3rd Quintile,East,Agree,0.06815,44,10896,0.06781,0.06849
1992,3rd Quintile,East,Disagree,0.26669,192,10896,0.26610,0.26729
1992,3rd Quintile,East,Disagree completely,0.60870,408,10896,0.60804,0.60936
1992,4th Quintile,West,Agree completely,0.08288,139,10896,0.08272,0.08304
1992,4th Quintile,West,Agree,0.10790,174,10896,0.10772,0.10807
1992,4th Quintile,West,Disagree,0.27157,481,10896,0.27131,0.27182
1992,4th Quintile,West,Disagree completely,0.53766,1000,10896,0.53737,0.53794
1992,4th Quintile,East,Agree,0.12443,35,10896,0.12374,0.12512
1992,4th Quintile,East,Disagree,0.28454,86,10896,0.28359,0.28548
1992,4th Quintile,East,Disagree completely,0.59103,172,10896,0.59000,0.59206
1992,5th Quintile,West,Agree completely,0.06733,115,10896,0.06720,0.06746
1992,5th Quintile,West,Agree,0.09039,171,10896,0.09024,0.09054
1992,5th Quintile,West,Disagree,0.29000,595,10896,0.28975,0.29024
1992,5th Quintile,West,Disagree completely,0.55228,1166,10896,0.55202,0.55255
1992,5th Quintile,East,Disagree,0.28248,33,10896,0.28102,0.28393
1992,5th Quintile,East,Disagree completely,0.71752,81,10896,0.71607,0.71898
1993,1st Quintile,West,Agree completely,0.12140,142,12959,0.12117,0.12162
1993,1st Quintile,West,Agree,0.19175,235,12959,0.19148,0.19203
1993,1st Quintile,West,Disagree,0.29258,424,12959,0.29226,0.29290
1993,1st Quintile,West,Disagree completely,0.39427,611,12959,0.39393,0.39461
1993,1st Quintile,East,Agree completely,0.11934,122,12959,0.11905,0.11964
1993,1st Quintile,East,Agree,0.17741,173,12959,0.17706,0.17775
1993,1st Quintile,East,Disagree,0.26189,313,12959,0.26149,0.26229
1993,1st Quintile,East,Disagree completely,0.44136,586,12959,0.44091,0.44181
1993,2nd Quintile,West,Agree completely,0.09765,123,12959,0.09745,0.09785
1993,2nd Quintile,West,Agree,0.16243,227,12959,0.16219,0.16268
1993,2nd Quintile,West,Disagree,0.29839,443,12959,0.29808,0.29870
1993,2nd Quintile,West,Disagree completely,0.44152,813,12959,0.44119,0.44186
1993,2nd Quintile,East,Agree completely,0.05562,66,12959,0.05539,0.05584
1993,2nd Quintile,East,Agree,0.12054,127,12959,0.12022,0.12087
1993,2nd Quintile,East,Disagree,0.24787,302,12959,0.24743,0.24830
1993,2nd Quintile,East,Disagree completely,0.57597,694,12959,0.57548,0.57647
1993,3rd Quintile,West,Agree completely,0.09788,152,12959,0.09770,0.09806
1993,3rd Quintile,West,Agree,0.12025,236,12959,0.12005,0.12045
1993,3rd Quintile,West,Disagree,0.29728,520,12959,0.29700,0.29756
1993,3rd Quintile,West,Disagree completely,0.48459,928,12959,0.48428,0.48490
1993,3rd Quintile,East,Agree completely,0.05658,46,12959,0.05630,0.05686
1993,3rd Quintile,East,Agree,0.08917,77,12959,0.08883,0.08952
1993,3rd Quintile,East,Disagree,0.25048,213,12959,0.24995,0.25100
1993,3rd Quintile,East,Disagree completely,0.60377,482,12959,0.60318,0.60436
1993,4th Quintile,West,Agree completely,0.07227,146,12959,0.07212,0.07241
1993,4th Quintile,West,Agree,0.13112,266,12959,0.13094,0.13131
1993,4th Quintile,West,Disagree,0.28425,601,12959,0.28400,0.28450
1993,4th Quintile,West,Disagree completely,0.51236,1145,12959,0.51208,0.51264
1993,4th Quintile,East,Agree,0.12143,49,12959,0.12088,0.12198
1993,4th Quintile,East,Disagree,0.31222,126,12959,0.31143,0.31300
1993,4th Quintile,East,Disagree completely,0.56635,238,12959,0.56551,0.56719
1993,5th Quintile,West,Agree completely,0.06371,138,12959,0.06358,0.06384
1993,5th Quintile,West,Agree,0.10960,215,12959,0.10944,0.10977
1993,5th Quintile,West,Disagree,0.29496,626,12959,0.29472,0.29520
1993,5th Quintile,West,Disagree completely,0.53173,1215,12959,0.53146,0.53199
1993,5th Quintile,East,Disagree,0.39058,53,12959,0.38918,0.39197
1993,5th Quintile,East,Disagree completely,0.60942,86,12959,0.60803,0.61082
1995,1st Quintile,West,Agree completely,0.12227,161,13190,0.12206,0.12249
1995,1st Quintile,West,Agree,0.19523,287,13190,0.19497,0.19549
1995,1st Quintile,West,Disagree,0.31143,510,13190,0.31113,0.31173
1995,1st Quintile,West,Disagree completely,0.37107,756,13190,0.37075,0.37139
1995,1st Quintile,East,Agree completely,0.13148,85,13190,0.13110,0.13186
1995,1st Quintile,East,Agree,0.17057,127,13190,0.17015,0.17099
1995,1st Quintile,East,Disagree,0.30921,253,13190,0.30869,0.30973
1995,1st Quintile,East,Disagree completely,0.38874,346,13190,0.38819,0.38928
1995,2nd Quintile,West,Agree completely,0.09242,125,13190,0.09223,0.09261
1995,2nd Quintile,West,Agree,0.13796,225,13190,0.13773,0.13818
1995,2nd Quintile,West,Disagree,0.31425,542,13190,0.31394,0.31455
1995,2nd Quintile,West,Disagree completely,0.45538,935,13190,0.45505,0.45570
1995,2nd Quintile,East,Agree completely,0.09205,83,13190,0.09175,0.09234
1995,2nd Quintile,East,Agree,0.13169,112,13190,0.13134,0.13203
1995,2nd Quintile,East,Disagree,0.31140,334,13190,0.31093,0.31187
1995,2nd Quintile,East,Disagree completely,0.46487,497,13190,0.46436,0.46538
1995,3rd Quintile,West,Agree completely,0.07316,99,13190,0.07300,0.07332
1995,3rd Quintile,West,Agree,0.16253,270,13190,0.16231,0.16276
1995,3rd Quintile,West,Disagree,0.30284,549,13190,0.30256,0.30312
1995,3rd Quintile,West,Disagree completely,0.46146,936,13190,0.46115,0.46176
1995,3rd Quintile,East,Agree completely,0.06173,52,13190,0.06145,0.06202
1995,3rd Quintile,East,Agree,0.10655,87,13190,0.10618,0.10691
1995,3rd Quintile,East,Disagree,0.35538,310,13190,0.35481,0.35595
1995,3rd Quintile,East,Disagree completely,0.47634,399,13190,0.47575,0.47693
1995,4th Quintile,West,Agree completely,0.07205,133,13190,0.07191,0.07220
1995,4th Quintile,West,Agree,0.13220,245,13190,0.13200,0.13239
1995,4th Quintile,West,Disagree,0.34600,681,13190,0.34573,0.34627
1995,4th Quintile,West,Disagree completely,0.44975,942,13190,0.44946,0.45003
1995,4th Quintile,East,Agree completely,0.05598,37,13190,0.05567,0.05628
1995,4th Quintile,East,Agree,0.11008,66,13190,0.10966,0.11050
1995,4th Quintile,East,Disagree,0.33436,220,13190,0.33373,0.33500
1995,4th Quintile,East,Disagree completely,0.49958,331,13190,0.49891,0.50024
