"plh0189","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","39","0.0851339434050805","0.0601934129958253","0.110074473814336"
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","2","14","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","3","7","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","4","3","","",""
"Stimmt ganz u.gar","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Stimmt ganz u.gar","1995","Hauptschule","1 Einkommensschwächstes Quintil","234","0.123244677284524","0.110384868179813","0.136104486389234"
"Stimmt ganz u.gar","1995","Hauptschule","2","144","0.0968147288983148","0.083455006881581","0.110174450915049"
"Stimmt ganz u.gar","1995","Hauptschule","3","75","0.0978443939235934","0.0789615878751365","0.11672719997205"
"Stimmt ganz u.gar","1995","Hauptschule","4","45","0.0895397048790883","0.0659339296183232","0.113145480139853"
"Stimmt ganz u.gar","1995","Hauptschule","5 Einkommensstärkstes Quintil","12","","",""
"Stimmt ganz u.gar","1995","Realschule","1 Einkommensschwächstes Quintil","75","0.0688273980682927","0.0537429219712462","0.0839118741653393"
"Stimmt ganz u.gar","1995","Realschule","2","43","0.066829826798103","0.050631196464505","0.0830284571317011"
"Stimmt ganz u.gar","1995","Realschule","3","28","","",""
"Stimmt ganz u.gar","1995","Realschule","4","16","","",""
"Stimmt ganz u.gar","1995","Realschule","5 Einkommensstärkstes Quintil","13","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","25","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","2","12","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","3","7","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","4","6","","",""
"Stimmt ganz u.gar","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","5","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","1 Einkommensschwächstes Quintil","26","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","2","28","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","3","11","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","4","10","","",""
"Stimmt ganz u.gar","1995","AkademikerIn","5 Einkommensstärkstes Quintil","8","","",""
"Stimmt eher","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","87","0.171386053249897","0.137708586879459","0.205063519620335"
"Stimmt eher","1995","(noch) kein Abschluss","2","34","0.183981121112442","0.1327807057375","0.235181536487385"
"Stimmt eher","1995","(noch) kein Abschluss","3","14","","",""
"Stimmt eher","1995","(noch) kein Abschluss","4","8","","",""
"Stimmt eher","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Stimmt eher","1995","Hauptschule","1 Einkommensschwächstes Quintil","388","0.178406666188919","0.163428962909224","0.193384369468613"
"Stimmt eher","1995","Hauptschule","2","235","0.149796517448968","0.133673342010028","0.165919692887908"
"Stimmt eher","1995","Hauptschule","3","128","0.149222252464554","0.126576712044242","0.171867792884867"
"Stimmt eher","1995","Hauptschule","4","61","0.115610350277838","0.0891740840154224","0.142046616540253"
"Stimmt eher","1995","Hauptschule","5 Einkommensstärkstes Quintil","26","","",""
"Stimmt eher","1995","Realschule","1 Einkommensschwächstes Quintil","152","0.154195373541995","0.13267721215015","0.175713534933841"
"Stimmt eher","1995","Realschule","2","103","0.13823020363219","0.115842486524502","0.160617920739878"
"Stimmt eher","1995","Realschule","3","57","0.112368546051376","0.0858780255208318","0.13885906658192"
"Stimmt eher","1995","Realschule","4","29","","",""
"Stimmt eher","1995","Realschule","5 Einkommensstärkstes Quintil","20","","",""
"Stimmt eher","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","57","0.174105725718596","0.136178486286041","0.212032965151152"
"Stimmt eher","1995","(Fach-)Abitur","2","37","0.162503316603784","0.119215203877919","0.20579142932965"
"Stimmt eher","1995","(Fach-)Abitur","3","16","","",""
"Stimmt eher","1995","(Fach-)Abitur","4","8","","",""
"Stimmt eher","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","8","","",""
"Stimmt eher","1995","AkademikerIn","1 Einkommensschwächstes Quintil","46","0.12343498244429","0.0895032770885088","0.157366687800071"
"Stimmt eher","1995","AkademikerIn","2","38","0.0736739674547433","0.0496436710253318","0.0977042638841548"
"Stimmt eher","1995","AkademikerIn","3","43","0.149461487051576","0.113278425052522","0.18564454905063"
"Stimmt eher","1995","AkademikerIn","4","19","","",""
"Stimmt eher","1995","AkademikerIn","5 Einkommensstärkstes Quintil","19","","",""
"Stimmt eher nicht","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","137","0.283635063670956","0.243351983354087","0.323918143987825"
