"plh0042","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","17-29","männlich","254","0.211498000160273","0.187485045894203","0.235510954426343"
"Grosse Sorgen","1984","17-29","weiblich","156","0.157188818734096","0.132890824339413","0.181486813128778"
"Grosse Sorgen","1984","30-45","männlich","376","0.174988869597393","0.157232658972362","0.192745080222424"
"Grosse Sorgen","1984","30-45","weiblich","180","0.14881547799235","0.126855170413086","0.170775785571614"
"Grosse Sorgen","1984","46-65","männlich","265","0.17676467909509","0.156240189212255","0.197289168977925"
"Grosse Sorgen","1984","46-65","weiblich","112","0.133842510997034","0.107627136972328","0.16005788502174"
"Grosse Sorgen","1984","66","männlich","","","",""
"Grosse Sorgen","1984","66","weiblich","","","",""
"Einige Sorgen","1984","17-29","männlich","383","0.336230743514495","0.308451632792327","0.364009854236663"
"Einige Sorgen","1984","17-29","weiblich","275","0.310675610286076","0.279782626201865","0.341568594370286"
"Einige Sorgen","1984","30-45","männlich","589","0.333266788936599","0.311238171837524","0.355295406035675"
"Einige Sorgen","1984","30-45","weiblich","312","0.299872638228159","0.271600448051307","0.328144828405011"
"Einige Sorgen","1984","46-65","männlich","392","0.283551448398201","0.259300927640329","0.307801969156074"
"Einige Sorgen","1984","46-65","weiblich","179","0.281993211987843","0.247347922841031","0.316638501134655"
"Einige Sorgen","1984","66","männlich","","","",""
"Einige Sorgen","1984","66","weiblich","","","",""
"Keine Sorgen","1984","17-29","männlich","474","0.452271256325232","0.423004585595777","0.481537927054687"
"Keine Sorgen","1984","17-29","weiblich","431","0.532135570979829","0.498826262446278","0.565444879513379"
"Keine Sorgen","1984","30-45","männlich","794","0.491744341466008","0.468381483532694","0.515107199399321"
"Keine Sorgen","1984","30-45","weiblich","517","0.551311883779491","0.520623538738139","0.582000228820844"
"Keine Sorgen","1984","46-65","männlich","670","0.539683872506709","0.512866856875427","0.566500888137991"
