,Unnamed: 0,year,quintil_oecd,plh0042,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,Very concerned,0.25889,252,6743,0.23473,0.28587
1,1,1984,1st Quintile,Somewhat concerned,0.32466,295,6743,0.2938,0.35147
2,2,1984,1st Quintile,Not concerned at all,0.41645,331,6743,0.37998,0.45032
3,3,1984,2nd Quintile,Very concerned,0.23599,308,6743,0.21885,0.25108
4,4,1984,2nd Quintile,Somewhat concerned,0.36115,425,6743,0.34191,0.37969
5,5,1984,2nd Quintile,Not concerned at all,0.40286,450,6743,0.38604,0.42516
6,6,1984,3rd Quintile,Very concerned,0.17873,293,6743,0.16512,0.19501
7,7,1984,3rd Quintile,Somewhat concerned,0.33035,465,6743,0.31231,0.34695
8,8,1984,3rd Quintile,Not concerned at all,0.49092,632,6743,0.46923,0.51068
9,9,1984,4th Quintile,Very concerned,0.13269,260,6743,0.12274,0.14457
10,10,1984,4th Quintile,Somewhat concerned,0.31132,500,6743,0.29686,0.32657
11,11,1984,4th Quintile,Not concerned at all,0.55598,845,6743,0.53823,0.57849
12,12,1984,5th Quintile,Very concerned,0.12454,231,6743,0.11637,0.13243
13,13,1984,5th Quintile,Somewhat concerned,0.25191,444,6743,0.24,0.26097
14,14,1984,5th Quintile,Not concerned at all,0.62356,1012,6743,0.61107,0.63601
15,15,1985,1st Quintile,Very concerned,0.17411,170,6094,0.15723,0.19158
16,16,1985,1st Quintile,Somewhat concerned,0.35727,336,6094,0.32787,0.39022
17,17,1985,1st Quintile,Not concerned at all,0.46862,345,6094,0.43488,0.50392
18,18,1985,2nd Quintile,Very concerned,0.14884,181,6094,0.13316,0.16468
19,19,1985,2nd Quintile,Somewhat concerned,0.32201,355,6094,0.30271,0.34398
20,20,1985,2nd Quintile,Not concerned at all,0.52915,509,6094,0.50472,0.55297
21,21,1985,3rd Quintile,Very concerned,0.12787,199,6094,0.11516,0.14133
22,22,1985,3rd Quintile,Somewhat concerned,0.31008,387,6094,0.29382,0.32752
23,23,1985,3rd Quintile,Not concerned at all,0.56205,677,6094,0.54,0.58599
24,24,1985,4th Quintile,Very concerned,0.11609,197,6094,0.10594,0.12515
25,25,1985,4th Quintile,Somewhat concerned,0.28529,421,6094,0.27089,0.30242
26,26,1985,4th Quintile,Not concerned at all,0.59862,807,6094,0.58257,0.61685
27,27,1985,5th Quintile,Very concerned,0.07881,128,6094,0.07201,0.08495
28,28,1985,5th Quintile,Somewhat concerned,0.2394,374,6094,0.22932,0.25079
29,29,1985,5th Quintile,Not concerned at all,0.68179,1008,6094,0.66188,0.69906
30,30,1986,1st Quintile,Very concerned,0.18106,155,5840,0.15632,0.20466
31,31,1986,1st Quintile,Somewhat concerned,0.38755,277,5840,0.35095,0.42483
32,32,1986,1st Quintile,Not concerned at all,0.43138,271,5840,0.39435,0.46731
33,33,1986,2nd Quintile,Very concerned,0.15931,198,5840,0.14215,0.17655
34,34,1986,2nd Quintile,Somewhat concerned,0.33074,338,5840,0.30912,0.35415
35,35,1986,2nd Quintile,Not concerned at all,0.50995,478,5840,0.48087,0.53681
36,36,1986,3rd Quintile,Very concerned,0.12673,171,5840,0.11189,0.13884
37,37,1986,3rd Quintile,Somewhat concerned,0.28381,386,5840,0.26541,0.30316
38,38,1986,3rd Quintile,Not concerned at all,0.58946,674,5840,0.565,0.61196
39,39,1986,4th Quintile,Very concerned,0.11576,204,5840,0.10516,0.12769
40,40,1986,4th Quintile,Somewhat concerned,0.27805,429,5840,0.26148,0.29435
41,41,1986,4th Quintile,Not concerned at all,0.60619,829,5840,0.58539,0.62856
42,42,1986,5th Quintile,Very concerned,0.08442,122,5840,0.07733,0.09185
43,43,1986,5th Quintile,Somewhat concerned,0.23702,334,5840,0.22716,0.2463
44,44,1986,5th Quintile,Not concerned at all,0.67856,974,5840,0.65789,0.69701
45,45,1987,1st Quintile,Very concerned,0.14854,119,5926,0.12581,0.16962
46,46,1987,1st Quintile,Somewhat concerned,0.42466,290,5926,0.39199,0.46413
47,47,1987,1st Quintile,Not concerned at all,0.4268,286,5926,0.38793,0.46239
48,48,1987,2nd Quintile,Very concerned,0.14133,177,5926,0.12639,0.15716
49,49,1987,2nd Quintile,Somewhat concerned,0.34375,375,5926,0.31755,0.37166
