,Unnamed: 0,year,migback,sex,plh0042,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,No migration background,male,Very concerned,0.17037,460,6683,0.16693,0.17304
1,1,1984,No migration background,male,Somewhat concerned,0.31234,865,6683,0.30846,0.31644
2,2,1984,No migration background,male,Not concerned at all,0.51729,1431,6683,0.51204,0.52309
3,3,1984,No migration background,female,Very concerned,0.13655,238,6683,0.13281,0.14035
4,4,1984,No migration background,female,Somewhat concerned,0.28866,517,6683,0.28251,0.29397
5,5,1984,No migration background,female,Not concerned at all,0.57479,1008,6683,0.56571,0.58235
6,6,1984,Direct migration background,male,Very concerned,0.28861,431,6683,0.26092,0.31857
7,7,1984,Direct migration background,male,Somewhat concerned,0.32863,487,6683,0.29726,0.36291
8,8,1984,Direct migration background,male,Not concerned at all,0.38276,509,6683,0.3395,0.41898
9,9,1984,Direct migration background,female,Very concerned,0.23874,204,6683,0.20974,0.27219
10,10,1984,Direct migration background,female,Somewhat concerned,0.34765,236,6683,0.2966,0.39949
11,11,1984,Direct migration background,female,Not concerned at all,0.41361,297,6683,0.35852,0.46901
12,12,1985,No migration background,male,Very concerned,0.1218,309,6032,0.11878,0.12492
13,13,1985,No migration background,male,Somewhat concerned,0.28341,704,6032,0.27797,0.28832
14,14,1985,No migration background,male,Not concerned at all,0.59479,1490,6032,0.58718,0.6017
15,15,1985,No migration background,female,Very concerned,0.09146,150,6032,0.08827,0.09457
16,16,1985,No migration background,female,Somewhat concerned,0.28126,472,6032,0.27479,0.28787
17,17,1985,No migration background,female,Not concerned at all,0.62728,1058,6032,0.61459,0.6383
18,18,1985,Direct migration background,male,Very concerned,0.20643,280,6032,0.18172,0.2314
19,19,1985,Direct migration background,male,Somewhat concerned,0.37722,457,6032,0.34113,0.41226
20,20,1985,Direct migration background,male,Not concerned at all,0.41635,484,6032,0.37648,0.45347
21,21,1985,Direct migration background,female,Very concerned,0.19358,128,6032,0.1562,0.23091
22,22,1985,Direct migration background,female,Somewhat concerned,0.3433,223,6032,0.29586,0.39273
23,23,1985,Direct migration background,female,Not concerned at all,0.46311,277,6032,0.41091,0.51676
24,24,1986,No migration background,male,Very concerned,0.11886,287,5759,0.11488,0.1224
25,25,1986,No migration background,male,Somewhat concerned,0.28822,672,5759,0.28232,0.29483
26,26,1986,No migration background,male,Not concerned at all,0.59292,1411,5759,0.58246,0.60315
27,27,1986,No migration background,female,Very concerned,0.10419,164,5759,0.09717,0.11122
28,28,1986,No migration background,female,Somewhat concerned,0.26512,421,5759,0.25597,0.27332
29,29,1986,No migration background,female,Not concerned at all,0.63069,1011,5759,0.61715,0.64522
30,30,1986,Direct migration background,male,Very concerned,0.19714,257,5759,0.17705,0.22348
31,31,1986,Direct migration background,male,Somewhat concerned,0.37284,445,5759,0.34374,0.4049
32,32,1986,Direct migration background,male,Not concerned at all,0.43002,480,5759,0.39198,0.48425
33,33,1986,Direct migration background,female,Very concerned,0.18711,127,5759,0.14591,0.22245
34,34,1986,Direct migration background,female,Somewhat concerned,0.28408,206,5759,0.23979,0.33732
35,35,1986,Direct migration background,female,Not concerned at all,0.5288,278,5759,0.45836,0.59863
36,36,1987,No migration background,male,Very concerned,0.0953,237,5840,0.09081,0.09988
37,37,1987,No migration background,male,Somewhat concerned,0.31282,752,5840,0.30586,0.31877
38,38,1987,No migration background,male,Not concerned at all,0.59188,1426,5840,0.58095,0.60179
39,39,1987,No migration background,female,Very concerned,0.0872,152,5840,0.08161,0.09338
40,40,1987,No migration background,female,Somewhat concerned,0.30691,491,5840,0.29632,0.31656
41,41,1987,No migration background,female,Not concerned at all,0.6059,1000,5840,0.58965,0.61856
42,42,1987,Direct migration background,male,Very concerned,0.16067,199,5840,0.14015,0.18504
43,43,1987,Direct migration background,male,Somewhat concerned,0.38858,464,5840,0.3592,0.42441
44,44,1987,Direct migration background,male,Not concerned at all,0.45075,500,5840,0.41163,0.49233
45,45,1987,Direct migration background,female,Very concerned,0.1658,110,5840,0.13654,0.20136
46,46,1987,Direct migration background,female,Somewhat concerned,0.33209,230,5840,0.28631,0.37177
47,47,1987,Direct migration background,female,Not concerned at all,0.50211,279,5840,0.43658,0.56751
48,48,1988,No migration background,male,Very concerned,0.11786,271,5507,0.11222,0.12393
