year,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.16986,1345,6747,0.16089,0.17882
1984,Somewhat concerned,0.30765,2130,6747,0.29663,0.31866
1984,Not concerned at all,0.52250,3272,6747,0.51058,0.53442
1985,Very concerned,0.11960,875,6094,0.11145,0.12774
1985,Somewhat concerned,0.29106,1873,6094,0.27966,0.30247
1985,Not concerned at all,0.58934,3346,6094,0.57699,0.60169
1986,Very concerned,0.12236,850,5841,0.11395,0.13076
1986,Somewhat concerned,0.28659,1765,5841,0.27499,0.29819
1986,Not concerned at all,0.59105,3226,5841,0.57844,0.60366
1987,Very concerned,0.10031,713,5928,0.09266,0.10796
1987,Somewhat concerned,0.31825,1974,5928,0.30639,0.33010
1987,Not concerned at all,0.58145,3241,5928,0.56889,0.59400
1988,Very concerned,0.11945,815,5622,0.11097,0.12793
1988,Somewhat concerned,0.33390,1926,5622,0.32157,0.34623
1988,Not concerned at all,0.54665,2881,5622,0.53364,0.55967
1989,Very concerned,0.07412,505,5542,0.06723,0.08102
1989,Somewhat concerned,0.28070,1673,5542,0.26887,0.29253
1989,Not concerned at all,0.64517,3364,5542,0.63258,0.65777
1990,Very concerned,0.15415,1834,8778,0.14660,0.16171
1990,Somewhat concerned,0.31791,3108,8778,0.30817,0.32765
1990,Not concerned at all,0.52793,3836,8778,0.51749,0.53838
1991,Very concerned,0.14795,1638,8343,0.14033,0.15557
1991,Somewhat concerned,0.26455,2458,8343,0.25508,0.27401
1991,Not concerned at all,0.58750,4247,8343,0.57694,0.59807
1992,Very concerned,0.14086,1418,7812,0.13315,0.14858
1992,Somewhat concerned,0.31781,2671,7812,0.30749,0.32814
1992,Not concerned at all,0.54133,3723,7812,0.53028,0.55238
1993,Very concerned,0.10897,1014,7587,0.10195,0.11598
1993,Somewhat concerned,0.32331,2655,7587,0.31279,0.33384
1993,Not concerned at all,0.56772,3918,7587,0.55657,0.57887
1994,Very concerned,0.12594,1085,7367,0.11836,0.13351
1994,Somewhat concerned,0.36646,2936,7367,0.35546,0.37746
1994,Not concerned at all,0.50760,3346,7367,0.49619,0.51902
1995,Very concerned,0.13185,1237,8016,0.12444,0.13926
1995,Somewhat concerned,0.34867,3001,8016,0.33824,0.35910
1995,Not concerned at all,0.51948,3778,8016,0.50854,0.53042
1996,Very concerned,0.11614,1030,7765,0.10902,0.12327
1996,Somewhat concerned,0.35680,2941,7765,0.34615,0.36746
1996,Not concerned at all,0.52706,3794,7765,0.51595,0.53816
1997,Very concerned,0.14469,1298,7539,0.13675,0.15263
1997,Somewhat concerned,0.42015,3277,7539,0.40901,0.43129
1997,Not concerned at all,0.43516,2964,7539,0.42397,0.44636
1998,Very concerned,0.15167,1374,8225,0.14391,0.15942
1998,Somewhat concerned,0.37760,3297,8225,0.36713,0.38808
1998,Not concerned at all,0.47073,3554,8225,0.45994,0.48152
1999,Very concerned,0.13646,1241,8057,0.12896,0.14395
1999,Somewhat concerned,0.39803,3419,8057,0.38734,0.40872
1999,Not concerned at all,0.46551,3397,8057,0.45462,0.47640
2000,Very concerned,0.13625,1959,13577,0.13048,0.14202
2000,Somewhat concerned,0.38126,5332,13577,0.37309,0.38943
2000,Not concerned at all,0.48250,6286,13577,0.47409,0.49090
2001,Very concerned,0.11238,1458,12544,0.10686,0.11791
2001,Somewhat concerned,0.34931,4620,12544,0.34096,0.35765
2001,Not concerned at all,0.53831,6466,12544,0.52959,0.54703
2002,Very concerned,0.14904,1796,13316,0.14299,0.15509
2002,Somewhat concerned,0.39246,5085,13316,0.38416,0.40075
2002,Not concerned at all,0.45850,6435,13316,0.45004,0.46697
2003,Very concerned,0.16708,2009,12640,0.16057,0.17358
2003,Somewhat concerned,0.40352,5030,12640,0.39497,0.41207
2003,Not concerned at all,0.42940,5601,12640,0.42077,0.43803
2004,Very concerned,0.21023,2347,12243,0.20301,0.21745
2004,Somewhat concerned,0.41063,4991,12243,0.40192,0.41935
2004,Not concerned at all,0.37914,4905,12243,0.37054,0.38773
2005,Very concerned,0.20798,2141,11525,0.20057,0.21539
2005,Somewhat concerned,0.42088,4842,11525,0.41186,0.42989
2005,Not concerned at all,0.37115,4542,11525,0.36233,0.37997
2006,Very concerned,0.18643,2122,12308,0.17955,0.19332
2006,Somewhat concerned,0.40255,4855,12308,0.39389,0.41121
2006,Not concerned at all,0.41102,5331,12308,0.40232,0.41971
2007,Very concerned,0.17010,1753,11538,0.16325,0.17696
2007,Somewhat concerned,0.40213,4603,11538,0.39318,0.41107
2007,Not concerned at all,0.42777,5182,11538,0.41874,0.43680
2008,Very concerned,0.15218,1482,11092,0.14549,0.15886
2008,Somewhat concerned,0.37501,4137,11092,0.36600,0.38402
2008,Not concerned at all,0.47281,5473,11092,0.46352,0.48210
2009,Very concerned,0.16383,1482,10311,0.15668,0.17097
2009,Somewhat concerned,0.39884,4140,10311,0.38938,0.40829
2009,Not concerned at all,0.43733,4689,10311,0.42776,0.44691
2010,Very concerned,0.16259,2355,14202,0.15652,0.16866
2010,Somewhat concerned,0.37902,5199,14202,0.37104,0.38700
2010,Not concerned at all,0.45839,6648,14202,0.45020,0.46659
2011,Very concerned,0.09991,1607,16492,0.09533,0.10448
2011,Somewhat concerned,0.32267,5228,16492,0.31553,0.32980
2011,Not concerned at all,0.57743,9657,16492,0.56989,0.58497
2012,Very concerned,0.11771,1761,16411,0.11278,0.12264
2012,Somewhat concerned,0.32741,5238,16411,0.32023,0.33459
2012,Not concerned at all,0.55489,9412,16411,0.54728,0.56249
2013,Very concerned,0.09901,2027,19810,0.09485,0.10317
2013,Somewhat concerned,0.30608,6012,19810,0.29967,0.31250
2013,Not concerned at all,0.59491,11771,19810,0.58807,0.60174
2014,Very concerned,0.10035,1823,16864,0.09581,0.10488
2014,Somewhat concerned,0.31267,5424,16864,0.30568,0.31967
2014,Not concerned at all,0.58698,9617,16864,0.57955,0.59441
2015,Very concerned,0.08174,1529,16588,0.07757,0.08591
2015,Somewhat concerned,0.31447,5283,16588,0.30741,0.32154
2015,Not concerned at all,0.60379,9776,16588,0.59634,0.61123
2016,Very concerned,0.07313,1258,15203,0.06899,0.07727
2016,Somewhat concerned,0.27525,4229,15203,0.26815,0.28235
2016,Not concerned at all,0.65162,9716,15203,0.64404,0.65919
2017,Very concerned,0.07925,1480,17229,0.07522,0.08328
2017,Somewhat concerned,0.28874,5116,17229,0.28198,0.29551
2017,Not concerned at all,0.63201,10633,17229,0.62480,0.63921
2018,Very concerned,0.04883,808,16115,0.04551,0.05216
2018,Somewhat concerned,0.22804,3821,16115,0.22156,0.23451
2018,Not concerned at all,0.72313,11486,16115,0.71622,0.73004
2019,Very concerned,0.06277,1014,17336,0.05916,0.06638
2019,Somewhat concerned,0.24015,4073,17336,0.23379,0.24651
2019,Not concerned at all,0.69708,12249,17336,0.69024,0.70392
2020,Very concerned,0.06186,1143,17153,0.05825,0.06546
2020,Somewhat concerned,0.24252,4247,17153,0.23611,0.24893
2020,Not concerned at all,0.69562,11763,17153,0.68874,0.70251
