"plh0042","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","416","0.441918163539506","0.410681952659732","0.473154374419281"
"Einige Sorgen","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","561","0.360651282991879","0.335901204288504","0.385401361695254"
"Einige Sorgen","1995","2","Ländlicher Raum","349","0.381632445060953","0.349221724582715","0.414043165539191"
"Einige Sorgen","1995","2","Städtischer Raum","572","0.3536996704109","0.329734591432483","0.377664749389318"
"Einige Sorgen","1995","3","Ländlicher Raum","200","0.366015778209756","0.324290211971819","0.407741344447692"
"Einige Sorgen","1995","3","Städtischer Raum","363","0.329918165834934","0.30120397942442","0.358632352245448"
"Einige Sorgen","1995","4","Ländlicher Raum","114","0.312164958394094","0.260830362691434","0.363499554096753"
"Einige Sorgen","1995","4","Städtischer Raum","270","0.327179483581555","0.294808643673069","0.359550323490041"
"Einige Sorgen","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","26","","",""
"Einige Sorgen","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","130","0.269964831292759","0.228389423014276","0.311540239571241"
"Grosse Sorgen","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","244","0.221922820440575","0.195786117812879","0.248059523068271"
"Grosse Sorgen","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","296","0.179853077370392","0.160057475486879","0.199648679253906"
"Grosse Sorgen","1995","2","Ländlicher Raum","156","0.165344328287438","0.140559208701627","0.190129447873249"
"Grosse Sorgen","1995","2","Städtischer Raum","240","0.147725415701254","0.129940093904154","0.165510737498353"
"Grosse Sorgen","1995","3","Ländlicher Raum","56","0.099340687442998","0.0734313108834426","0.125250064002553"
"Grosse Sorgen","1995","3","Städtischer Raum","110","0.0979591796695927","0.0798054800926459","0.116112879246539"
"Grosse Sorgen","1995","4","Ländlicher Raum","40","0.110248497761363","0.0755511221534021","0.144945873369323"
"Grosse Sorgen","1995","4","Städtischer Raum","71","0.0811693897238502","0.062327468161424","0.100011311286276"
"Grosse Sorgen","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","6","","",""
"Grosse Sorgen","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","18","","",""
"Keine Sorgen","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","311","0.336159016019919","0.306446263301755","0.365871768738083"
"Keine Sorgen","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","589","0.459495639637729","0.433809180407922","0.485182098867536"
"Keine Sorgen","1995","2","Ländlicher Raum","358","0.453023226651609","0.419811812363983","0.486234640939234"
"Keine Sorgen","1995","2","Städtischer Raum","717","0.498574913887846","0.473513094915127","0.523636732860565"
"Keine Sorgen","1995","3","Ländlicher Raum","256","0.534643534347247","0.491438122803744","0.577848945890749"
"Keine Sorgen","1995","3","Städtischer Raum","557","0.572122654495473","0.54190688229984","0.602338426691107"
"Keine Sorgen","1995","4","Ländlicher Raum","159","0.577586543844544","0.522865631723992","0.632307455965095"
"Keine Sorgen","1995","4","Städtischer Raum","466","0.591651126694595","0.557738623129479","0.625563630259711"
"Keine Sorgen","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","75","0.736829646225481","0.653392732785161","0.820266559665802"
"Keine Sorgen","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","290","0.692927249400417","0.649728070162142","0.736126428638692"
"Einige Sorgen","1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","348","0.394630056621108","0.361752483448099","0.427507629794117"
"Einige Sorgen","1996","1 Einkommensschwächstes Quintil","Städtischer Raum","502","0.380816950401856","0.354194358864454","0.407439541939258"
"Einige Sorgen","1996","2","Ländlicher Raum","363","0.383246488872857","0.350940475213135","0.415552502532579"
