"plh0042","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","(noch) kein Abschluss","Westdeutschland","190","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1984","Hauptschule","Westdeutschland","887","0.199754619852465","0.18730829098555","0.21220094871938"
"Grosse Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1984","Realschule","Westdeutschland","128","","",""
"Grosse Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1984","(Fach-)Abitur","Westdeutschland","74","0.134294227720303","0.10160732430131","0.166981131139295"
"Grosse Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1984","AkademikerIn","Westdeutschland","53","0.0827131654390918","0.0601401292631385","0.105286201615045"
"Grosse Sorgen","1984","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1984","(noch) kein Abschluss","Westdeutschland","210","","",""
"Einige Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1984","Hauptschule","Westdeutschland","1318","","",""
"Einige Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1984","Realschule","Westdeutschland","338","0.301254858516381","0.274408950795515","0.328100766237246"
"Einige Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1984","(Fach-)Abitur","Westdeutschland","121","","",""
"Einige Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1984","AkademikerIn","Westdeutschland","123","","",""
"Einige Sorgen","1984","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1984","(noch) kein Abschluss","Westdeutschland","222","","",""
"Keine Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1984","Hauptschule","Westdeutschland","1759","","",""
"Keine Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1984","Realschule","Westdeutschland","656","0.580841335323504","0.551969815628109","0.609712855018899"
"Keine Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1984","(Fach-)Abitur","Westdeutschland","223","","",""
"Keine Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1984","AkademikerIn","Westdeutschland","396","0.707834218025311","0.67056669498343","0.745101741067192"
