year,migback,sampreg,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Very concerned,0.15730,698,4519,0.14668,0.16792
1984,No migration background,West,Somewhat concerned,0.30319,1382,4519,0.28978,0.31659
1984,No migration background,West,Not concerned at all,0.53951,2439,4519,0.52498,0.55405
1984,Direct migration background,West,Very concerned,0.27085,635,2164,0.25212,0.28958
1984,Direct migration background,West,Somewhat concerned,0.33540,723,2164,0.31551,0.35530
1984,Direct migration background,West,Not concerned at all,0.39375,806,2164,0.37316,0.41434
1985,No migration background,West,Very concerned,0.10962,459,4183,0.10015,0.11909
1985,No migration background,West,Somewhat concerned,0.28242,1176,4183,0.26877,0.29606
1985,No migration background,West,Not concerned at all,0.60796,2548,4183,0.59316,0.62276
1985,Direct migration background,West,Very concerned,0.20180,408,1849,0.18350,0.22010
1985,Direct migration background,West,Somewhat concerned,0.36522,680,1849,0.34327,0.38717
1985,Direct migration background,West,Not concerned at all,0.43298,761,1849,0.41039,0.45557
1985,Indirect migration background,West,Not concerned at all,0.67076,37,37,0.51725,0.82427
1986,No migration background,West,Very concerned,0.11298,451,3967,0.10312,0.12283
1986,No migration background,West,Somewhat concerned,0.27897,1093,3967,0.26502,0.29293
1986,No migration background,West,Not concerned at all,0.60805,2423,3967,0.59286,0.62324
1986,Direct migration background,West,Very concerned,0.19350,384,1793,0.17521,0.21179
1986,Direct migration background,West,Somewhat concerned,0.34081,651,1793,0.31887,0.36276
1986,Direct migration background,West,Not concerned at all,0.46569,758,1793,0.44259,0.48878
1986,Indirect migration background,West,Not concerned at all,0.49382,45,45,0.34609,0.64155
1987,No migration background,West,Very concerned,0.09205,389,4059,0.08315,0.10094
1987,No migration background,West,Somewhat concerned,0.31040,1243,4059,0.29616,0.32463
1987,No migration background,West,Not concerned at all,0.59756,2427,4059,0.58247,0.61264
1987,Direct migration background,West,Very concerned,0.16251,309,1782,0.14537,0.17964
1987,Direct migration background,West,Somewhat concerned,0.36825,694,1782,0.34585,0.39065
1987,Direct migration background,West,Not concerned at all,0.46924,779,1782,0.44607,0.49242
1987,Indirect migration background,West,Somewhat concerned,0.49594,37,72,0.37964,0.61224
1987,Indirect migration background,West,Not concerned at all,0.39600,35,72,0.28224,0.50976
1988,No migration background,West,Very concerned,0.10927,422,3839,0.09940,0.11914
1988,No migration background,West,Somewhat concerned,0.32827,1252,3839,0.31342,0.34313
