"plh0042","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","Westdeutschland, alte Bundeslaender","maennlich","905","0.184364846311963","0.172714621472016","0.196015071151909"
"Grosse Sorgen","1984","Westdeutschland, alte Bundeslaender","weiblich","451","0.146949852458971","0.133180830545857","0.160718874372086"
"Grosse Sorgen","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Grosse Sorgen","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Einige Sorgen","1984","Westdeutschland, alte Bundeslaender","maennlich","1378","0.31508622451656","0.301129614604173","0.329042834428947"
"Einige Sorgen","1984","Westdeutschland, alte Bundeslaender","weiblich","769","0.295603238745382","0.277857482901158","0.313348994589607"
"Einige Sorgen","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Einige Sorgen","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Keine Sorgen","1984","Westdeutschland, alte Bundeslaender","maennlich","1973","0.500548929171477","0.485527300438027","0.515570557904928"
"Keine Sorgen","1984","Westdeutschland, alte Bundeslaender","weiblich","1320","0.557446908795646","0.538130976353661","0.576762841237631"
"Keine Sorgen","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Keine Sorgen","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Grosse Sorgen","1985","Westdeutschland, alte Bundeslaender","maennlich","603","0.132469219804715","0.121679408188235","0.143259031421196"
"Grosse Sorgen","1985","Westdeutschland, alte Bundeslaender","weiblich","282","0.101040474725693","0.088837106806947","0.11324384264444"
"Grosse Sorgen","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Grosse Sorgen","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Einige Sorgen","1985","Westdeutschland, alte Bundeslaender","maennlich","1184","0.294125874965087","0.279623331559894","0.308628418370281"
"Einige Sorgen","1985","Westdeutschland, alte Bundeslaender","weiblich","703","0.287042347344957","0.268724822019847","0.305359872670066"
"Einige Sorgen","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Einige Sorgen","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Keine Sorgen","1985","Westdeutschland, alte Bundeslaender","maennlich","2005","0.573404905230197","0.557663171673447","0.589146638786947"
"Keine Sorgen","1985","Westdeutschland, alte Bundeslaender","weiblich","1358","0.61191717792935","0.59218520644809","0.63164914941061"
"Keine Sorgen","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Keine Sorgen","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Grosse Sorgen","1986","Westdeutschland, alte Bundeslaender","maennlich","556","0.128630737766772","0.117727703768489","0.139533771765055"
"Grosse Sorgen","1986","Westdeutschland, alte Bundeslaender","weiblich","297","0.11267989801898","0.0996290659703197","0.12573073006764"
"Grosse Sorgen","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Grosse Sorgen","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Einige Sorgen","1986","Westdeutschland, alte Bundeslaender","maennlich","1137","0.299965929461899","0.285042473041392","0.314889385882407"
"Einige Sorgen","1986","Westdeutschland, alte Bundeslaender","weiblich","636","0.265681093550557","0.247450638969157","0.283911548131958"
"Einige Sorgen","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Einige Sorgen","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Keine Sorgen","1986","Westdeutschland, alte Bundeslaender","maennlich","1929","0.571403332771328","0.555286873039283","0.587519792503374"
"Keine Sorgen","1986","Westdeutschland, alte Bundeslaender","weiblich","1322","0.621639008430463","0.601622094355962","0.641655922504963"
"Keine Sorgen","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Keine Sorgen","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Grosse Sorgen","1987","Westdeutschland, alte Bundeslaender","maennlich","449","0.103682459245615","0.0937913556171713","0.113573562874059"
"Grosse Sorgen","1987","Westdeutschland, alte Bundeslaender","weiblich","269","0.0951997305038382","0.0832339140065898","0.107165547001087"
"Grosse Sorgen","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Grosse Sorgen","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Einige Sorgen","1987","Westdeutschland, alte Bundeslaender","maennlich","1240","0.323102422075126","0.307928678301913","0.338276165848339"
"Einige Sorgen","1987","Westdeutschland, alte Bundeslaender","weiblich","741","0.310819404886018","0.291949543890793","0.329689265881243"
"Einige Sorgen","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Einige Sorgen","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Keine Sorgen","1987","Westdeutschland, alte Bundeslaender","maennlich","1960","0.573215118679259","0.557166986573206","0.589263250785312"
"Keine Sorgen","1987","Westdeutschland, alte Bundeslaender","weiblich","1301","0.593980864610144","0.573958858185235","0.614002871035052"
"Keine Sorgen","1987","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Keine Sorgen","1987","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Grosse Sorgen","1988","Westdeutschland, alte Bundeslaender","maennlich","538","0.128504400638553","0.117327841536047","0.13968095974106"
"Grosse Sorgen","1988","Westdeutschland, alte Bundeslaender","weiblich","282","0.105297326032394","0.0924802523368839","0.118114399727904"
