"plh0042","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Hamburg","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Bremen","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Nordrhein-Westfalen","56","0.316273423997609","0.246979106742926","0.385567741252291"
"Grosse Sorgen","1984","(noch) kein Abschluss","Hessen","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Baden-Wuerttemberg","43","0.231504573024297","0.17022540957244","0.292783736476153"
"Grosse Sorgen","1984","(noch) kein Abschluss","Bayern","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Berlin","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Sachsen","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","Thueringen","","","",""
"Grosse Sorgen","1984","Hauptschule","Schleswig-Holstein","","","",""
"Grosse Sorgen","1984","Hauptschule","Hamburg","","","",""
"Grosse Sorgen","1984","Hauptschule","Niedersachsen","92","0.225861548804658","0.183708143749941","0.268014953859375"
"Grosse Sorgen","1984","Hauptschule","Bremen","","","",""
"Grosse Sorgen","1984","Hauptschule","Nordrhein-Westfalen","257","0.245019812408118","0.21816028575951","0.271879339056726"
"Grosse Sorgen","1984","Hauptschule","Hessen","87","0.165928609231905","0.129471658250753","0.202385560213056"
"Grosse Sorgen","1984","Hauptschule","Rheinland-Pfalz,Saarland","52","0.167649864062767","0.12435666237225","0.210943065753283"
"Grosse Sorgen","1984","Hauptschule","Baden-Wuerttemberg","157","0.148288855534805","0.124355322818174","0.172222388251437"
"Grosse Sorgen","1984","Hauptschule","Bayern","142","0.184854978117801","0.156301965828122","0.213407990407479"
"Grosse Sorgen","1984","Hauptschule","Berlin","45","0.274839791982192","0.197800900708875","0.35187868325551"
"Grosse Sorgen","1984","Hauptschule","Brandenburg","","","",""
"Grosse Sorgen","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","Hauptschule","Sachsen","","","",""
"Grosse Sorgen","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","Hauptschule","Thueringen","","","",""
"Grosse Sorgen","1984","Realschule","Schleswig-Holstein","","","",""
