year,age_gr,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,male,Daily,0.04460,99,1382,0.03371,0.05549
1990,17-29 y.,male,At least once per week,0.28400,540,1382,0.26021,0.30778
1990,17-29 y.,male,At least once per month,0.24136,373,1382,0.21879,0.26393
1990,17-29 y.,male,Seldom,0.18801,305,1382,0.16740,0.20862
1990,17-29 y.,male,Never,0.02790,65,1382,0.01922,0.03659
1990,17-29 y.,female,Daily,0.07487,157,1322,0.06068,0.08907
1990,17-29 y.,female,At least once per week,0.31215,550,1322,0.28716,0.33713
1990,17-29 y.,female,At least once per month,0.23337,330,1322,0.21056,0.25617
1990,17-29 y.,female,Seldom,0.15177,242,1322,0.13242,0.17111
1990,17-29 y.,female,Never,0.01659,43,1322,0.00970,0.02348
1990,30-45 y.,male,Daily,0.02203,51,1372,0.01426,0.02980
1990,30-45 y.,male,At least once per week,0.30394,528,1372,0.27959,0.32829
1990,30-45 y.,male,At least once per month,0.26621,431,1372,0.24281,0.28961
1990,30-45 y.,male,Seldom,0.18953,310,1372,0.16879,0.21028
1990,30-45 y.,male,Never,0.01795,52,1372,0.01092,0.02497
1990,30-45 y.,female,Daily,0.04604,82,1409,0.03510,0.05699
1990,30-45 y.,female,At least once per week,0.30285,544,1409,0.27885,0.32685
1990,30-45 y.,female,At least once per month,0.25427,418,1409,0.23153,0.27702
1990,30-45 y.,female,Seldom,0.17907,306,1409,0.15905,0.19910
1990,30-45 y.,female,Never,0.01693,59,1409,0.01019,0.02367
1990,46-65 y.,male,Daily,0.04393,94,1483,0.03350,0.05437
1990,46-65 y.,male,At least once per week,0.23655,467,1483,0.21491,0.25818
1990,46-65 y.,male,At least once per month,0.26975,436,1483,0.24715,0.29235
1990,46-65 y.,male,Seldom,0.23304,411,1483,0.21151,0.25456
1990,46-65 y.,male,Never,0.02342,75,1483,0.01572,0.03112
1990,46-65 y.,female,Daily,0.05835,127,1416,0.04614,0.07057
1990,46-65 y.,female,At least once per week,0.28946,525,1416,0.26583,0.31309
1990,46-65 y.,female,At least once per month,0.25297,427,1416,0.23032,0.27562
1990,46-65 y.,female,Seldom,0.16855,291,1416,0.14905,0.18806
1990,46-65 y.,female,Never,0.02081,46,1416,0.01337,0.02824
1990,66 and older,male,At least once per week,0.27948,141,367,0.23351,0.32546
1990,66 and older,male,At least once per month,0.25520,128,367,0.21053,0.29987
1990,66 and older,male,Seldom,0.20690,98,367,0.16540,0.24840
1990,66 and older,female,Daily,0.10227,76,603,0.07806,0.12647
1990,66 and older,female,At least once per week,0.29092,226,603,0.25464,0.32721
1990,66 and older,female,At least once per month,0.23134,183,603,0.19765,0.26503
1990,66 and older,female,Seldom,0.15972,118,603,0.13046,0.18899
1995,17-29 y.,male,Daily,0.07229,142,1626,0.05970,0.08488
1995,17-29 y.,male,At least once per week,0.37758,665,1626,0.35401,0.40115
1995,17-29 y.,male,At least once per month,0.28247,435,1626,0.26058,0.30436
1995,17-29 y.,male,Seldom,0.22129,326,1626,0.20111,0.24147
1995,17-29 y.,male,Never,0.03856,58,1626,0.02920,0.04793
1995,17-29 y.,female,Daily,0.09512,176,1706,0.08119,0.10905
1995,17-29 y.,female,At least once per week,0.40580,755,1706,0.38249,0.42911
1995,17-29 y.,female,At least once per month,0.28093,449,1706,0.25959,0.30226
1995,17-29 y.,female,Seldom,0.17900,275,1706,0.16080,0.19719
1995,17-29 y.,female,Never,0.02996,51,1706,0.02187,0.03805
1995,30-45 y.,male,Daily,0.04372,114,2144,0.03506,0.05238
1995,30-45 y.,male,At least once per week,0.36281,822,2144,0.34245,0.38317
1995,30-45 y.,male,At least once per month,0.34738,724,2144,0.32722,0.36754
1995,30-45 y.,male,Seldom,0.21525,431,2144,0.19784,0.23265
1995,30-45 y.,male,Never,0.02537,53,2144,0.01872,0.03203
1995,30-45 y.,female,Daily,0.06532,159,2279,0.05517,0.07547
1995,30-45 y.,female,At least once per week,0.40190,923,2279,0.38176,0.42203
1995,30-45 y.,female,At least once per month,0.29998,698,2279,0.28116,0.31880
1995,30-45 y.,female,Seldom,0.20277,431,2279,0.18626,0.21928
1995,30-45 y.,female,Never,0.02715,68,2279,0.02048,0.03383
1995,46-65 y.,male,Daily,0.05391,139,2021,0.04406,0.06375
1995,46-65 y.,male,At least once per week,0.34639,757,2021,0.32564,0.36714
1995,46-65 y.,male,At least once per month,0.30895,593,2021,0.28880,0.32910
1995,46-65 y.,male,Seldom,0.25737,465,2021,0.23831,0.27644
1995,46-65 y.,male,Never,0.03023,67,2021,0.02277,0.03770
1995,46-65 y.,female,Daily,0.07812,185,1926,0.06614,0.09011
1995,46-65 y.,female,At least once per week,0.41383,814,1926,0.39183,0.43583
1995,46-65 y.,female,At least once per month,0.28897,536,1926,0.26872,0.30922
1995,46-65 y.,female,Seldom,0.19578,347,1926,0.17805,0.21350
1995,46-65 y.,female,Never,0.01482,44,1926,0.00942,0.02022
1995,66 and older,male,Daily,0.09866,54,563,0.07401,0.12332
1995,66 and older,male,At least once per week,0.34849,223,563,0.30909,0.38788
1995,66 and older,male,At least once per month,0.29602,168,563,0.25828,0.33376
1995,66 and older,male,Seldom,0.20699,118,563,0.17349,0.24049
1995,66 and older,female,Daily,0.12921,114,926,0.10759,0.15082
1995,66 and older,female,At least once per week,0.38116,372,926,0.34986,0.41245
1995,66 and older,female,At least once per month,0.23576,228,926,0.20840,0.26311
1995,66 and older,female,Seldom,0.20207,176,926,0.17619,0.22794
1995,66 and older,female,Never,0.04047,36,926,0.02777,0.05317
1998,17-29 y.,male,Daily,0.08032,143,1532,0.06670,0.09393
1998,17-29 y.,male,At least once per week,0.37868,628,1532,0.35438,0.40298
1998,17-29 y.,male,At least once per month,0.29224,436,1532,0.26946,0.31502
1998,17-29 y.,male,Seldom,0.22399,325,1532,0.20311,0.24488
1998,17-29 y.,female,Daily,0.09265,187,1574,0.07832,0.10698
1998,17-29 y.,female,At least once per week,0.45165,737,1574,0.42705,0.47624
1998,17-29 y.,female,At least once per month,0.25575,383,1574,0.23419,0.27731
1998,17-29 y.,female,Seldom,0.18360,267,1574,0.16447,0.20273
1998,30-45 y.,male,Daily,0.05096,149,2340,0.04204,0.05987
1998,30-45 y.,male,At least once per week,0.39362,962,2340,0.37383,0.41342
1998,30-45 y.,male,At least once per month,0.34962,799,2340,0.33029,0.36894
1998,30-45 y.,male,Seldom,0.18811,430,2340,0.17228,0.20395
1998,30-45 y.,female,Daily,0.07920,193,2401,0.06840,0.09000
1998,30-45 y.,female,At least once per week,0.39397,1010,2401,0.37442,0.41352
1998,30-45 y.,female,At least once per month,0.30503,760,2401,0.28661,0.32345
1998,30-45 y.,female,Seldom,0.19607,438,2401,0.18019,0.21196
1998,46-65 y.,male,Daily,0.06539,163,2180,0.05501,0.07577
1998,46-65 y.,male,At least once per week,0.34125,798,2180,0.32134,0.36115
1998,46-65 y.,male,At least once per month,0.31841,699,2180,0.29885,0.33797
1998,46-65 y.,male,Seldom,0.24167,461,2180,0.22370,0.25965
1998,46-65 y.,male,Never,0.02823,59,2180,0.02127,0.03518
1998,46-65 y.,female,Daily,0.08688,218,2188,0.07508,0.09869
1998,46-65 y.,female,At least once per week,0.41144,924,2188,0.39082,0.43207
1998,46-65 y.,female,At least once per month,0.26542,594,2188,0.24691,0.28392
