year,age_gr,quintil_oecd,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Daily,0.08966,74,559,0.06596,0.11337
1990,17-29 y.,1st Quintile,At least once per week,0.40726,255,559,0.36650,0.44803
1990,17-29 y.,1st Quintile,At least once per month,0.27374,122,559,0.23674,0.31074
1990,17-29 y.,1st Quintile,Seldom,0.18747,108,559,0.15509,0.21986
1990,17-29 y.,2nd Quintile,Daily,0.09261,59,528,0.06786,0.11736
1990,17-29 y.,2nd Quintile,At least once per week,0.38048,230,528,0.33903,0.42193
1990,17-29 y.,2nd Quintile,At least once per month,0.28749,136,528,0.24885,0.32614
1990,17-29 y.,2nd Quintile,Seldom,0.20209,103,528,0.16781,0.23638
1990,17-29 y.,3rd Quintile,Daily,0.08020,52,526,0.05696,0.10343
1990,17-29 y.,3rd Quintile,At least once per week,0.38602,219,526,0.34438,0.42767
1990,17-29 y.,3rd Quintile,At least once per month,0.29226,142,526,0.25335,0.33116
1990,17-29 y.,3rd Quintile,Seldom,0.20738,113,526,0.17269,0.24206
1990,17-29 y.,4th Quintile,Daily,0.06854,45,586,0.04806,0.08901
1990,17-29 y.,4th Quintile,At least once per week,0.36429,239,586,0.32530,0.40329
1990,17-29 y.,4th Quintile,At least once per month,0.32929,186,586,0.29121,0.36738
1990,17-29 y.,4th Quintile,Seldom,0.20807,116,586,0.17518,0.24097
1990,17-29 y.,5th Quintile,At least once per week,0.34582,147,369,0.29722,0.39441
1990,17-29 y.,5th Quintile,At least once per month,0.30696,116,369,0.25983,0.35408
1990,17-29 y.,5th Quintile,Seldom,0.27716,106,369,0.23143,0.32289
1990,30-45 y.,1st Quintile,Daily,0.06664,36,525,0.04528,0.08799
1990,30-45 y.,1st Quintile,At least once per week,0.36798,198,525,0.32669,0.40927
1990,30-45 y.,1st Quintile,At least once per month,0.28950,138,525,0.25067,0.32833
1990,30-45 y.,1st Quintile,Seldom,0.23575,117,525,0.19940,0.27209
1990,30-45 y.,1st Quintile,Never,0.03742,36,525,0.02117,0.05367
1990,30-45 y.,2nd Quintile,Daily,0.06294,39,600,0.04349,0.08239
1990,30-45 y.,2nd Quintile,At least once per week,0.43403,273,600,0.39434,0.47372
1990,30-45 y.,2nd Quintile,At least once per month,0.28617,179,600,0.24997,0.32237
1990,30-45 y.,2nd Quintile,Seldom,0.19200,109,600,0.16046,0.22354
1990,30-45 y.,3rd Quintile,At least once per week,0.38871,230,548,0.34786,0.42956
1990,30-45 y.,3rd Quintile,At least once per month,0.33132,170,548,0.29188,0.37077
1990,30-45 y.,3rd Quintile,Seldom,0.20842,116,548,0.17438,0.24246
1990,30-45 y.,3rd Quintile,Never,0.02091,32,548,0.00892,0.03290
1990,30-45 y.,4th Quintile,At least once per week,0.36943,179,444,0.32448,0.41437
1990,30-45 y.,4th Quintile,At least once per month,0.33650,147,444,0.29250,0.38050
1990,30-45 y.,4th Quintile,Seldom,0.25278,118,444,0.21231,0.29325
1990,30-45 y.,5th Quintile,At least once per week,0.33787,192,562,0.29873,0.37701
1990,30-45 y.,5th Quintile,At least once per month,0.36437,215,562,0.32455,0.40420
1990,30-45 y.,5th Quintile,Seldom,0.25801,155,562,0.22180,0.29421
1990,46-65 y.,1st Quintile,Daily,0.08252,47,504,0.05847,0.10656
1990,46-65 y.,1st Quintile,At least once per week,0.35863,188,504,0.31672,0.40055
1990,46-65 y.,1st Quintile,At least once per month,0.25145,112,504,0.21353,0.28936
1990,46-65 y.,1st Quintile,Seldom,0.23598,119,504,0.19887,0.27309
1990,46-65 y.,1st Quintile,Never,0.06696,38,504,0.04512,0.08881
1990,46-65 y.,2nd Quintile,Daily,0.06132,35,458,0.03933,0.08332
1990,46-65 y.,2nd Quintile,At least once per week,0.34644,171,458,0.30281,0.39007
1990,46-65 y.,2nd Quintile,At least once per month,0.36222,156,458,0.31815,0.40629
1990,46-65 y.,2nd Quintile,Seldom,0.20125,96,458,0.16449,0.23801
1990,46-65 y.,3rd Quintile,Daily,0.07434,46,539,0.05217,0.09651
1990,46-65 y.,3rd Quintile,At least once per week,0.31621,197,539,0.27692,0.35551
1990,46-65 y.,3rd Quintile,At least once per month,0.33912,165,539,0.29912,0.37912
1990,46-65 y.,3rd Quintile,Seldom,0.25068,131,539,0.21406,0.28731
1990,46-65 y.,4th Quintile,Daily,0.06903,52,658,0.04964,0.08841
1990,46-65 y.,4th Quintile,At least once per week,0.32522,231,658,0.28940,0.36105
1990,46-65 y.,4th Quintile,At least once per month,0.34001,221,658,0.30378,0.37623
1990,46-65 y.,4th Quintile,Seldom,0.23174,154,658,0.19948,0.26401
1990,46-65 y.,5th Quintile,Daily,0.04194,41,657,0.02660,0.05728
1990,46-65 y.,5th Quintile,At least once per week,0.31136,205,657,0.27592,0.34679
