"pli0081","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","11","","",""
"Taeglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","77","0.11859439739811","0.0934079898953314","0.143780804900888"
"Taeglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","8","0.115510150370102","0.0269130333306023","0.204107267409601"
"Taeglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Hauptschule","kein Migrationshintergrund","297","","",""
"Taeglich","1990","Hauptschule","direkter Migrationshintergrund","149","","",""
"Taeglich","1990","Hauptschule","indirekter Migrationshintergrund","15","","",""
"Taeglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Realschule","kein Migrationshintergrund","85","0.0561456449558577","0.0441933531274276","0.0680979367842877"
"Taeglich","1990","Realschule","direkter Migrationshintergrund","7","0.0408356892263408","0.00851107910365455","0.073160299349027"
"Taeglich","1990","Realschule","indirekter Migrationshintergrund","4","0.139687153068555","0.0445457744455507","0.23482853169156"
"Taeglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","(Fach-)Abitur","kein Migrationshintergrund","13","","",""
"Taeglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","11","","",""
"Taeglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Taeglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","AkademikerIn","kein Migrationshintergrund","19","","",""
"Taeglich","1990","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Taeglich","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","34","0.231268249546202","0.165102809090767","0.297433690001637"
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","273","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","16","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","1408","","",""
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","569","0.397919920609745","0.371972821930314","0.423867019289176"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","67","0.428350389615756","0.347245953098041","0.509454826133471"
"Min 1x pro Woche","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","521","0.363975498162039","0.338994277438172","0.388956718885906"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","54","0.306171125380262","0.230891899397722","0.381450351362803"
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","21","","",""
"Min 1x pro Woche","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","173","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","73","0.335527839212756","0.269924759463191","0.401130918962322"
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","11","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","190","","",""
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","26","","",""
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","58","0.369435104809887","0.293696069907043","0.44517413971273"
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","108","","",""
