,Unnamed: 0,year,sex,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,male,Daily,0.0492,271,9419,0.04461,0.05379
1,1,1990,male,At least once per week,0.34063,1676,9419,0.32988,0.35228
2,2,1990,male,At least once per month,0.32358,1368,9419,0.31415,0.33142
3,3,1990,male,Seldom,0.25648,1124,9419,0.24717,0.2658
4,4,1990,male,Never,0.03011,208,9419,0.02609,0.03359
5,5,1990,female,Daily,0.08562,442,9419,0.0792,0.09172
6,6,1990,female,At least once per week,0.37403,1845,9419,0.36213,0.38599
7,7,1990,female,At least once per month,0.30651,1358,9419,0.29714,0.3162
8,8,1990,female,Seldom,0.20774,957,9419,0.19869,0.21593
9,9,1990,female,Never,0.0261,170,9419,0.02268,0.03012
10,10,1995,male,Daily,0.06138,449,13211,0.05685,0.06589
11,11,1995,male,At least once per week,0.36059,2467,13211,0.3499,0.37073
12,12,1995,male,At least once per month,0.31556,1920,13211,0.30657,0.32466
13,13,1995,male,Seldom,0.23052,1340,13211,0.22135,0.23996
14,14,1995,male,Never,0.03195,198,13211,0.02839,0.03625
15,15,1995,female,Daily,0.08977,634,13211,0.08542,0.09554
16,16,1995,female,At least once per week,0.40468,2864,13211,0.39396,0.41674
17,17,1995,female,At least once per month,0.28079,1911,13211,0.27107,0.29031
18,18,1995,female,Seldom,0.19761,1229,13211,0.19045,0.20591
19,19,1995,female,Never,0.02713,199,13211,0.02378,0.03059
20,20,1998,male,Daily,0.06839,530,14153,0.06419,0.0729
21,21,1998,male,At least once per week,0.37542,2699,14153,0.36443,0.38597
22,22,1998,male,At least once per month,0.31974,2149,14153,0.31005,0.32927
23,23,1998,male,Seldom,0.21369,1348,14153,0.20615,0.22306
24,24,1998,male,Never,0.02275,130,14153,0.02008,0.02571
25,25,1998,female,Daily,0.09529,744,14153,0.09081,0.10038
26,26,1998,female,At least once per week,0.41697,3132,14153,0.40708,0.42653
27,27,1998,female,At least once per month,0.27452,2016,14153,0.26674,0.28285
28,28,1998,female,Seldom,0.19435,1289,14153,0.18619,0.20251
29,29,1998,female,Never,0.01887,116,14153,0.01632,0.02186
30,30,2003,male,Daily,0.05885,614,22038,0.05565,0.06258
31,31,2003,male,At least once per week,0.37457,4005,22038,0.36618,0.38351
32,32,2003,male,At least once per month,0.314,3453,22038,0.30587,0.32303
33,33,2003,male,Seldom,0.21712,2269,22038,0.20927,0.22421
34,34,2003,male,Never,0.03545,275,22038,0.03306,0.03775
35,35,2003,female,Daily,0.08506,979,22038,0.08043,0.08876
36,36,2003,female,At least once per week,0.40953,4710,22038,0.40127,0.41976
37,37,2003,female,At least once per month,0.28218,3354,22038,0.27403,0.28849
38,38,2003,female,Seldom,0.19352,2121,22038,0.18606,0.20024
39,39,2003,female,Never,0.02971,258,22038,0.02735,0.0317
40,40,2008,male,Daily,0.06221,593,19234,0.05698,0.06693
41,41,2008,male,At least once per week,0.35619,3334,19234,0.34375,0.36631
42,42,2008,male,At least once per month,0.31608,2951,19234,0.30631,0.32555
43,43,2008,male,Seldom,0.23274,2060,19234,0.22344,0.24301
44,44,2008,male,Never,0.03277,229,19234,0.02945,0.0356
45,45,2008,female,Daily,0.09247,962,19234,0.08812,0.09745
46,46,2008,female,At least once per week,0.39492,3988,19234,0.38372,0.40575
47,47,2008,female,At least once per month,0.27813,2933,19234,0.26989,0.28751
48,48,2008,female,Seldom,0.20868,1994,19234,0.20176,0.21456
49,49,2008,female,Never,0.02581,190,19234,0.02303,0.02856
50,50,2013,male,Daily,0.06393,741,25421,0.05946,0.06997
51,51,2013,male,At least once per week,0.33253,4120,25421,0.32071,0.34456
52,52,2013,male,At least once per month,0.32576,3722,25421,0.31418,0.33731
53,53,2013,male,Seldom,0.24059,2584,25421,0.23082,0.25141
54,54,2013,male,Never,0.03719,335,25421,0.03343,0.04017
55,55,2013,female,Daily,0.0896,1295,25421,0.08405,0.09418
56,56,2013,female,At least once per week,0.38422,5544,25421,0.37228,0.39759
57,57,2013,female,At least once per month,0.28477,3999,25421,0.27525,0.29453
58,58,2013,female,Seldom,0.21265,2746,25421,0.2035,0.22178
59,59,2013,female,Never,0.02875,335,25421,0.02581,0.03205
60,60,2019,male,Daily,0.05971,745,25645,0.05374,0.06496
61,61,2019,male,At least once per week,0.33231,4248,25645,0.32102,0.34677
62,62,2019,male,At least once per month,0.30763,3847,25645,0.29603,0.3199
63,63,2019,male,Seldom,0.26088,2934,25645,0.24962,0.27233
64,64,2019,male,Never,0.03946,466,25645,0.03602,0.04359
65,65,2019,female,Daily,0.0767,1035,25645,0.07243,0.08132
66,66,2019,female,At least once per week,0.38591,5187,25645,0.37364,0.39868
67,67,2019,female,At least once per month,0.29397,4009,25645,0.28023,0.30419
68,68,2019,female,Seldom,0.20798,2745,25645,0.19819,0.2184
69,69,2019,female,Never,0.03544,429,25645,0.03149,0.03935
70,70,2021,male,Daily,0.06867,530,17174,0.06201,0.07561
71,71,2021,male,At least once per week,0.39463,3094,17174,0.37879,0.41392
72,72,2021,male,At least once per month,0.29839,2377,17174,0.28334,0.31454
73,73,2021,male,Seldom,0.21006,1784,17174,0.19728,0.22138
74,74,2021,male,Never,0.02825,293,17174,0.02416,0.03196
75,75,2021,female,Daily,0.10283,795,17174,0.09421,0.11207
76,76,2021,female,At least once per week,0.39591,3718,17174,0.37723,0.41512
77,77,2021,female,At least once per month,0.26534,2356,17174,0.25091,0.27982
78,78,2021,female,Seldom,0.20331,1913,17174,0.1914,0.21517
79,79,2021,female,Never,0.03261,314,17174,0.02826,0.0385
