"pli0081","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","17-29","Städtischer Raum","216","0.0768252286093781","0.0655261045280469","0.0881243526907093"
"Täglich","1990","17-29","Ländlicher Raum","40","0.0703115222215066","0.0493224792051055","0.0913005652379076"
"Täglich","1990","30-45","Städtischer Raum","105","0.0410223197567006","0.0327902315187649","0.0492544079946364"
"Täglich","1990","30-45","Ländlicher Raum","28","","",""
"Täglich","1990","46-65","Städtischer Raum","186","0.0679945880350767","0.0577222173150076","0.0782669587551457"
"Täglich","1990","46-65","Ländlicher Raum","35","0.0517062864986956","0.0338689359436104","0.0695436370537807"
"Täglich","1990","66","Städtischer Raum","","","",""
"Täglich","1990","66","Ländlicher Raum","","","",""
"Min 1x pro Woche","1990","17-29","Städtischer Raum","869","0.383316290570615","0.362688117813554","0.403944463327677"
"Min 1x pro Woche","1990","17-29","Ländlicher Raum","221","0.361184084562059","0.321750811192353","0.400617357931765"
"Min 1x pro Woche","1990","30-45","Städtischer Raum","878","0.389428448127201","0.36918997337907","0.409666922875332"
"Min 1x pro Woche","1990","30-45","Ländlicher Raum","194","0.342714572856099","0.30308534785299","0.382343797859207"
"Min 1x pro Woche","1990","46-65","Städtischer Raum","828","0.347556116691879","0.328124526451501","0.366987706932257"
"Min 1x pro Woche","1990","46-65","Ländlicher Raum","164","0.272335860361629","0.236476285213055","0.308195435510202"
"Min 1x pro Woche","1990","66","Städtischer Raum","","","",""
"Min 1x pro Woche","1990","66","Ländlicher Raum","","","",""
"Min 1x pro Monat","1990","17-29","Städtischer Raum","541","0.300574533995232","0.281121036421496","0.320028031568968"
"Min 1x pro Monat","1990","17-29","Ländlicher Raum","162","0.305292748909215","0.267485957269764","0.343099540548666"
"Min 1x pro Monat","1990","30-45","Städtischer Raum","674","0.326418166654934","0.306956590818044","0.345879742491823"
"Min 1x pro Monat","1990","30-45","Ländlicher Raum","175","0.323211636625109","0.284159731350395","0.362263541899823"
"Min 1x pro Monat","1990","46-65","Städtischer Raum","644","0.307820374554167","0.288984647840257","0.326656101268076"
"Min 1x pro Monat","1990","46-65","Ländlicher Raum","219","0.3903121489559","0.351016266779554","0.429608031132246"
"Min 1x pro Monat","1990","66","Städtischer Raum","","","",""
"Min 1x pro Monat","1990","66","Ländlicher Raum","","","",""
"Seltener","1990","17-29","Städtischer Raum","422","0.212464009387455","0.195108843267715","0.229819175507195"
"Seltener","1990","17-29","Ländlicher Raum","125","0.229395786365328","0.194879896778635","0.263911675952021"
"Seltener","1990","30-45","Städtischer Raum","479","0.221118382640671","0.203893994199506","0.238342771081835"
"Seltener","1990","30-45","Ländlicher Raum","137","0.265773351827747","0.228888921538875","0.302657782116619"
"Seltener","1990","46-65","Städtischer Raum","546","0.246631340669078","0.229041893081465","0.264220788256691"
"Seltener","1990","46-65","Ländlicher Raum","156","0.265500701035306","0.22992808812435","0.301073313946263"
"Seltener","1990","66","Städtischer Raum","","","",""
"Seltener","1990","66","Ländlicher Raum","","","",""
"Nie","1990","17-29","Städtischer Raum","86","0.0268199374373192","0.019965428213156","0.0336744466614824"
"Nie","1990","17-29","Ländlicher Raum","22","","",""
"Nie","1990","30-45","Städtischer Raum","94","0.0220126828204933","0.015922942709647","0.0281024229313396"
"Nie","1990","30-45","Ländlicher Raum","17","","",""
"Nie","1990","46-65","Städtischer Raum","103","0.0299975800497994","0.0230368656787548","0.0369582944208441"
"Nie","1990","46-65","Ländlicher Raum","18","","",""
"Nie","1990","66","Städtischer Raum","","","",""
"Nie","1990","66","Ländlicher Raum","","","",""
"Täglich","1991","17-29","Städtischer Raum","","","",""
"Täglich","1991","17-29","Ländlicher Raum","","","",""
"Täglich","1991","30-45","Städtischer Raum","","","",""
"Täglich","1991","30-45","Ländlicher Raum","","","",""
"Täglich","1991","46-65","Städtischer Raum","","","",""
"Täglich","1991","46-65","Ländlicher Raum","","","",""
"Täglich","1991","66","Städtischer Raum","","","",""
"Täglich","1991","66","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","17-29","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","17-29","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","30-45","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","30-45","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","46-65","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","46-65","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","66","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","66","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","17-29","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","17-29","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","30-45","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","30-45","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","46-65","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","46-65","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","66","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","66","Ländlicher Raum","","","",""
"Seltener","1991","17-29","Städtischer Raum","","","",""
"Seltener","1991","17-29","Ländlicher Raum","","","",""
"Seltener","1991","30-45","Städtischer Raum","","","",""
"Seltener","1991","30-45","Ländlicher Raum","","","",""
"Seltener","1991","46-65","Städtischer Raum","","","",""
"Seltener","1991","46-65","Ländlicher Raum","","","",""
"Seltener","1991","66","Städtischer Raum","","","",""
"Seltener","1991","66","Ländlicher Raum","","","",""
"Nie","1991","17-29","Städtischer Raum","","","",""
"Nie","1991","17-29","Ländlicher Raum","","","",""
"Nie","1991","30-45","Städtischer Raum","","","",""
"Nie","1991","30-45","Ländlicher Raum","","","",""
"Nie","1991","46-65","Städtischer Raum","","","",""
"Nie","1991","46-65","Ländlicher Raum","","","",""
"Nie","1991","66","Städtischer Raum","","","",""
"Nie","1991","66","Ländlicher Raum","","","",""
"Täglich","1992","17-29","Städtischer Raum","","","",""
"Täglich","1992","17-29","Ländlicher Raum","","","",""
"Täglich","1992","30-45","Städtischer Raum","","","",""
"Täglich","1992","30-45","Ländlicher Raum","","","",""
"Täglich","1992","46-65","Städtischer Raum","","","",""
"Täglich","1992","46-65","Ländlicher Raum","","","",""
"Täglich","1992","66","Städtischer Raum","","","",""
"Täglich","1992","66","Ländlicher Raum","","","",""
"Min 1x pro Woche","1992","17-29","Städtischer Raum","","","",""
"Min 1x pro Woche","1992","17-29","Ländlicher Raum","","","",""
"Min 1x pro Woche","1992","30-45","Städtischer Raum","","","",""
"Min 1x pro Woche","1992","30-45","Ländlicher Raum","","","",""
"Min 1x pro Woche","1992","46-65","Städtischer Raum","","","",""
"Min 1x pro Woche","1992","46-65","Ländlicher Raum","","","",""
"Min 1x pro Woche","1992","66","Städtischer Raum","","","",""
"Min 1x pro Woche","1992","66","Ländlicher Raum","","","",""
"Min 1x pro Monat","1992","17-29","Städtischer Raum","","","",""
"Min 1x pro Monat","1992","17-29","Ländlicher Raum","","","",""
"Min 1x pro Monat","1992","30-45","Städtischer Raum","","","",""
"Min 1x pro Monat","1992","30-45","Ländlicher Raum","","","",""
"Min 1x pro Monat","1992","46-65","Städtischer Raum","","","",""
"Min 1x pro Monat","1992","46-65","Ländlicher Raum","","","",""
"Min 1x pro Monat","1992","66","Städtischer Raum","","","",""
"Min 1x pro Monat","1992","66","Ländlicher Raum","","","",""
"Seltener","1992","17-29","Städtischer Raum","","","",""
"Seltener","1992","17-29","Ländlicher Raum","","","",""
"Seltener","1992","30-45","Städtischer Raum","","","",""
"Seltener","1992","30-45","Ländlicher Raum","","","",""
"Seltener","1992","46-65","Städtischer Raum","","","",""
"Seltener","1992","46-65","Ländlicher Raum","","","",""
"Seltener","1992","66","Städtischer Raum","","","",""
"Seltener","1992","66","Ländlicher Raum","","","",""
"Nie","1992","17-29","Städtischer Raum","","","",""
"Nie","1992","17-29","Ländlicher Raum","","","",""
"Nie","1992","30-45","Städtischer Raum","","","",""
"Nie","1992","30-45","Ländlicher Raum","","","",""
"Nie","1992","46-65","Städtischer Raum","","","",""
"Nie","1992","46-65","Ländlicher Raum","","","",""
"Nie","1992","66","Städtischer Raum","","","",""
"Nie","1992","66","Ländlicher Raum","","","",""
"Täglich","1993","17-29","Städtischer Raum","","","",""
"Täglich","1993","17-29","Ländlicher Raum","","","",""
"Täglich","1993","30-45","Städtischer Raum","","","",""
"Täglich","1993","30-45","Ländlicher Raum","","","",""
"Täglich","1993","46-65","Städtischer Raum","","","",""
"Täglich","1993","46-65","Ländlicher Raum","","","",""
"Täglich","1993","66","Städtischer Raum","","","",""
"Täglich","1993","66","Ländlicher Raum","","","",""
"Min 1x pro Woche","1993","17-29","Städtischer Raum","","","",""
"Min 1x pro Woche","1993","17-29","Ländlicher Raum","","","",""
"Min 1x pro Woche","1993","30-45","Städtischer Raum","","","",""
"Min 1x pro Woche","1993","30-45","Ländlicher Raum","","","",""
"Min 1x pro Woche","1993","46-65","Städtischer Raum","","","",""
"Min 1x pro Woche","1993","46-65","Ländlicher Raum","","","",""
"Min 1x pro Woche","1993","66","Städtischer Raum","","","",""
"Min 1x pro Woche","1993","66","Ländlicher Raum","","","",""
"Min 1x pro Monat","1993","17-29","Städtischer Raum","","","",""
"Min 1x pro Monat","1993","17-29","Ländlicher Raum","","","",""
"Min 1x pro Monat","1993","30-45","Städtischer Raum","","","",""
"Min 1x pro Monat","1993","30-45","Ländlicher Raum","","","",""
"Min 1x pro Monat","1993","46-65","Städtischer Raum","","","",""
"Min 1x pro Monat","1993","46-65","Ländlicher Raum","","","",""
"Min 1x pro Monat","1993","66","Städtischer Raum","","","",""
"Min 1x pro Monat","1993","66","Ländlicher Raum","","","",""
"Seltener","1993","17-29","Städtischer Raum","","","",""
"Seltener","1993","17-29","Ländlicher Raum","","","",""
"Seltener","1993","30-45","Städtischer Raum","","","",""
"Seltener","1993","30-45","Ländlicher Raum","","","",""
"Seltener","1993","46-65","Städtischer Raum","","","",""
"Seltener","1993","46-65","Ländlicher Raum","","","",""
"Seltener","1993","66","Städtischer Raum","","","",""
"Seltener","1993","66","Ländlicher Raum","","","",""
"Nie","1993","17-29","Städtischer Raum","","","",""
"Nie","1993","17-29","Ländlicher Raum","","","",""
"Nie","1993","30-45","Städtischer Raum","","","",""
"Nie","1993","30-45","Ländlicher Raum","","","",""
"Nie","1993","46-65","Städtischer Raum","","","",""
"Nie","1993","46-65","Ländlicher Raum","","","",""
"Nie","1993","66","Städtischer Raum","","","",""
"Nie","1993","66","Ländlicher Raum","","","",""
"Täglich","1994","17-29","Städtischer Raum","","","",""
"Täglich","1994","17-29","Ländlicher Raum","","","",""
"Täglich","1994","30-45","Städtischer Raum","","","",""
"Täglich","1994","30-45","Ländlicher Raum","","","",""
"Täglich","1994","46-65","Städtischer Raum","","","",""
"Täglich","1994","46-65","Ländlicher Raum","","","",""
"Täglich","1994","66","Städtischer Raum","","","",""
"Täglich","1994","66","Ländlicher Raum","","","",""
"Min 1x pro Woche","1994","17-29","Städtischer Raum","","","",""
"Min 1x pro Woche","1994","17-29","Ländlicher Raum","","","",""
"Min 1x pro Woche","1994","30-45","Städtischer Raum","","","",""
"Min 1x pro Woche","1994","30-45","Ländlicher Raum","","","",""
"Min 1x pro Woche","1994","46-65","Städtischer Raum","","","",""
"Min 1x pro Woche","1994","46-65","Ländlicher Raum","","","",""
"Min 1x pro Woche","1994","66","Städtischer Raum","","","",""
"Min 1x pro Woche","1994","66","Ländlicher Raum","","","",""
"Min 1x pro Monat","1994","17-29","Städtischer Raum","","","",""
"Min 1x pro Monat","1994","17-29","Ländlicher Raum","","","",""
"Min 1x pro Monat","1994","30-45","Städtischer Raum","","","",""
"Min 1x pro Monat","1994","30-45","Ländlicher Raum","","","",""
"Min 1x pro Monat","1994","46-65","Städtischer Raum","","","",""
"Min 1x pro Monat","1994","46-65","Ländlicher Raum","","","",""
"Min 1x pro Monat","1994","66","Städtischer Raum","","","",""
"Min 1x pro Monat","1994","66","Ländlicher Raum","","","",""
"Seltener","1994","17-29","Städtischer Raum","","","",""
"Seltener","1994","17-29","Ländlicher Raum","","","",""
"Seltener","1994","30-45","Städtischer Raum","","","",""
"Seltener","1994","30-45","Ländlicher Raum","","","",""
"Seltener","1994","46-65","Städtischer Raum","","","",""
"Seltener","1994","46-65","Ländlicher Raum","","","",""
"Seltener","1994","66","Städtischer Raum","","","",""
"Seltener","1994","66","Ländlicher Raum","","","",""
"Nie","1994","17-29","Städtischer Raum","","","",""
"Nie","1994","17-29","Ländlicher Raum","","","",""
"Nie","1994","30-45","Städtischer Raum","","","",""
"Nie","1994","30-45","Ländlicher Raum","","","",""
"Nie","1994","46-65","Städtischer Raum","","","",""
"Nie","1994","46-65","Ländlicher Raum","","","",""
"Nie","1994","66","Städtischer Raum","","","",""
"Nie","1994","66","Ländlicher Raum","","","",""
"Täglich","1995","17-29","Städtischer Raum","226","0.0891657211991862","0.0773003355111255","0.101031106887247"
"Täglich","1995","17-29","Ländlicher Raum","92","0.0733845107039964","0.0580853370914933","0.0886836843164995"
