year,migback,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,male,Daily,0.04613,149,3179,0.03884,0.05343
1990,No migration background,male,At least once per week,0.33715,1074,3179,0.32072,0.35359
1990,No migration background,male,At least once per month,0.33738,1077,3179,0.32095,0.35382
1990,No migration background,male,Seldom,0.25899,817,3179,0.24376,0.27422
1990,No migration background,male,Never,0.02034,62,3179,0.01543,0.02525
1990,No migration background,female,Daily,0.08386,282,3433,0.07459,0.09313
1990,No migration background,female,At least once per week,0.37320,1288,3433,0.35702,0.38938
1990,No migration background,female,At least once per month,0.31545,1103,3433,0.29990,0.33100
1990,No migration background,female,Seldom,0.20495,693,3433,0.19145,0.21846
1990,No migration background,female,Never,0.02254,67,3433,0.01757,0.02751
1990,Direct migration background,male,Daily,0.06949,112,1325,0.05579,0.08318
1990,Direct migration background,male,At least once per week,0.36407,540,1325,0.33815,0.38998
1990,Direct migration background,male,At least once per month,0.22664,258,1325,0.20409,0.24919
1990,Direct migration background,male,Seldom,0.24535,282,1325,0.22217,0.26852
1990,Direct migration background,male,Never,0.09447,133,1325,0.07871,0.11022
1990,Direct migration background,female,Daily,0.09814,142,1191,0.08124,0.11505
1990,Direct migration background,female,At least once per week,0.38242,492,1191,0.35481,0.41003
1990,Direct migration background,female,At least once per month,0.23600,229,1191,0.21188,0.26013
1990,Direct migration background,female,Seldom,0.22883,231,1191,0.20496,0.25269
1990,Direct migration background,female,Never,0.05461,97,1191,0.04170,0.06752
1990,Indirect migration background,male,At least once per week,0.35367,62,95,0.25702,0.45033
1990,Indirect migration background,male,At least once per month,0.31488,33,95,0.22098,0.40877
1990,Indirect migration background,female,At least once per week,0.35811,65,98,0.26270,0.45353
1990,Indirect migration background,female,Seldom,0.22953,33,98,0.14584,0.31321
1995,No migration background,male,Daily,0.05715,277,4723,0.05053,0.06377
1995,No migration background,male,At least once per week,0.35558,1728,4723,0.34192,0.36923
1995,No migration background,male,At least once per month,0.32985,1566,4723,0.31644,0.34326
1995,No migration background,male,Seldom,0.23422,1064,4723,0.22214,0.24630
1995,No migration background,male,Never,0.02320,88,4723,0.01891,0.02749
1995,No migration background,female,Daily,0.08262,427,5220,0.07516,0.09009
1995,No migration background,female,At least once per week,0.40362,2100,5220,0.39031,0.41693
1995,No migration background,female,At least once per month,0.29345,1608,5220,0.28110,0.30580
1995,No migration background,female,Seldom,0.19846,982,5220,0.18763,0.20928
1995,No migration background,female,Never,0.02185,103,5220,0.01789,0.02582
1995,Direct migration background,male,Daily,0.08500,150,1403,0.07040,0.09960
1995,Direct migration background,male,At least once per week,0.39049,630,1403,0.36495,0.41603
1995,Direct migration background,male,At least once per month,0.24428,302,1403,0.22179,0.26677
1995,Direct migration background,male,Seldom,0.20692,230,1403,0.18571,0.22812
1995,Direct migration background,male,Never,0.07331,91,1403,0.05966,0.08695
1995,Direct migration background,female,Daily,0.12942,170,1365,0.11160,0.14723
