"pli0081","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","Schleswig-Holstein","kein Migrationshintergrund","16","","",""
"Täglich","1990","Schleswig-Holstein","direkter Migrationshintergrund","9","","",""
"Täglich","1990","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Täglich","1990","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Hamburg","kein Migrationshintergrund","1","","",""
"Täglich","1990","Hamburg","direkter Migrationshintergrund","3","","",""
"Täglich","1990","Hamburg","indirekter Migrationshintergrund","1","","",""
"Täglich","1990","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Niedersachsen","kein Migrationshintergrund","48","0.0617744598139381","0.0450919572122539","0.0784569624156222"
"Täglich","1990","Niedersachsen","direkter Migrationshintergrund","13","","",""
"Täglich","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Täglich","1990","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Bremen","kein Migrationshintergrund","3","","",""
"Täglich","1990","Bremen","direkter Migrationshintergrund","1","","",""
"Täglich","1990","Bremen","indirekter Migrationshintergrund","","","",""
"Täglich","1990","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Nordrhein-Westfalen","kein Migrationshintergrund","103","0.0585484135909318","0.0476933939326408","0.0694034332492229"
"Täglich","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","53","0.0690779273659633","0.0498476223441057","0.0883082323878209"
"Täglich","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","9","","",""
"Täglich","1990","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Hessen","kein Migrationshintergrund","49","0.0667396749051719","0.0468529233184782","0.0866264264918657"
"Täglich","1990","Hessen","direkter Migrationshintergrund","34","0.0844646933916604","0.0552057588654363","0.113723627917885"
"Täglich","1990","Hessen","indirekter Migrationshintergrund","3","","",""
"Täglich","1990","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","64","0.118634833085602","0.0913363973646878","0.145933268806517"
"Täglich","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","9","","",""
"Täglich","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","1","","",""
"Täglich","1990","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Baden-Württemberg","kein Migrationshintergrund","77","0.085823928193122","0.0687096131345309","0.102938243251713"
"Täglich","1990","Baden-Württemberg","direkter Migrationshintergrund","82","0.102477736654371","0.0796999294528185","0.125255543855924"
"Täglich","1990","Baden-Württemberg","indirekter Migrationshintergrund","10","","",""
"Täglich","1990","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Bayern","kein Migrationshintergrund","58","0.0560073249421298","0.0428823671419085","0.0691322827423511"
"Täglich","1990","Bayern","direkter Migrationshintergrund","32","0.0739103119522014","0.0467713629571809","0.101049260947222"
"Täglich","1990","Bayern","indirekter Migrationshintergrund","1","","",""
"Täglich","1990","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Saarland","kein Migrationshintergrund","","","",""
