"pli0081","year","age_gr","n","percent","lower_confidence","upper_confidence","NA"
"Taeglich","1990","17-34","326","0.0727790625465872","0.0643307491764405","0.0812273759167338",""
"Taeglich","1990","35-65","284","0.0520217927272227","0.0457078344312407","0.0583357510232047",""
"Taeglich","1990","66 +","103","0.105443067914507","0.0867323295678615","0.124153806261152",""
"Min 1x pro Woche","1990","17-34","1504","0.396548710397867","0.380639649220559","0.412457771575175",""
"Min 1x pro Woche","1990","35-65","1650","0.335493286053784","0.322068682218658","0.348917889888911",""
"Min 1x pro Woche","1990","66 +","367","0.349963097338492","0.320905610613998","0.379020584062987",""
"Min 1x pro Monat","1990","17-34","952","0.296951210869009","0.282091496770843","0.311810924967175",""
"Min 1x pro Monat","1990","35-65","1463","0.334296687332677","0.32088398548883","0.347709389176523",""
"Min 1x pro Monat","1990","66 +","311","0.292244608373308","0.264537400490693","0.319951816255923",""
"Seltener","1990","17-34","724","0.210939836840192","0.197671712495194","0.224207961185189",""
"Seltener","1990","35-65","1141","0.250112779801043","0.237799442035357","0.26242611756673",""
"Seltener","1990","66 +","216","0.214809456180436","0.189789177405275","0.239829734955596",""
"Nie","1990","17-34","126","0.0227811793463451","0.0179287504091868","0.0276336082835034",""
"Nie","1990","35-65","214","0.0280754540852729","0.0233787895122868","0.032772118658259",""
"Nie","1990","66 +","38","0.0375397701932574","0.0259595953292749","0.04911994505724",""
"Taeglich","1991","17-34","","","","",""
"Taeglich","1991","35-65","","","","",""
"Taeglich","1991","66 +","","","","",""
"Min 1x pro Woche","1991","17-34","","","","",""
"Min 1x pro Woche","1991","35-65","","","","",""
"Min 1x pro Woche","1991","66 +","","","","",""
"Min 1x pro Monat","1991","17-34","","","","",""
"Min 1x pro Monat","1991","35-65","","","","",""
"Min 1x pro Monat","1991","66 +","","","","",""
"Seltener","1991","17-34","","","","",""
"Seltener","1991","35-65","","","","",""
"Seltener","1991","66 +","","","","",""
"Nie","1991","17-34","","","","",""
"Nie","1991","35-65","","","","",""
"Nie","1991","66 +","","","","",""
"Taeglich","1992","17-34","","","","",""
"Taeglich","1992","35-65","","","","",""
"Taeglich","1992","66 +","","","","",""
"Min 1x pro Woche","1992","17-34","","","","",""
"Min 1x pro Woche","1992","35-65","","","","",""
"Min 1x pro Woche","1992","66 +","","","","",""
"Min 1x pro Monat","1992","17-34","","","","",""
"Min 1x pro Monat","1992","35-65","","","","",""
"Min 1x pro Monat","1992","66 +","","","","",""
"Seltener","1992","17-34","","","","",""
"Seltener","1992","35-65","","","","",""
"Seltener","1992","66 +","","","","",""
"Nie","1992","17-34","","","","",""
"Nie","1992","35-65","","","","",""
"Nie","1992","66 +","","","","",""
"Taeglich","1993","17-34","","","","",""
"Taeglich","1993","35-65","","","","",""
"Taeglich","1993","66 +","","","","",""
"Min 1x pro Woche","1993","17-34","","","","",""
"Min 1x pro Woche","1993","35-65","","","","",""
"Min 1x pro Woche","1993","66 +","","","","",""
"Min 1x pro Monat","1993","17-34","","","","",""
"Min 1x pro Monat","1993","35-65","","","","",""
"Min 1x pro Monat","1993","66 +","","","","",""
"Seltener","1993","17-34","","","","",""
"Seltener","1993","35-65","","","","",""
"Seltener","1993","66 +","","","","",""
"Nie","1993","17-34","","","","",""
"Nie","1993","35-65","","","","",""
"Nie","1993","66 +","","","","",""
"Taeglich","1994","17-34","","","","",""
"Taeglich","1994","35-65","","","","",""
"Taeglich","1994","66 +","","","","",""
"Min 1x pro Woche","1994","17-34","","","","",""
"Min 1x pro Woche","1994","35-65","","","","",""
"Min 1x pro Woche","1994","66 +","","","","",""
"Min 1x pro Monat","1994","17-34","","","","",""
"Min 1x pro Monat","1994","35-65","","","","",""
"Min 1x pro Monat","1994","66 +","","","","",""
"Seltener","1994","17-34","","","","",""
"Seltener","1994","35-65","","","","",""
"Seltener","1994","66 +","","","","",""
"Nie","1994","17-34","","","","",""
"Nie","1994","35-65","","","","",""
"Nie","1994","66 +","","","","",""
"Taeglich","1995","17-34","441","0.0796143783140839","0.0720365963631575","0.0871921602650104",""
"Taeglich","1995","35-65","474","0.0585849496568637","0.0530031115824204","0.0641667877313069",""
"Taeglich","1995","66 +","168","0.119180823994947","0.102833373025423","0.135528274964471",""
"Min 1x pro Woche","1995","17-34","2123","0.40749966366382","0.393744385873168","0.421254941454473",""
"Min 1x pro Woche","1995","35-65","2613","0.373322672514549","0.361826379906787","0.384818965122311",""
"Min 1x pro Woche","1995","66 +","595","0.373072409079868","0.348671347067214","0.397473471092521",""
"Min 1x pro Monat","1995","17-34","1339","0.29043782269487","0.277729645767594","0.303145999622147",""
"Min 1x pro Monat","1995","35-65","2096","0.314624061166774","0.303586985298503","0.325661137035046",""
"Min 1x pro Monat","1995","66 +","396","0.2610901297072","0.238928870571165","0.283251388843235",""
"Seltener","1995","17-34","865","0.192558636652619","0.181520432159091","0.203596841146147",""
"Seltener","1995","35-65","1410","0.22825686227067","0.218281195249","0.238232529292339",""
"Seltener","1995","66 +","294","0.206119887185256","0.185709987012052","0.226529787358459",""
"Nie","1995","17-34","134","0.0298894986746064","0.0251226501034502","0.0346563472457626",""
"Nie","1995","35-65","207","0.0252114543911433","0.021485411985464","0.0289374967968225",""
"Nie","1995","66 +","56","0.0405367500327292","0.0305863141189906","0.0504871859464677",""
"Taeglich","1996","17-34","","","","",""
"Taeglich","1996","35-65","","","","",""
"Taeglich","1996","66 +","","","","",""
"Min 1x pro Woche","1996","17-34","","","","",""
"Min 1x pro Woche","1996","35-65","","","","",""
"Min 1x pro Woche","1996","66 +","","","","",""
"Min 1x pro Monat","1996","17-34","","","","",""
"Min 1x pro Monat","1996","35-65","","","","",""
"Min 1x pro Monat","1996","66 +","","","","",""
"Seltener","1996","17-34","","","","",""
"Seltener","1996","35-65","","","","",""
"Seltener","1996","66 +","","","","",""
"Nie","1996","17-34","","","","",""
"Nie","1996","35-65","","","","",""
"Nie","1996","66 +","","","","",""
"Taeglich","1997","17-34","","","","",""
"Taeglich","1997","35-65","","","","",""
"Taeglich","1997","66 +","","","","",""
"Min 1x pro Woche","1997","17-34","","","","",""
"Min 1x pro Woche","1997","35-65","","","","",""
"Min 1x pro Woche","1997","66 +","","","","",""
"Min 1x pro Monat","1997","17-34","","","","",""
"Min 1x pro Monat","1997","35-65","","","","",""
"Min 1x pro Monat","1997","66 +","","","","",""
"Seltener","1997","17-34","","","","",""
"Seltener","1997","35-65","","","","",""
"Seltener","1997","66 +","","","","",""
"Nie","1997","17-34","","","","",""
"Nie","1997","35-65","","","","",""
"Nie","1997","66 +","","","","",""
"Taeglich","1998","17-34","487","0.0881840252363187","0.0801961898308529","0.0961718606417846",""
"Taeglich","1998","35-65","566","0.0673831481872449","0.0617002513711976","0.0730660450032922",""
"Taeglich","1998","66 +","221","0.114519336199409","0.0999572879782366","0.129081384420582",""
"Min 1x pro Woche","1998","17-34","2154","0.425459630039192","0.411532231490542","0.439387028587841",""
"Min 1x pro Woche","1998","35-65","2905","0.377010236045951","0.366023732027607","0.387996740064296",""
"Min 1x pro Woche","1998","66 +","772","0.409146334228432","0.386662373800967","0.431630294655898",""
"Min 1x pro Monat","1998","17-34","1315","0.288067283916019","0.275310329782143","0.300824238049894",""
"Min 1x pro Monat","1998","35-65","2356","0.311778572961796","0.301277595656763","0.32227955026683",""
"Min 1x pro Monat","1998","66 +","494","0.26655359562703","0.246334115855331","0.286773075398729",""
"Seltener","1998","17-34","825","0.183955853436569","0.173041596273843","0.194870110599295",""
"Seltener","1998","35-65","1510","0.22420611402933","0.21475159599546","0.233660632063201",""
"Seltener","1998","66 +","302","0.176465538955748","0.159032851061779","0.193898226849716",""
"Nie","1998","17-34","60","0.014333207371902","0.0109849617897049","0.0176814529540992",""
"Nie","1998","35-65","138","0.019621928775677","0.016477728986315","0.0227661285650389",""
"Nie","1998","66 +","48","0.0333151949893802","0.0251087107708116","0.0415216792079488",""
"Taeglich","1999","17-34","","","","",""
"Taeglich","1999","35-65","","","","",""
"Taeglich","1999","66 +","","","","",""
"Min 1x pro Woche","1999","17-34","","","","",""
"Min 1x pro Woche","1999","35-65","","","","",""
"Min 1x pro Woche","1999","66 +","","","","",""
"Min 1x pro Monat","1999","17-34","","","","",""
"Min 1x pro Monat","1999","35-65","","","","",""
"Min 1x pro Monat","1999","66 +","","","","",""
"Seltener","1999","17-34","","","","",""
"Seltener","1999","35-65","","","","",""
"Seltener","1999","66 +","","","","",""
"Nie","1999","17-34","","","","",""
"Nie","1999","35-65","","","","",""
"Nie","1999","66 +","","","","",""
"Taeglich","2000","17-34","","","","",""
"Taeglich","2000","35-65","","","","",""
"Taeglich","2000","66 +","","","","",""
"Min 1x pro Woche","2000","17-34","","","","",""
"Min 1x pro Woche","2000","35-65","","","","",""
"Min 1x pro Woche","2000","66 +","","","","",""
"Min 1x pro Monat","2000","17-34","","","","",""
"Min 1x pro Monat","2000","35-65","","","","",""
"Min 1x pro Monat","2000","66 +","","","","",""
"Seltener","2000","17-34","","","","",""
"Seltener","2000","35-65","","","","",""
"Seltener","2000","66 +","","","","",""
"Nie","2000","17-34","","","","",""
"Nie","2000","35-65","","","","",""
"Nie","2000","66 +","","","","",""
"Taeglich","2001","17-34","","","","",""
"Taeglich","2001","35-65","","","","",""
"Taeglich","2001","66 +","","","","",""
"Min 1x pro Woche","2001","17-34","","","","",""
"Min 1x pro Woche","2001","35-65","","","","",""
"Min 1x pro Woche","2001","66 +","","","","",""
"Min 1x pro Monat","2001","17-34","","","","",""
"Min 1x pro Monat","2001","35-65","","","","",""
"Min 1x pro Monat","2001","66 +","","","","",""
"Seltener","2001","17-34","","","","",""
"Seltener","2001","35-65","","","","",""
"Seltener","2001","66 +","","","","",""
"Nie","2001","17-34","","","","",""
"Nie","2001","35-65","","","","",""
"Nie","2001","66 +","","","","",""
"Taeglich","2002","17-34","","","","",""
"Taeglich","2002","35-65","","","","",""
"Taeglich","2002","66 +","","","","",""
"Min 1x pro Woche","2002","17-34","","","","",""
"Min 1x pro Woche","2002","35-65","","","","",""
"Min 1x pro Woche","2002","66 +","","","","",""
"Min 1x pro Monat","2002","17-34","","","","",""
"Min 1x pro Monat","2002","35-65","","","","",""
"Min 1x pro Monat","2002","66 +","","","","",""
"Seltener","2002","17-34","","","","",""
"Seltener","2002","35-65","","","","",""
"Seltener","2002","66 +","","","","",""
"Nie","2002","17-34","","","","",""
"Nie","2002","35-65","","","","",""
"Nie","2002","66 +","","","","",""
"Taeglich","2003","17-34","441","0.0722228167804743","0.06556558247835","0.0788800510825986",""
"Taeglich","2003","35-65","803","0.0625097872880392","0.0582834076566777","0.0667361669194006",""
"Taeglich","2003","66 +","349","0.0972985087597494","0.0876535697602062","0.106943447759293",""
"Min 1x pro Woche","2003","17-34","2498","0.420714474241648","0.408018242157192","0.433410706326103",""
"Min 1x pro Woche","2003","35-65","4757","0.375860288237619","0.367404282827591","0.384316293647646",""
"Min 1x pro Woche","2003","66 +","1460","0.402483159182131","0.386523513516761","0.418442804847502",""
"Min 1x pro Monat","2003","17-34","1711","0.292291529216093","0.280594647482464","0.303988410949723",""
"Min 1x pro Monat","2003","35-65","4057","0.309860424539283","0.301786909755722","0.317933939322844",""
"Min 1x pro Monat","2003","66 +","1039","0.272757043849406","0.258262583103702","0.28725150459511",""
"Seltener","2003","17-34","1062","0.192009032743598","0.18187927941403","0.202138786073166",""
"Seltener","2003","35-65","2701","0.220881900752364","0.213639328524362","0.228124472980367",""
"Seltener","2003","66 +","627","0.179657338601231","0.16716354166994","0.192151135532522",""
"Nie","2003","17-34","96","0.0227621470181869","0.0189264743345121","0.0265978197018616",""
"Nie","2003","35-65","285","0.0308875991826943","0.0278670196534972","0.0339081787118913",""
"Nie","2003","66 +","152","0.0478039496074818","0.0408605942779225","0.0547473049370412",""
"Taeglich","2004","17-34","","","","",""
"Taeglich","2004","35-65","","","","",""
"Taeglich","2004","66 +","","","","",""
"Min 1x pro Woche","2004","17-34","","","","",""
"Min 1x pro Woche","2004","35-65","","","","",""
"Min 1x pro Woche","2004","66 +","","","","",""
"Min 1x pro Monat","2004","17-34","","","","",""
"Min 1x pro Monat","2004","35-65","","","","",""
"Min 1x pro Monat","2004","66 +","","","","",""
"Seltener","2004","17-34","","","","",""
"Seltener","2004","35-65","","","","",""
"Seltener","2004","66 +","","","","",""
"Nie","2004","17-34","","","","",""
"Nie","2004","35-65","","","","",""
"Nie","2004","66 +","","","","",""
"Taeglich","2005","17-34","","","","",""
"Taeglich","2005","35-65","","","","",""
"Taeglich","2005","66 +","","","","",""
"Min 1x pro Woche","2005","17-34","","","","",""
"Min 1x pro Woche","2005","35-65","","","","",""
"Min 1x pro Woche","2005","66 +","","","","",""
"Min 1x pro Monat","2005","17-34","","","","",""
"Min 1x pro Monat","2005","35-65","","","","",""
"Min 1x pro Monat","2005","66 +","","","","",""
"Seltener","2005","17-34","","","","",""
"Seltener","2005","35-65","","","","",""
