year,migback,regtyp,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Urban regions,Daily,0.06757,343,5021,0.06063,0.07451
1990,No migration background,Urban regions,At least once per week,0.36857,1845,5021,0.35522,0.38191
1990,No migration background,Urban regions,At least once per month,0.31731,1609,5021,0.30444,0.33019
1990,No migration background,Urban regions,Seldom,0.22426,1124,5021,0.21273,0.23580
1990,No migration background,Urban regions,Never,0.02228,100,5021,0.01820,0.02637
1990,No migration background,Rural regions,Daily,0.06081,88,1562,0.04896,0.07267
1990,No migration background,Rural regions,At least once per week,0.31683,517,1562,0.29375,0.33991
1990,No migration background,Rural regions,At least once per month,0.35275,571,1562,0.32904,0.37645
1990,No migration background,Rural regions,Seldom,0.25059,386,1562,0.22909,0.27209
1990,Direct migration background,Urban regions,Daily,0.08120,221,2198,0.06977,0.09262
1990,Direct migration background,Urban regions,At least once per week,0.38150,918,2198,0.36119,0.40182
1990,Direct migration background,Urban regions,At least once per month,0.22699,425,2198,0.20948,0.24451
1990,Direct migration background,Urban regions,Seldom,0.23358,433,2198,0.21589,0.25128
1990,Direct migration background,Urban regions,Never,0.07673,201,2198,0.06560,0.08786
1990,Direct migration background,Rural regions,Daily,0.09685,33,289,0.06270,0.13101
1990,Direct migration background,Rural regions,At least once per week,0.32262,114,289,0.26863,0.37661
1990,Direct migration background,Rural regions,At least once per month,0.25619,62,289,0.20577,0.30660
1990,Direct migration background,Rural regions,Seldom,0.25932,80,289,0.20870,0.30993
1990,Indirect migration background,Urban regions,At least once per week,0.33844,110,210,0.27429,0.40260
1990,Indirect migration background,Urban regions,At least once per month,0.30121,49,210,0.23901,0.36341
1990,Indirect migration background,Urban regions,Seldom,0.21121,51,210,0.15587,0.26654
1995,No migration background,Urban regions,Daily,0.06718,410,5967,0.06082,0.07353
1995,No migration background,Urban regions,At least once per week,0.37985,2306,5967,0.36753,0.39217
1995,No migration background,Urban regions,At least once per month,0.30782,1881,5967,0.29611,0.31954
