"pli0081","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","55","0.113447620660222","0.0850468431190376","0.141848398201407"
"Täglich","1995","(noch) kein Abschluss","2","23","","",""
"Täglich","1995","(noch) kein Abschluss","3","12","","",""
"Täglich","1995","(noch) kein Abschluss","4","2","","",""
"Täglich","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Täglich","1995","Hauptschule","1 Einkommensschwächstes Quintil","281","0.109538426651398","0.0973446380554283","0.121732215247367"
"Täglich","1995","Hauptschule","2","182","0.0938715656934018","0.0806985611629991","0.107044570223805"
"Täglich","1995","Hauptschule","3","81","0.0843971182015918","0.0666923401910836","0.1021018962121"
"Täglich","1995","Hauptschule","4","35","0.0506888583864073","0.0325690150825528","0.0688087016902617"
"Täglich","1995","Hauptschule","5 Einkommensstärkstes Quintil","9","","",""
"Täglich","1995","Realschule","1 Einkommensschwächstes Quintil","84","0.0826569465934085","0.0662495366955108","0.0990643564913061"
"Täglich","1995","Realschule","2","61","0.0612925737003513","0.0456993752808418","0.0768857721198609"
"Täglich","1995","Realschule","3","37","0.0624305841591715","0.0421186979371974","0.0827424703811457"
"Täglich","1995","Realschule","4","31","0.0875111308119957","0.0591736104488137","0.115848651175178"
"Täglich","1995","Realschule","5 Einkommensstärkstes Quintil","5","","",""
"Täglich","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","29","","",""
"Täglich","1995","(Fach-)Abitur","2","13","","",""
"Täglich","1995","(Fach-)Abitur","3","9","","",""
"Täglich","1995","(Fach-)Abitur","4","8","","",""
"Täglich","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","1","","",""
"Täglich","1995","AkademikerIn","1 Einkommensschwächstes Quintil","24","","",""
"Täglich","1995","AkademikerIn","2","22","","",""
"Täglich","1995","AkademikerIn","3","18","","",""
"Täglich","1995","AkademikerIn","4","15","","",""
"Täglich","1995","AkademikerIn","5 Einkommensstärkstes Quintil","3","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","230","0.45215525680858","0.407584205720136","0.496726307897025"
"Min 1x pro Woche","1995","(noch) kein Abschluss","2","83","0.305774213293898","0.245030301872206","0.366518124715591"
"Min 1x pro Woche","1995","(noch) kein Abschluss","3","29","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","4","22","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","8","","",""
"Min 1x pro Woche","1995","Hauptschule","1 Einkommensschwächstes Quintil","1024","0.383549123029087","0.364564256201958","0.402533989856216"
"Min 1x pro Woche","1995","Hauptschule","2","819","0.414157196308381","0.391908934485178","0.436405458131585"
"Min 1x pro Woche","1995","Hauptschule","3","394","0.414650816851555","0.383273061505242","0.446028572197868"
"Min 1x pro Woche","1995","Hauptschule","4","227","0.380823495672083","0.340712541320365","0.420934450023802"
"Min 1x pro Woche","1995","Hauptschule","5 Einkommensstärkstes Quintil","79","0.453091969695015","0.379756886248817","0.526427053141213"
"Min 1x pro Woche","1995","Realschule","1 Einkommensschwächstes Quintil","442","0.414363220073432","0.385011116424744","0.443715323722119"
"Min 1x pro Woche","1995","Realschule","2","392","0.411177459977725","0.379190496660975","0.443164423294476"
"Min 1x pro Woche","1995","Realschule","3","195","0.322556099332767","0.283310665196941","0.361801533468594"
"Min 1x pro Woche","1995","Realschule","4","151","0.36770098655404","0.319347804549915","0.416054168558165"
"Min 1x pro Woche","1995","Realschule","5 Einkommensstärkstes Quintil","78","0.425099275649875","0.352879946675748","0.497318604624002"
"Min 1x pro Woche","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","137","0.324470663682635","0.277583006877419","0.371358320487851"
"Min 1x pro Woche","1995","(Fach-)Abitur","2","109","0.345905142306612","0.290289903333242","0.401520381279983"
"Min 1x pro Woche","1995","(Fach-)Abitur","3","69","0.365766926599942","0.295792547054345","0.435741306145539"
"Min 1x pro Woche","1995","(Fach-)Abitur","4","47","0.311733477233093","0.233012166702245","0.390454787763941"
"Min 1x pro Woche","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","30","0.384886323360361","0.276905975832226","0.492866670888497"
"Min 1x pro Woche","1995","AkademikerIn","1 Einkommensschwächstes Quintil","140","0.38510472358629","0.334906945850505","0.435302501322074"
"Min 1x pro Woche","1995","AkademikerIn","2","164","0.347888521349686","0.304075708474998","0.391701334224374"
"Min 1x pro Woche","1995","AkademikerIn","3","131","0.339526964603921","0.291534067038056","0.387519862169785"
"Min 1x pro Woche","1995","AkademikerIn","4","93","0.288770681373987","0.238240573473008","0.339300789274966"
"Min 1x pro Woche","1995","AkademikerIn","5 Einkommensstärkstes Quintil","78","0.324412829381774","0.266496512251972","0.382329146511577"
"Min 1x pro Monat","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","93","0.212875405962651","0.176217739104443","0.249533072820858"
"Min 1x pro Monat","1995","(noch) kein Abschluss","2","62","0.266958640770428","0.208635865063965","0.325281416476891"
"Min 1x pro Monat","1995","(noch) kein Abschluss","3","31","0.371248423085371","0.275593592772928","0.466903253397813"
"Min 1x pro Monat","1995","(noch) kein Abschluss","4","11","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","6","","",""
"Min 1x pro Monat","1995","Hauptschule","1 Einkommensschwächstes Quintil","645","0.262586701822026","0.245406048783014","0.279767354861038"
"Min 1x pro Monat","1995","Hauptschule","2","497","0.282369286219501","0.262037189456885","0.302701382982117"
"Min 1x pro Monat","1995","Hauptschule","3","281","0.295230682237881","0.266178594909339","0.324282769566422"
"Min 1x pro Monat","1995","Hauptschule","4","177","0.336961387917194","0.297917471633041","0.376005304201346"
"Min 1x pro Monat","1995","Hauptschule","5 Einkommensstärkstes Quintil","54","0.335736774216323","0.266165329879651","0.405308218552996"
"Min 1x pro Monat","1995","Realschule","1 Einkommensschwächstes Quintil","307","0.269500106908302","0.24306238622643","0.295937827590173"
"Min 1x pro Monat","1995","Realschule","2","263","0.29015528521972","0.260652496522379","0.319658073917062"
"Min 1x pro Monat","1995","Realschule","3","184","0.33165478104894","0.292127822901904","0.371181739195976"
"Min 1x pro Monat","1995","Realschule","4","117","0.309778876225371","0.263408947027339","0.356148805423402"
"Min 1x pro Monat","1995","Realschule","5 Einkommensstärkstes Quintil","59","0.328253157042099","0.259653947514825","0.396852366569374"
