year,age_gr,plh0244,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Optimistic,0.40359,1186,13585,0.40331,0.40387
1999,17-29 y.,More optimistic than pessimistic,0.47786,1400,13585,0.47758,0.47815
1999,17-29 y.,More pessimistic than optimistic,0.10593,328,13585,0.10576,0.10611
1999,17-29 y.,Pessimistic,0.01262,40,13585,0.01255,0.01268
1999,30-45 y.,Optimistic,0.29713,1382,13585,0.29693,0.29733
1999,30-45 y.,More optimistic than pessimistic,0.50837,2396,13585,0.50815,0.50858
1999,30-45 y.,More pessimistic than optimistic,0.16700,783,13585,0.16683,0.16716
1999,30-45 y.,Pessimistic,0.02751,126,13585,0.02744,0.02758
1999,46-65 y.,Optimistic,0.24241,955,13585,0.24223,0.24259
1999,46-65 y.,More optimistic than pessimistic,0.46023,1909,13585,0.46002,0.46044
1999,46-65 y.,More pessimistic than optimistic,0.25190,1087,13585,0.25172,0.25209
1999,46-65 y.,Pessimistic,0.04546,212,13585,0.04537,0.04554
1999,66 and older,Optimistic,0.20179,355,13585,0.20158,0.20201
1999,66 and older,More optimistic than pessimistic,0.43472,785,13585,0.43445,0.43499
1999,66 and older,More pessimistic than optimistic,0.28699,515,13585,0.28674,0.28723
1999,66 and older,Pessimistic,0.07650,126,13585,0.07636,0.07665
2005,17-29 y.,Optimistic,0.31340,1220,20576,0.31314,0.31366
2005,17-29 y.,More optimistic than pessimistic,0.47333,1871,20576,0.47305,0.47361
2005,17-29 y.,More pessimistic than optimistic,0.17821,621,20576,0.17799,0.17842
2005,17-29 y.,Pessimistic,0.03506,103,20576,0.03496,0.03517
2005,30-45 y.,Optimistic,0.20861,1327,20576,0.20843,0.20879
2005,30-45 y.,More optimistic than pessimistic,0.51289,3148,20576,0.51267,0.51311
2005,30-45 y.,More pessimistic than optimistic,0.23818,1349,20576,0.23799,0.23836
2005,30-45 y.,Pessimistic,0.04032,228,20576,0.04024,0.04041
2005,46-65 y.,Optimistic,0.15221,1102,20576,0.15206,0.15237
2005,46-65 y.,More optimistic than pessimistic,0.43881,3222,20576,0.43860,0.43902
2005,46-65 y.,More pessimistic than optimistic,0.33135,2193,20576,0.33115,0.33155
2005,46-65 y.,Pessimistic,0.07763,460,20576,0.07751,0.07774
2005,66 and older,Optimistic,0.13745,510,20576,0.13728,0.13763
2005,66 and older,More optimistic than pessimistic,0.41142,1567,20576,0.41117,0.41167
2005,66 and older,More pessimistic than optimistic,0.35304,1299,20576,0.35280,0.35329
2005,66 and older,Pessimistic,0.09809,356,20576,0.09794,0.09824
2009,17-29 y.,Optimistic,0.27881,804,17950,0.27855,0.27906
2009,17-29 y.,More optimistic than pessimistic,0.51034,1466,17950,0.51005,0.51063
2009,17-29 y.,More pessimistic than optimistic,0.18880,503,17950,0.18858,0.18903
2009,17-29 y.,Pessimistic,0.02205,71,17950,0.02196,0.02213
2009,30-45 y.,Optimistic,0.18907,854,17950,0.18889,0.18925
2009,30-45 y.,More optimistic than pessimistic,0.50818,2462,17950,0.50795,0.50841
2009,30-45 y.,More pessimistic than optimistic,0.26521,1171,17950,0.26501,0.26541
2009,30-45 y.,Pessimistic,0.03753,169,17950,0.03745,0.03762
2009,46-65 y.,Optimistic,0.13227,831,17950,0.13213,0.13241
2009,46-65 y.,More optimistic than pessimistic,0.43357,2899,17950,0.43336,0.43378
2009,46-65 y.,More pessimistic than optimistic,0.34875,2103,17950,0.34855,0.34895
2009,46-65 y.,Pessimistic,0.08541,473,17950,0.08530,0.08553
2009,66 and older,Optimistic,0.12389,484,17950,0.12373,0.12405
2009,66 and older,More optimistic than pessimistic,0.42420,1788,17950,0.42396,0.42445
2009,66 and older,More pessimistic than optimistic,0.35899,1489,17950,0.35876,0.35923
2009,66 and older,Pessimistic,0.09291,383,17950,0.09277,0.09305
2014,17-29 y.,Optimistic,0.43546,1820,26897,0.43516,0.43575
2014,17-29 y.,More optimistic than pessimistic,0.44231,1897,26897,0.44201,0.44260
2014,17-29 y.,More pessimistic than optimistic,0.10351,466,26897,0.10333,0.10369
2014,17-29 y.,Pessimistic,0.01873,82,26897,0.01865,0.01881
2014,30-45 y.,Optimistic,0.35326,3001,26897,0.35302,0.35349
2014,30-45 y.,More optimistic than pessimistic,0.50939,4329,26897,0.50915,0.50964
2014,30-45 y.,More pessimistic than optimistic,0.11950,974,26897,0.11934,0.11966
2014,30-45 y.,Pessimistic,0.01785,159,26897,0.01779,0.01792
2014,46-65 y.,Optimistic,0.25501,2480,26897,0.25483,0.25518
2014,46-65 y.,More optimistic than pessimistic,0.53111,4902,26897,0.53091,0.53132
2014,46-65 y.,More pessimistic than optimistic,0.18272,1585,26897,0.18256,0.18287
2014,46-65 y.,Pessimistic,0.03117,288,26897,0.03110,0.03124
2014,66 and older,Optimistic,0.20694,1037,26897,0.20675,0.20714
2014,66 and older,More optimistic than pessimistic,0.53483,2681,26897,0.53459,0.53507
2014,66 and older,More pessimistic than optimistic,0.21630,1005,26897,0.21610,0.21650
2014,66 and older,Pessimistic,0.04192,191,26897,0.04183,0.04202
2019,17-29 y.,Optimistic,0.35065,1342,25497,0.35036,0.35094
2019,17-29 y.,More optimistic than pessimistic,0.49411,1803,25497,0.49381,0.49442
2019,17-29 y.,More pessimistic than optimistic,0.13197,564,25497,0.13177,0.13218
2019,17-29 y.,Pessimistic,0.02327,85,25497,0.02317,0.02336
2019,30-45 y.,Optimistic,0.30833,2024,25497,0.30811,0.30856
2019,30-45 y.,More optimistic than pessimistic,0.52899,3265,25497,0.52874,0.52923
2019,30-45 y.,More pessimistic than optimistic,0.14339,822,25497,0.14322,0.14356
2019,30-45 y.,Pessimistic,0.01929,132,25497,0.01922,0.01936
2019,46-65 y.,Optimistic,0.25019,2792,25497,0.25001,0.25036
2019,46-65 y.,More optimistic than pessimistic,0.52060,5421,25497,0.52041,0.52080
2019,46-65 y.,More pessimistic than optimistic,0.19063,1800,25497,0.19047,0.19079
2019,46-65 y.,Pessimistic,0.03858,311,25497,0.03850,0.03866
2019,66 and older,Optimistic,0.19720,1103,25497,0.19701,0.19739
2019,66 and older,More optimistic than pessimistic,0.52590,2707,25497,0.52566,0.52614
2019,66 and older,More pessimistic than optimistic,0.23678,1152,25497,0.23658,0.23699
2019,66 and older,Pessimistic,0.04012,174,25497,0.04002,0.04021
