year,quintil_oecd,regtyp,plh0244,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,Urban regions,Optimistic,0.28697,477,1639,0.26506,0.30887
1999,1st Quintile,Urban regions,More optimistic than pessimistic,0.42174,697,1639,0.39782,0.44565
1999,1st Quintile,Urban regions,More pessimistic than optimistic,0.22102,362,1639,0.20092,0.24111
1999,1st Quintile,Urban regions,Pessimistic,0.07028,103,1639,0.05790,0.08266
1999,1st Quintile,Rural regions,Optimistic,0.27639,243,928,0.24760,0.30518
1999,1st Quintile,Rural regions,More optimistic than pessimistic,0.45971,430,928,0.42763,0.49180
1999,1st Quintile,Rural regions,More pessimistic than optimistic,0.21870,210,928,0.19209,0.24531
1999,1st Quintile,Rural regions,Pessimistic,0.04520,45,928,0.03182,0.05857
1999,2nd Quintile,Urban regions,Optimistic,0.27832,525,1719,0.25712,0.29951
1999,2nd Quintile,Urban regions,More optimistic than pessimistic,0.43688,751,1719,0.41342,0.46033
1999,2nd Quintile,Urban regions,More pessimistic than optimistic,0.22843,368,1719,0.20858,0.24828
1999,2nd Quintile,Urban regions,Pessimistic,0.05638,75,1719,0.04547,0.06728
1999,2nd Quintile,Rural regions,Optimistic,0.25827,280,1133,0.23277,0.28376
1999,2nd Quintile,Rural regions,More optimistic than pessimistic,0.48361,556,1133,0.45450,0.51272
1999,2nd Quintile,Rural regions,More pessimistic than optimistic,0.21528,247,1133,0.19134,0.23922
1999,2nd Quintile,Rural regions,Pessimistic,0.04284,50,1133,0.03105,0.05464
1999,3rd Quintile,Urban regions,Optimistic,0.26691,510,1708,0.24592,0.28789
1999,3rd Quintile,Urban regions,More optimistic than pessimistic,0.48241,781,1708,0.45871,0.50612
1999,3rd Quintile,Urban regions,More pessimistic than optimistic,0.20551,349,1708,0.18634,0.22467
1999,3rd Quintile,Urban regions,Pessimistic,0.04518,68,1708,0.03533,0.05503
1999,3rd Quintile,Rural regions,Optimistic,0.26129,268,1108,0.23541,0.28717
1999,3rd Quintile,Rural regions,More optimistic than pessimistic,0.51504,589,1108,0.48560,0.54448
1999,3rd Quintile,Rural regions,More pessimistic than optimistic,0.18715,218,1108,0.16417,0.21013
1999,3rd Quintile,Rural regions,Pessimistic,0.03652,33,1108,0.02547,0.04757
1999,4th Quintile,Urban regions,Optimistic,0.28327,554,1861,0.26280,0.30375
1999,4th Quintile,Urban regions,More optimistic than pessimistic,0.46883,904,1861,0.44615,0.49151
1999,4th Quintile,Urban regions,More pessimistic than optimistic,0.21563,346,1861,0.19694,0.23432
1999,4th Quintile,Urban regions,Pessimistic,0.03227,57,1861,0.02424,0.04030
1999,4th Quintile,Rural regions,Optimistic,0.28962,252,860,0.25929,0.31996
1999,4th Quintile,Rural regions,More optimistic than pessimistic,0.47028,441,860,0.43690,0.50366
1999,4th Quintile,Rural regions,More pessimistic than optimistic,0.20995,167,860,0.18271,0.23718
1999,5th Quintile,Urban regions,Optimistic,0.30055,571,1893,0.27989,0.32121
1999,5th Quintile,Urban regions,More optimistic than pessimistic,0.49379,960,1893,0.47127,0.51632
1999,5th Quintile,Urban regions,More pessimistic than optimistic,0.18353,322,1893,0.16609,0.20097
1999,5th Quintile,Urban regions,Pessimistic,0.02213,40,1893,0.01550,0.02875
1999,5th Quintile,Rural regions,Optimistic,0.26739,198,703,0.23465,0.30013
1999,5th Quintile,Rural regions,More optimistic than pessimistic,0.54763,381,703,0.51081,0.58445
1999,5th Quintile,Rural regions,More pessimistic than optimistic,0.17725,124,703,0.14900,0.20550
2005,1st Quintile,Urban regions,Optimistic,0.21304,428,2027,0.19521,0.23087
2005,1st Quintile,Urban regions,More optimistic than pessimistic,0.37701,789,2027,0.35591,0.39812
2005,1st Quintile,Urban regions,More pessimistic than optimistic,0.31446,627,2027,0.29424,0.33468
2005,1st Quintile,Urban regions,Pessimistic,0.09549,183,2027,0.08269,0.10828
2005,1st Quintile,Rural regions,Optimistic,0.15106,166,1095,0.12984,0.17228
2005,1st Quintile,Rural regions,More optimistic than pessimistic,0.41604,447,1095,0.38684,0.44525
2005,1st Quintile,Rural regions,More pessimistic than optimistic,0.32735,360,1095,0.29954,0.35515
2005,1st Quintile,Rural regions,Pessimistic,0.10555,122,1095,0.08734,0.12376
2005,2nd Quintile,Urban regions,Optimistic,0.19121,448,2184,0.17471,0.20771
2005,2nd Quintile,Urban regions,More optimistic than pessimistic,0.43149,961,2184,0.41071,0.45227
2005,2nd Quintile,Urban regions,More pessimistic than optimistic,0.30210,625,2184,0.28284,0.32136
2005,2nd Quintile,Urban regions,Pessimistic,0.07520,150,2184,0.06414,0.08626
2005,2nd Quintile,Rural regions,Optimistic,0.15330,221,1420,0.13455,0.17205
2005,2nd Quintile,Rural regions,More optimistic than pessimistic,0.44426,626,1420,0.41841,0.47011
2005,2nd Quintile,Rural regions,More pessimistic than optimistic,0.32202,453,1420,0.29771,0.34633
