year,regtyp,plh0244,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,More optimistic than pessimistic,0.46422080872330757,17396,0.4568096418021816,0.47163197564443354
1999,Urban regions,Optimistic,0.2989550204452522,17396,0.29215191442429267,0.3057581264662117
1999,Urban regions,More pessimistic than optimistic,0.19786460699681963,17396,0.191944367582597,0.20378484641104225
1999,Urban regions,Pessimistic,0.038959563834620625,17396,0.036084091155786674,0.041835036513454577
1999,Rural regions,More optimistic than pessimistic,0.5026145157916754,17396,0.49518440244984896,0.5100446291335018
1999,Rural regions,Optimistic,0.26061493411420206,17396,0.2540916490348381,0.267138219193566
1999,Rural regions,More pessimistic than optimistic,0.20309558669734365,17396,0.19711718997762037,0.20907398341706693
1999,Rural regions,Pessimistic,0.03367496339677892,17396,0.030994273645551452,0.03635565314800639
2005,Urban regions,More optimistic than pessimistic,0.4835028165922891,25520,0.4773715638455505,0.4896340693390277
2005,Urban regions,More pessimistic than optimistic,0.25502962908771676,25520,0.24968176260299518,0.26037749557243833
2005,Urban regions,Optimistic,0.21084205135708536,25520,0.20583737128126073,0.21584673143291
2005,Urban regions,Pessimistic,0.05062550296290877,25520,0.04793570789838414,0.0533152980274334
2005,Rural regions,More optimistic than pessimistic,0.4631533227160851,25520,0.45703541019065347,0.46927123524151676
2005,Rural regions,More pessimistic than optimistic,0.28608657883306793,25520,0.28054176139436415,0.2916313962717717
2005,Rural regions,Optimistic,0.18488489937744318,25520,0.1801219504309538,0.18964784832393256
2005,Rural regions,Pessimistic,0.06587519907340379,25520,0.06283165806332723,0.06891874008348035
2009,Urban regions,More optimistic than pessimistic,0.48736896373947414,21983,0.4807613602455569,0.4939765672333914
2009,Urban regions,More pessimistic than optimistic,0.28071833648393196,21983,0.2747781855966072,0.2866584873712567
2009,Urban regions,Optimistic,0.17279601306066333,21983,0.167798133804935,0.17779389231639167
2009,Urban regions,Pessimistic,0.05911668671593057,21983,0.055998978142452416,0.06223439528940873
2009,Rural regions,More optimistic than pessimistic,0.46625475285171103,21983,0.45966011064601703,0.47284939505740503
2009,Rural regions,More pessimistic than optimistic,0.3166983523447402,21983,0.3105488251368778,0.3228478795526026
2009,Rural regions,Optimistic,0.15240811153358683,21983,0.14765683806009533,0.15715938500707832
2009,Rural regions,Pessimistic,0.06463878326996197,21983,0.061388293098813426,0.06788927344111052
2014,Urban regions,More optimistic than pessimistic,0.5166447781647918,38694,0.5116655332648904,0.5216240230646932
2014,Urban regions,Optimistic,0.3115399988579912,38694,0.30692543647677667,0.31615456123920577
2014,Urban regions,More pessimistic than optimistic,0.14794723919374178,38694,0.14440953974153406,0.1514849386459495
2014,Urban regions,Pessimistic,0.023867983783475134,38694,0.022347098689384705,0.025388868877565564
2014,Rural regions,More optimistic than pessimistic,0.5073529411764706,38694,0.5023714737361424,0.5123344086167987
2014,Rural regions,Optimistic,0.30711849957374254,38694,0.30252211107354243,0.31171488807394265
2014,Rural regions,More pessimistic than optimistic,0.1533461210571185,38694,0.14975588002288592,0.1569363620913511
2014,Rural regions,Pessimistic,0.032182438192668375,38694,0.030423945860843217,0.03394093052449353
2019,Urban regions,More optimistic than pessimistic,0.5246376811594203,42417,0.5198851145420783,0.5293902477767624
2019,Urban regions,Optimistic,0.28541473943879125,42417,0.2811168887625217,0.2897125901150608
2019,Urban regions,More pessimistic than optimistic,0.16497070613629355,42417,0.1614385461277372,0.1685028661448499
2019,Urban regions,Pessimistic,0.02497687326549491,42417,0.023491749696840047,0.026461996834149775
2019,Rural regions,More optimistic than pessimistic,0.5071600412418376,42417,0.5024021822442278,0.5119179002394473
2019,Rural regions,Optimistic,0.2844541184557223,42417,0.28016062353963367,0.288747613371811
2019,Rural regions,More pessimistic than optimistic,0.1764234161988773,42417,0.17279584282549515,0.18005098957225946
2019,Rural regions,Pessimistic,0.031962424103562835,42417,0.030288437186862523,0.03363641102026315
