year,regtyp,sampreg,plh0244,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,West,Optimistic,0.23818,2346,7591,0.22860,0.24776
1999,Urban regions,West,More optimistic than pessimistic,0.38292,3526,7591,0.37198,0.39386
1999,Urban regions,West,More pessimistic than optimistic,0.16744,1431,7591,0.15904,0.17584
1999,Urban regions,West,Pessimistic,0.03514,288,7591,0.03100,0.03928
1999,Urban regions,East,Optimistic,0.19756,291,1229,0.17529,0.21983
1999,Urban regions,East,More optimistic than pessimistic,0.37975,567,1229,0.35261,0.40690
1999,Urban regions,East,More pessimistic than optimistic,0.22399,316,1229,0.20068,0.24731
1999,Urban regions,East,Pessimistic,0.03979,55,1229,0.02886,0.05072
1999,Rural regions,West,Optimistic,0.23945,687,2226,0.22171,0.25718
1999,Rural regions,West,More optimistic than pessimistic,0.39098,1088,2226,0.37071,0.41126
1999,Rural regions,West,More pessimistic than optimistic,0.14539,387,2226,0.13075,0.16004
1999,Rural regions,West,Pessimistic,0.02285,64,2226,0.01664,0.02906
1999,Rural regions,East,Optimistic,0.19027,554,2539,0.17500,0.20554
1999,Rural regions,East,More optimistic than pessimistic,0.42173,1309,2539,0.40252,0.44094
1999,Rural regions,East,More pessimistic than optimistic,0.19625,579,2539,0.18080,0.21170
1999,Rural regions,East,Pessimistic,0.03511,97,2539,0.02795,0.04227
2005,Urban regions,West,Optimistic,0.17230,2604,11997,0.16554,0.17905
2005,Urban regions,West,More optimistic than pessimistic,0.38909,5859,11997,0.38037,0.39782
2005,Urban regions,West,More pessimistic than optimistic,0.22087,2965,11997,0.21345,0.22829
2005,Urban regions,West,Pessimistic,0.04780,569,11997,0.04398,0.05162
2005,Urban regions,East,Optimistic,0.12912,289,1700,0.11318,0.14507
2005,Urban regions,East,More optimistic than pessimistic,0.38802,765,1700,0.36485,0.41119
2005,Urban regions,East,More pessimistic than optimistic,0.27615,523,1700,0.25489,0.29741
2005,Urban regions,East,Pessimistic,0.07968,123,1700,0.06680,0.09255
2005,Rural regions,West,Optimistic,0.17054,804,3559,0.15818,0.18290
2005,Rural regions,West,More optimistic than pessimistic,0.37955,1713,3559,0.36361,0.39550
2005,Rural regions,West,More pessimistic than optimistic,0.22277,868,3559,0.20910,0.23644
2005,Rural regions,West,Pessimistic,0.04639,174,3559,0.03948,0.05330
2005,Rural regions,East,Optimistic,0.11454,462,3320,0.10371,0.12538
2005,Rural regions,East,More optimistic than pessimistic,0.36880,1471,3320,0.35238,0.38521
2005,Rural regions,East,More pessimistic than optimistic,0.30624,1106,3320,0.29055,0.32192
2005,Rural regions,East,Pessimistic,0.07740,281,3320,0.06831,0.08650
2009,Urban regions,West,Optimistic,0.14733,1785,10144,0.14043,0.15423
2009,Urban regions,West,More optimistic than pessimistic,0.39507,4958,10144,0.38555,0.40458
2009,Urban regions,West,More pessimistic than optimistic,0.23972,2804,10144,0.23141,0.24803
2009,Urban regions,West,Pessimistic,0.04917,597,10144,0.04496,0.05338
2009,Urban regions,East,Optimistic,0.13470,233,1531,0.11760,0.15181
2009,Urban regions,East,More optimistic than pessimistic,0.41673,731,1531,0.39203,0.44143
