year,sex,plh0244,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,male,Optimistic,0.29614,1988,6574,0.28511,0.30718
1999,male,More optimistic than pessimistic,0.46460,3059,6574,0.45254,0.47666
1999,male,More pessimistic than optimistic,0.19762,1273,6574,0.18799,0.20724
1999,male,Pessimistic,0.04164,254,6574,0.03681,0.04647
1999,female,Optimistic,0.26415,1890,7011,0.25383,0.27447
1999,female,More optimistic than pessimistic,0.48096,3431,7011,0.46926,0.49265
1999,female,More pessimistic than optimistic,0.21599,1440,7011,0.20636,0.22563
1999,female,Pessimistic,0.03890,250,7011,0.03438,0.04343
2005,male,Optimistic,0.20423,2084,9849,0.19627,0.21219
2005,male,More optimistic than pessimistic,0.45718,4644,9849,0.44734,0.46702
2005,male,More pessimistic than optimistic,0.27242,2542,9849,0.26363,0.28122
2005,male,Pessimistic,0.06616,579,9849,0.06125,0.07107
2005,female,Optimistic,0.18543,2075,10727,0.17808,0.19279
2005,female,More optimistic than pessimistic,0.46425,5164,10727,0.45482,0.47369
2005,female,More pessimistic than optimistic,0.28940,2920,10727,0.28082,0.29798
2005,female,Pessimistic,0.06092,568,10727,0.05639,0.06544
2009,male,Optimistic,0.17669,1456,8568,0.16862,0.18477
2009,male,More optimistic than pessimistic,0.45587,4033,8568,0.44532,0.46642
2009,male,More pessimistic than optimistic,0.29432,2506,8568,0.28467,0.30397
2009,male,Pessimistic,0.07312,573,8568,0.06760,0.07863
2009,female,Optimistic,0.16466,1517,9382,0.15715,0.17216
2009,female,More optimistic than pessimistic,0.47261,4582,9382,0.46251,0.48272
2009,female,More pessimistic than optimistic,0.30833,2760,9382,0.29899,0.31768
2009,female,Pessimistic,0.05440,523,9382,0.04981,0.05899
2014,male,Optimistic,0.31064,4012,12350,0.30248,0.31880
2014,male,More optimistic than pessimistic,0.51029,6229,12350,0.50147,0.51910
2014,male,More pessimistic than optimistic,0.14963,1764,12350,0.14334,0.15593
2014,male,Pessimistic,0.02944,345,12350,0.02646,0.03242
2014,female,Optimistic,0.28159,4326,14547,0.27428,0.28890
2014,female,More optimistic than pessimistic,0.51466,7580,14547,0.50654,0.52278
2014,female,More pessimistic than optimistic,0.17600,2266,14547,0.16981,0.18219
2014,female,Pessimistic,0.02775,375,14547,0.02508,0.03042
2019,male,Optimistic,0.27494,3628,12176,0.26701,0.28288
2019,male,More optimistic than pessimistic,0.50733,6115,12176,0.49845,0.51621
2019,male,More pessimistic than optimistic,0.18512,2072,12176,0.17822,0.19202
2019,male,Pessimistic,0.03260,361,12176,0.02945,0.03576
2019,female,Optimistic,0.25756,3634,13316,0.25013,0.26498
2019,female,More optimistic than pessimistic,0.53277,7078,13316,0.52429,0.54124
2019,female,More pessimistic than optimistic,0.17851,2264,13316,0.17201,0.18501
2019,female,Pessimistic,0.03116,340,13316,0.02821,0.03412
