year,migback,quintil_oecd,plh0244,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,1st Quintile,Optimistic,0.26761,439,1677,0.24641,0.28880
1999,No migration background,1st Quintile,More optimistic than pessimistic,0.42987,734,1677,0.40617,0.45358
1999,No migration background,1st Quintile,More pessimistic than optimistic,0.23774,403,1677,0.21736,0.25812
1999,No migration background,1st Quintile,Pessimistic,0.06478,101,1677,0.05300,0.07656
1999,No migration background,2nd Quintile,Optimistic,0.26519,559,2131,0.24644,0.28393
1999,No migration background,2nd Quintile,More optimistic than pessimistic,0.45449,991,2131,0.43334,0.47563
1999,No migration background,2nd Quintile,More pessimistic than optimistic,0.22875,484,2131,0.21091,0.24659
1999,No migration background,2nd Quintile,Pessimistic,0.05158,97,2131,0.04218,0.06097
1999,No migration background,3rd Quintile,Optimistic,0.26165,608,2312,0.24373,0.27957
1999,No migration background,3rd Quintile,More optimistic than pessimistic,0.49003,1150,2312,0.46965,0.51041
1999,No migration background,3rd Quintile,More pessimistic than optimistic,0.20413,470,2312,0.18770,0.22056
1999,No migration background,3rd Quintile,Pessimistic,0.04419,84,2312,0.03581,0.05257
1999,No migration background,4th Quintile,Optimistic,0.27472,653,2332,0.25660,0.29284
1999,No migration background,4th Quintile,More optimistic than pessimistic,0.47381,1164,2332,0.45354,0.49408
1999,No migration background,4th Quintile,More pessimistic than optimistic,0.22176,449,2332,0.20490,0.23863
1999,No migration background,4th Quintile,Pessimistic,0.02971,66,2332,0.02282,0.03660
1999,No migration background,5th Quintile,Optimistic,0.28732,684,2359,0.26906,0.30558
1999,No migration background,5th Quintile,More optimistic than pessimistic,0.51460,1232,2359,0.49443,0.53478
1999,No migration background,5th Quintile,More pessimistic than optimistic,0.17947,401,2359,0.16398,0.19495
1999,No migration background,5th Quintile,Pessimistic,0.01861,42,2359,0.01316,0.02406
1999,Direct migration background,1st Quintile,Optimistic,0.30342,205,705,0.26946,0.33738
1999,Direct migration background,1st Quintile,More optimistic than pessimistic,0.43933,305,705,0.40267,0.47600
1999,Direct migration background,1st Quintile,More pessimistic than optimistic,0.19246,150,705,0.16334,0.22158
1999,Direct migration background,1st Quintile,Pessimistic,0.06479,45,705,0.04661,0.08297
1999,Direct migration background,2nd Quintile,Optimistic,0.26162,176,552,0.22492,0.29832
1999,Direct migration background,2nd Quintile,More optimistic than pessimistic,0.45668,257,552,0.41509,0.49827
1999,Direct migration background,2nd Quintile,More pessimistic than optimistic,0.22171,119,552,0.18703,0.25640
1999,Direct migration background,3rd Quintile,Optimistic,0.26684,123,373,0.22189,0.31179
1999,Direct migration background,3rd Quintile,More optimistic than pessimistic,0.54103,180,373,0.49039,0.59167
1999,Direct migration background,3rd Quintile,More pessimistic than optimistic,0.15673,70,373,0.11979,0.19367
1999,Direct migration background,4th Quintile,Optimistic,0.35592,111,295,0.30119,0.41065
1999,Direct migration background,4th Quintile,More optimistic than pessimistic,0.41163,130,295,0.35538,0.46789
1999,Direct migration background,4th Quintile,More pessimistic than optimistic,0.17788,54,295,0.13416,0.22159
1999,Direct migration background,5th Quintile,Optimistic,0.33982,63,186,0.27156,0.40807
1999,Direct migration background,5th Quintile,More optimistic than pessimistic,0.41853,83,186,0.34745,0.48962
1999,Direct migration background,5th Quintile,More pessimistic than optimistic,0.21680,40,186,0.15742,0.27617
1999,Indirect migration background,1st Quintile,Optimistic,0.42558,76,164,0.34968,0.50149
1999,Indirect migration background,1st Quintile,More optimistic than pessimistic,0.48409,88,164,0.40737,0.56081
1999,Indirect migration background,2nd Quintile,Optimistic,0.47311,70,129,0.38661,0.55960
1999,Indirect migration background,2nd Quintile,More optimistic than pessimistic,0.43714,59,129,0.35120,0.52307
1999,Indirect migration background,3rd Quintile,Optimistic,0.36819,47,87,0.26625,0.47013
1999,Indirect migration background,3rd Quintile,More optimistic than pessimistic,0.39661,40,87,0.29322,0.50000
1999,Indirect migration background,4th Quintile,Optimistic,0.35921,42,93,0.26117,0.45725
1999,Indirect migration background,4th Quintile,More optimistic than pessimistic,0.54945,51,93,0.44778,0.65112
2005,No migration background,1st Quintile,Optimistic,0.16707,390,2224,0.15156,0.18258
2005,No migration background,1st Quintile,More optimistic than pessimistic,0.39110,879,2224,0.37082,0.41139
2005,No migration background,1st Quintile,More pessimistic than optimistic,0.33094,724,2224,0.31138,0.35050
2005,No migration background,1st Quintile,Pessimistic,0.11089,231,2224,0.09784,0.12394
