year,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.75324,1545,1968,0.73419,0.77229
1984,Owner,No,0.22705,423,1968,0.20854,0.24556
1984,Tenant,Yes,0.57950,2001,3789,0.56378,0.59522
1984,Tenant,No,0.40319,1788,3789,0.38756,0.41881
1985,Owner,Yes,0.75088,1436,1827,0.73104,0.77072
1985,Owner,No,0.22840,391,1827,0.20915,0.24766
1985,Tenant,Yes,0.58443,1812,3338,0.56771,0.60115
1985,Tenant,No,0.39581,1526,3338,0.37922,0.41240
1986,Owner,Yes,0.76057,1424,1796,0.74083,0.78032
1986,Owner,No,0.21637,372,1796,0.19732,0.23542
1986,Tenant,Yes,0.59258,1730,3124,0.57535,0.60981
1986,Tenant,No,0.38404,1394,3124,0.36698,0.40109
1987,Owner,Yes,0.75957,1412,1794,0.73979,0.77935
1987,Owner,No,0.21888,382,1794,0.19974,0.23802
1987,Tenant,Yes,0.59897,1732,3067,0.58162,0.61632
1987,Tenant,No,0.37849,1335,3067,0.36132,0.39566
1988,Owner,Yes,0.76879,1365,1716,0.74884,0.78874
1988,Owner,No,0.20978,351,1716,0.19051,0.22905
1988,Tenant,Yes,0.60716,1683,2944,0.58951,0.62480
1988,Tenant,No,0.36796,1261,2944,0.35054,0.38539
1989,Owner,Yes,0.77274,1344,1682,0.75271,0.79278
1989,Owner,No,0.20719,338,1682,0.18782,0.22657
1989,Tenant,Yes,0.60466,1631,2853,0.58672,0.62261
1989,Tenant,No,0.36648,1222,2853,0.34880,0.38416
1990,Owner,Yes,0.72026,1611,1956,0.70037,0.74016
1990,Owner,No,0.17641,345,1956,0.15951,0.19331
1990,Tenant,Yes,0.55429,2222,3409,0.53760,0.57098
1990,Tenant,No,0.28078,1187,3409,0.26569,0.29587
1991,Owner,Yes,0.77190,1707,2323,0.75483,0.78897
1991,Owner,No,0.22427,616,2323,0.20730,0.24123
1991,Tenant,Yes,0.55901,2222,4233,0.54405,0.57397
1991,Tenant,No,0.42484,2011,4233,0.40995,0.43973
1992,Owner,Yes,0.77602,1709,2305,0.75900,0.79304
1992,Owner,No,0.21589,596,2305,0.19909,0.23269
1992,Tenant,Yes,0.56769,2236,4127,0.55258,0.58281
1992,Tenant,No,0.39686,1891,4127,0.38193,0.41179
1993,Owner,Yes,0.77117,1696,2285,0.75394,0.78839
1993,Owner,No,0.21431,589,2285,0.19748,0.23114
1993,Tenant,Yes,0.55982,2222,4075,0.54457,0.57506
1993,Tenant,No,0.38965,1853,4075,0.37468,0.40463
1994,Owner,Yes,0.77456,1706,2292,0.75745,0.79167
1994,Owner,No,0.20950,586,2292,0.19284,0.22617
1994,Tenant,Yes,0.55993,2217,3973,0.54449,0.57537
1994,Tenant,No,0.38233,1756,3973,0.36722,0.39745
1995,Owner,Yes,0.78123,1753,2315,0.76438,0.79807
1995,Owner,No,0.19694,562,2315,0.18074,0.21315
1995,Tenant,Yes,0.57313,2386,4132,0.55804,0.58821
1995,Tenant,No,0.36686,1746,4132,0.35217,0.38156
1996,Owner,Yes,0.78686,1780,2343,0.77028,0.80345
1996,Owner,No,0.19360,563,2343,0.17760,0.20960
1996,Tenant,Yes,0.59022,2404,4041,0.57505,0.60538
1996,Tenant,No,0.35456,1637,4041,0.33981,0.36932
1997,Owner,Yes,0.78774,1824,2384,0.77132,0.80415
1997,Owner,No,0.18822,560,2384,0.17253,0.20392
1997,Tenant,Yes,0.60026,2377,3914,0.58491,0.61560
1997,Tenant,No,0.34139,1537,3914,0.32653,0.35625
1998,Owner,Yes,0.81541,2287,2886,0.80125,0.82957
1998,Owner,No,0.17956,599,2886,0.16556,0.19357
1998,Tenant,Yes,0.63650,2798,4476,0.62241,0.65059
1998,Tenant,No,0.35310,1678,4476,0.33910,0.36710
1999,Owner,Yes,0.82178,2269,2835,0.80769,0.83587
1999,Owner,No,0.16845,566,2835,0.15467,0.18223
1999,Tenant,Yes,0.63893,2672,4222,0.62444,0.65342
1999,Tenant,No,0.34446,1550,4222,0.33013,0.35880
2000,Owner,Yes,0.82730,4741,5766,0.81754,0.83705
2000,Owner,No,0.16150,1025,5766,0.15200,0.17100
2000,Tenant,Yes,0.63139,4478,7014,0.62010,0.64268
2000,Tenant,No,0.34999,2536,7014,0.33883,0.36116
2001,Owner,Yes,0.82628,4282,5201,0.81599,0.83658
2001,Owner,No,0.16019,919,5201,0.15022,0.17016
2001,Tenant,Yes,0.64080,4115,6292,0.62895,0.65266
2001,Tenant,No,0.33670,2177,6292,0.32502,0.34838
2002,Owner,Yes,0.82793,4879,5764,0.81818,0.83767
2002,Owner,No,0.15732,885,5764,0.14792,0.16672
2002,Tenant,Yes,0.64168,4140,6201,0.62975,0.65362
2002,Tenant,No,0.32790,2061,6201,0.31621,0.33958
2003,Owner,Yes,0.82884,4717,5580,0.81896,0.83872
2003,Owner,No,0.15589,863,5580,0.14637,0.16541
2003,Tenant,Yes,0.64659,4031,5968,0.63446,0.65872
2003,Tenant,No,0.32176,1937,5968,0.30990,0.33361
2004,Owner,Yes,0.83514,4665,5478,0.82531,0.84496
2004,Owner,No,0.14994,813,5478,0.14048,0.15939
2004,Tenant,Yes,0.65188,3973,5797,0.63961,0.66414
2004,Tenant,No,0.31249,1824,5797,0.30056,0.32442
2005,Owner,Yes,0.86450,4651,5382,0.85536,0.87365
2005,Owner,No,0.13443,731,5382,0.12531,0.14354
2005,Tenant,Yes,0.68561,3995,5793,0.67365,0.69756
2005,Tenant,No,0.30903,1798,5793,0.29713,0.32093
2006,Owner,Yes,0.87095,5235,6001,0.86247,0.87943
2006,Owner,No,0.12876,766,6001,0.12029,0.13724
2006,Tenant,Yes,0.68584,4322,6246,0.67433,0.69735
2006,Tenant,No,0.31079,1924,6246,0.29931,0.32226
2007,Owner,Yes,0.87342,4920,5617,0.86472,0.88211
2007,Owner,No,0.12553,697,5617,0.11686,0.13420
2007,Tenant,Yes,0.70558,4113,5817,0.69386,0.71729
2007,Tenant,No,0.29093,1704,5817,0.27926,0.30260
2008,Owner,Yes,0.88094,4740,5377,0.87228,0.88960
2008,Owner,No,0.11829,637,5377,0.10966,0.12692
2008,Tenant,Yes,0.71439,3885,5433,0.70238,0.72640
2008,Tenant,No,0.28335,1548,5433,0.27137,0.29533
2009,Owner,Yes,0.87802,4458,5061,0.86900,0.88704
2009,Owner,No,0.12097,603,5061,0.11198,0.12995
2009,Tenant,Yes,0.72318,3674,5107,0.71090,0.73545
2009,Tenant,No,0.27454,1433,5107,0.26230,0.28678
2010,Owner,Yes,0.87602,5617,6329,0.86790,0.88414
2010,Owner,No,0.12357,712,6329,0.11546,0.13168
2010,Tenant,Yes,0.72129,5468,7459,0.71111,0.73146
2010,Tenant,No,0.27652,1991,7459,0.26637,0.28667
2011,Owner,Yes,0.89614,6912,7721,0.88934,0.90295
2011,Owner,No,0.10386,809,7721,0.09705,0.11066
2011,Tenant,Yes,0.72312,6552,8878,0.71381,0.73243
2011,Tenant,No,0.27609,2326,8878,0.26679,0.28539
2012,Owner,Yes,0.89714,6804,7596,0.89031,0.90397
2012,Owner,No,0.10286,792,7596,0.09603,0.10969
2012,Tenant,Yes,0.73200,6479,8706,0.72270,0.74131
2012,Tenant,No,0.26770,2227,8706,0.25840,0.27701
2013,Owner,Yes,0.89700,6942,7708,0.89021,0.90379
2013,Owner,No,0.10300,766,7708,0.09621,0.10979
2013,Tenant,Yes,0.72753,7599,10162,0.71887,0.73619
2013,Tenant,No,0.27247,2563,10162,0.26381,0.28113
2014,Owner,Yes,0.90133,6355,7052,0.89437,0.90829
2014,Owner,No,0.09867,697,7052,0.09171,0.10563
2014,Tenant,Yes,0.72980,6609,8772,0.72051,0.73910
2014,Tenant,No,0.26907,2163,8772,0.25979,0.27835
2015,Owner,Yes,0.90201,6077,6737,0.89491,0.90911
2015,Owner,No,0.09764,660,6737,0.09055,0.10473
2015,Tenant,Yes,0.72903,6657,9021,0.71986,0.73821
2015,Tenant,No,0.27008,2364,9021,0.26092,0.27925
2016,Owner,Yes,0.90401,5692,6301,0.89673,0.91128
2016,Owner,No,0.09595,609,6301,0.08868,0.10322
2016,Tenant,Yes,0.72928,5952,7993,0.71954,0.73902
2016,Tenant,No,0.27018,2041,7993,0.26044,0.27991
2017,Owner,Yes,0.90376,6389,7062,0.89688,0.91064
2017,Owner,No,0.09552,673,7062,0.08867,0.10238
2017,Tenant,Yes,0.72365,7392,10414,0.71507,0.73224
2017,Tenant,No,0.27595,3022,10414,0.26736,0.28453
2018,Owner,Yes,0.90560,6116,6755,0.89863,0.91257
2018,Owner,No,0.09383,639,6755,0.08687,0.10078
2018,Tenant,Yes,0.73466,7747,10942,0.72639,0.74294
2018,Tenant,No,0.26306,3195,10942,0.25481,0.27131
2019,Owner,Yes,0.85125,5392,5945,0.84220,0.86029
2019,Owner,No,0.08766,553,5945,0.08047,0.09485
2019,Tenant,Yes,0.64374,6387,8965,0.63382,0.65365
2019,Tenant,No,0.22157,2578,8965,0.21297,0.23017
2020,Owner,Yes,0.91325,6410,6983,0.90665,0.91985
2020,Owner,No,0.08565,573,6983,0.07909,0.09221
2020,Tenant,Yes,0.73716,8489,12318,0.72939,0.74494
2020,Tenant,No,0.26112,3829,12318,0.25336,0.26887
2021,Owner,Yes,0.84302,4291,4665,0.83258,0.85346
2021,Owner,No,0.07615,374,4665,0.06854,0.08376
2021,Tenant,Yes,0.64888,4626,6509,0.63729,0.66048
2021,Tenant,No,0.22927,1883,6509,0.21906,0.23949
2022,Owner,Yes,0.91449,7187,7858,0.90830,0.92067
2022,Owner,No,0.08525,671,7858,0.07907,0.09142
2022,Tenant,Yes,0.74627,8724,12189,0.73854,0.75399
2022,Tenant,No,0.24572,3465,12189,0.23808,0.25336
