year,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.66131,3546,5757,0.64908,0.67353
1984,No answer / don't know,No,0.33869,2211,5757,0.32647,0.35092
1985,Urban regions,Yes,0.66486,2561,4122,0.65045,0.67927
1985,Urban regions,No,0.33514,1561,4122,0.32073,0.34955
1985,Rural regions,Yes,0.66233,687,1043,0.63361,0.69104
1985,Rural regions,No,0.33767,356,1043,0.30896,0.36639
1986,Urban regions,Yes,0.67547,2498,3934,0.66083,0.69010
1986,Urban regions,No,0.32453,1436,3934,0.30990,0.33917
1986,Rural regions,Yes,0.67196,657,989,0.64268,0.70123
1986,Rural regions,No,0.32804,332,989,0.29877,0.35732
1987,Urban regions,Yes,0.67445,2480,3884,0.65971,0.68919
1987,Urban regions,No,0.32555,1404,3884,0.31081,0.34029
1987,Rural regions,Yes,0.68609,664,978,0.65699,0.71519
1987,Rural regions,No,0.31391,314,978,0.28481,0.34301
1988,Urban regions,Yes,0.68567,2417,3738,0.67079,0.70056
1988,Urban regions,No,0.31433,1321,3738,0.29944,0.32921
1988,Rural regions,Yes,0.69425,631,922,0.66449,0.72401
1988,Rural regions,No,0.30575,291,922,0.27599,0.33551
1989,Urban regions,Yes,0.69266,2385,3660,0.67771,0.70761
1989,Urban regions,No,0.30734,1275,3660,0.29239,0.32229
1989,Rural regions,Yes,0.67844,592,878,0.64753,0.70935
1989,Rural regions,No,0.32156,286,878,0.29065,0.35247
1990,Urban regions,Yes,0.71036,2682,3920,0.69616,0.72456
1990,Urban regions,No,0.28964,1238,3920,0.27544,0.30384
1990,Rural regions,Yes,0.74290,1137,1431,0.72025,0.76555
1990,Rural regions,No,0.25710,294,1431,0.23445,0.27975
1991,Urban regions,Yes,0.68292,2764,4323,0.66905,0.69679
1991,Urban regions,No,0.31708,1559,4323,0.30321,0.33095
1991,Rural regions,Yes,0.56713,1150,2189,0.54637,0.58789
1991,Rural regions,No,0.43287,1039,2189,0.41211,0.45363
1992,No answer / don't know,No,0.56039,31,31,0.38278,0.73801
1992,Urban regions,Yes,0.69689,2787,4280,0.68312,0.71066
