,Unnamed: 0,year,hhtyp,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Single-person household,Urban regions,Yes,0.54778,487,5051,0.53385,0.55963
1,1,1985,Single-person household,Urban regions,No,0.45222,453,5051,0.4326,0.469
2,2,1985,Single-person household,Rural regions,Yes,0.50379,85,5051,0.47484,0.52849
3,3,1985,Single-person household,Rural regions,No,0.49621,92,5051,0.45449,0.532
4,4,1985,Couple without children,Urban regions,Yes,0.72551,635,5051,0.70996,0.73946
5,5,1985,Couple without children,Urban regions,No,0.27449,308,5051,0.25829,0.29217
6,6,1985,Couple without children,Rural regions,Yes,0.66024,164,5051,0.63895,0.68347
7,7,1985,Couple without children,Rural regions,No,0.33976,95,5051,0.31227,0.36836
8,8,1985,Single parent,Urban regions,Yes,0.65679,133,5051,0.62086,0.68506
9,9,1985,Single parent,Urban regions,No,0.34321,93,5051,0.29662,0.38863
10,10,1985,Single parent,Rural regions,Yes,1.0,41,5051,0.90958,1.08317
11,11,1985,Couple with children,Urban regions,Yes,0.74965,1195,5051,0.72547,0.77108
12,12,1985,Couple with children,Urban regions,No,0.25035,644,5051,0.23105,0.26559
13,13,1985,Couple with children,Rural regions,Yes,0.80029,368,5051,0.7721,0.82357
14,14,1985,Couple with children,Rural regions,No,0.19971,120,5051,0.17704,0.22091
15,15,1985,Multi-generational household,Urban regions,Yes,1.0,43,5051,0.85758,1.15914
16,16,1985,Other Combinations,Urban regions,Yes,0.62185,58,5051,0.57051,0.68217
17,17,1985,Other Combinations,Urban regions,No,0.37815,37,5051,0.31327,0.43081
18,18,1986,Single-person household,Urban regions,Yes,0.57611,481,4832,0.562,0.59127
19,19,1986,Single-person household,Urban regions,No,0.42389,405,4832,0.40248,0.44167
20,20,1986,Single-person household,Rural regions,Yes,0.56984,91,4832,0.5376,0.59442
21,21,1986,Single-person household,Rural regions,No,0.43016,73,4832,0.39852,0.46971
22,22,1986,Couple without children,Urban regions,Yes,0.72679,640,4832,0.70967,0.74754
23,23,1986,Couple without children,Urban regions,No,0.27321,303,4832,0.25399,0.29357
