year,hhtyp,quintil_oecd_hh,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,Yes,0.34316,111,323,0.29131,0.39502
1984,Single-person household,1st Quintile,No,0.63205,212,323,0.57938,0.68472
1984,Single-person household,2nd Quintile,Yes,0.48907,111,226,0.42375,0.55439
1984,Single-person household,2nd Quintile,No,0.47453,115,226,0.40928,0.53978
1984,Single-person household,3rd Quintile,Yes,0.52356,112,230,0.45887,0.58825
1984,Single-person household,3rd Quintile,No,0.46246,118,230,0.39789,0.52704
1984,Single-person household,4th Quintile,Yes,0.63356,130,237,0.57209,0.69504
1984,Single-person household,4th Quintile,No,0.36106,107,237,0.29978,0.42234
1984,Single-person household,5th Quintile,Yes,0.69861,154,227,0.63879,0.75844
1984,Single-person household,5th Quintile,No,0.28310,73,227,0.22437,0.34184
1984,Couple without children,1st Quintile,Yes,0.54207,83,162,0.46511,0.61903
1984,Couple without children,1st Quintile,No,0.44425,79,162,0.36750,0.52100
1984,Couple without children,2nd Quintile,Yes,0.58806,115,203,0.52019,0.65594
1984,Couple without children,2nd Quintile,No,0.39498,88,203,0.32756,0.46239
1984,Couple without children,3rd Quintile,Yes,0.72714,170,254,0.67226,0.78203
1984,Couple without children,3rd Quintile,No,0.25282,84,254,0.19926,0.30637
1984,Couple without children,4th Quintile,Yes,0.71716,191,295,0.66568,0.76865
1984,Couple without children,4th Quintile,No,0.26448,104,295,0.21406,0.31490
1984,Couple without children,5th Quintile,Yes,0.81966,322,411,0.78245,0.85688
1984,Couple without children,5th Quintile,No,0.15961,89,411,0.12416,0.19507
1984,Single parent,1st Quintile,Yes,0.58687,65,119,0.49803,0.67572
1984,Single parent,1st Quintile,No,0.39338,54,119,0.30523,0.48152
1984,Single parent,2nd Quintile,Yes,0.69441,49,49,0.56409,0.82473
1984,Couple with children,1st Quintile,Yes,0.57022,247,521,0.52767,0.61277
1984,Couple with children,1st Quintile,No,0.40386,274,521,0.36169,0.44604
1984,Couple with children,2nd Quintile,Yes,0.68626,363,616,0.64959,0.72294
1984,Couple with children,2nd Quintile,No,0.29805,253,616,0.26190,0.33420
1984,Couple with children,3rd Quintile,Yes,0.74902,392,570,0.71339,0.78464
1984,Couple with children,3rd Quintile,No,0.23304,178,570,0.19830,0.26778
1984,Couple with children,4th Quintile,Yes,0.79919,402,535,0.76521,0.83317
1984,Couple with children,4th Quintile,No,0.18816,133,535,0.15501,0.22131
1984,Couple with children,5th Quintile,Yes,0.83940,287,347,0.80071,0.87809
1984,Couple with children,5th Quintile,No,0.14615,60,347,0.10892,0.18337
1985,Single-person household,1st Quintile,Yes,0.37473,111,297,0.31958,0.42987
1985,Single-person household,1st Quintile,No,0.61147,186,297,0.55594,0.66700
1985,Single-person household,2nd Quintile,Yes,0.49283,95,195,0.42248,0.56319
1985,Single-person household,2nd Quintile,No,0.47174,100,195,0.40149,0.54199
1985,Single-person household,3rd Quintile,Yes,0.55815,101,202,0.48950,0.62680
1985,Single-person household,3rd Quintile,No,0.42292,101,202,0.35463,0.49122
1985,Single-person household,4th Quintile,Yes,0.65538,137,226,0.59328,0.71748
1985,Single-person household,4th Quintile,No,0.32349,89,226,0.26236,0.38461
1985,Single-person household,5th Quintile,Yes,0.67068,128,192,0.60402,0.73733
1985,Single-person household,5th Quintile,No,0.31183,64,192,0.24613,0.37753
1985,Couple without children,1st Quintile,Yes,0.47038,56,130,0.38425,0.55651
1985,Couple without children,1st Quintile,No,0.51799,74,130,0.43176,0.60422
1985,Couple without children,2nd Quintile,Yes,0.54948,104,190,0.47854,0.62041
1985,Couple without children,2nd Quintile,No,0.40524,86,190,0.33525,0.47523
1985,Couple without children,3rd Quintile,Yes,0.73220,155,220,0.67355,0.79085
1985,Couple without children,3rd Quintile,No,0.26200,65,220,0.20376,0.32023
1985,Couple without children,4th Quintile,Yes,0.73388,185,280,0.68203,0.78574
1985,Couple without children,4th Quintile,No,0.24914,95,280,0.19838,0.29989
1985,Couple without children,5th Quintile,Yes,0.81321,298,381,0.77402,0.85239
1985,Couple without children,5th Quintile,No,0.16830,83,381,0.13068,0.20591
1985,Single parent,1st Quintile,Yes,0.59452,59,105,0.50016,0.68889
1985,Single parent,1st Quintile,No,0.39201,46,105,0.29818,0.48584
1985,Single parent,2nd Quintile,Yes,0.70080,39,39,0.55521,0.84639
1985,Single parent,3rd Quintile,Yes,0.61539,35,35,0.45186,0.77892
1985,Couple with children,1st Quintile,Yes,0.59490,226,473,0.55062,0.63919
1985,Couple with children,1st Quintile,No,0.38020,247,473,0.33641,0.42399
1985,Couple with children,2nd Quintile,Yes,0.67285,339,541,0.63328,0.71242
1985,Couple with children,2nd Quintile,No,0.29696,202,541,0.25842,0.33550
1985,Couple with children,3rd Quintile,Yes,0.76177,370,537,0.72570,0.79783
1985,Couple with children,3rd Quintile,No,0.21917,167,537,0.18415,0.25419
1985,Couple with children,4th Quintile,Yes,0.82874,355,454,0.79404,0.86343
1985,Couple with children,4th Quintile,No,0.16295,99,454,0.12894,0.19696
1985,Couple with children,5th Quintile,Yes,0.85882,273,322,0.82072,0.89691
1985,Couple with children,5th Quintile,No,0.12439,49,322,0.08829,0.16049
1986,Single-person household,1st Quintile,Yes,0.41563,114,273,0.35706,0.47420
1986,Single-person household,1st Quintile,No,0.56191,159,273,0.50294,0.62087
1986,Single-person household,2nd Quintile,Yes,0.60241,107,182,0.53111,0.67371
1986,Single-person household,2nd Quintile,No,0.37792,75,182,0.30728,0.44856
1986,Single-person household,3rd Quintile,Yes,0.51609,98,198,0.44630,0.58588
1986,Single-person household,3rd Quintile,No,0.45425,100,198,0.38472,0.52378
1986,Single-person household,4th Quintile,Yes,0.61628,119,217,0.55142,0.68113
1986,Single-person household,4th Quintile,No,0.36313,98,217,0.29900,0.42726
1986,Single-person household,5th Quintile,Yes,0.73883,132,177,0.67394,0.80373
1986,Single-person household,5th Quintile,No,0.22778,45,177,0.16581,0.28974
1986,Couple without children,1st Quintile,Yes,0.46231,62,141,0.37972,0.54490
1986,Couple without children,1st Quintile,No,0.49536,79,141,0.41253,0.57818
1986,Couple without children,2nd Quintile,Yes,0.56817,103,181,0.49581,0.64053
1986,Couple without children,2nd Quintile,No,0.39454,78,181,0.32314,0.46594
1986,Couple without children,3rd Quintile,Yes,0.75150,144,205,0.69220,0.81081
1986,Couple without children,3rd Quintile,No,0.23898,61,205,0.18046,0.29750
1986,Couple without children,4th Quintile,Yes,0.70206,184,286,0.64897,0.75516
1986,Couple without children,4th Quintile,No,0.27660,102,286,0.22467,0.32853
1986,Couple without children,5th Quintile,Yes,0.81593,294,367,0.77623,0.85563
1986,Couple without children,5th Quintile,No,0.15978,73,367,0.12224,0.19731
1986,Single parent,1st Quintile,Yes,0.56477,56,99,0.46661,0.66293
1986,Single parent,1st Quintile,No,0.41640,43,99,0.31880,0.51401
1986,Single parent,2nd Quintile,Yes,0.63847,37,37,0.48153,0.79542
1986,Single parent,3rd Quintile,Yes,0.68618,39,39,0.53864,0.83373
1986,Couple with children,1st Quintile,Yes,0.57716,198,408,0.52916,0.62515
1986,Couple with children,1st Quintile,No,0.39857,210,408,0.35100,0.44613
1986,Couple with children,2nd Quintile,Yes,0.69995,345,534,0.66105,0.73886
1986,Couple with children,2nd Quintile,No,0.27140,189,534,0.23365,0.30915
1986,Couple with children,3rd Quintile,Yes,0.74393,339,503,0.70575,0.78211
1986,Couple with children,3rd Quintile,No,0.24199,164,503,0.20452,0.27945
1986,Couple with children,4th Quintile,Yes,0.80437,321,422,0.76648,0.84226
1986,Couple with children,4th Quintile,No,0.17108,101,422,0.13510,0.20705
1986,Couple with children,5th Quintile,Yes,0.88538,278,322,0.85053,0.92023
1986,Couple with children,5th Quintile,No,0.10938,44,322,0.07523,0.14352
1987,Single-person household,1st Quintile,Yes,0.41468,118,282,0.35708,0.47229
1987,Single-person household,1st Quintile,No,0.55881,164,282,0.50076,0.61687
1987,Single-person household,2nd Quintile,Yes,0.55254,104,185,0.48069,0.62438
1987,Single-person household,2nd Quintile,No,0.41908,81,185,0.34778,0.49037
1987,Single-person household,3rd Quintile,Yes,0.54902,104,198,0.47954,0.61851
1987,Single-person household,3rd Quintile,No,0.40978,94,198,0.34110,0.47845
1987,Single-person household,4th Quintile,Yes,0.72095,121,190,0.65700,0.78489
1987,Single-person household,4th Quintile,No,0.27369,69,190,0.21012,0.33725
1987,Single-person household,5th Quintile,Yes,0.69112,133,197,0.62643,0.75580
1987,Single-person household,5th Quintile,No,0.30888,64,197,0.24420,0.37357
1987,Couple without children,1st Quintile,Yes,0.52535,66,131,0.43951,0.61119
1987,Couple without children,1st Quintile,No,0.43778,65,131,0.35249,0.52306
1987,Couple without children,2nd Quintile,Yes,0.59060,98,177,0.51795,0.66325
1987,Couple without children,2nd Quintile,No,0.38751,79,177,0.31553,0.45949
1987,Couple without children,3rd Quintile,Yes,0.66940,126,199,0.60388,0.73493
1987,Couple without children,3rd Quintile,No,0.31533,73,199,0.25060,0.38005
1987,Couple without children,4th Quintile,Yes,0.75011,205,296,0.70070,0.79951
1987,Couple without children,4th Quintile,No,0.23684,91,296,0.18833,0.28536
1987,Couple without children,5th Quintile,Yes,0.81870,290,368,0.77928,0.85812
1987,Couple without children,5th Quintile,No,0.16062,78,368,0.12305,0.19818
1987,Single parent,1st Quintile,Yes,0.59787,60,95,0.49875,0.69700
