year,regtyp,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Owner,Yes,0.76241,1019,1284,0.73912,0.78570
1985,Urban regions,Owner,No,0.22025,265,1284,0.19757,0.24293
1985,Urban regions,Tenant,Yes,0.59030,1542,2838,0.57220,0.60839
1985,Urban regions,Tenant,No,0.38942,1296,2838,0.37148,0.40737
1985,Rural regions,Owner,Yes,0.72471,417,543,0.68711,0.76232
1985,Rural regions,Owner,No,0.24690,126,543,0.21060,0.28321
1985,Rural regions,Tenant,Yes,0.55692,270,500,0.51334,0.60051
1985,Rural regions,Tenant,No,0.42574,230,500,0.38236,0.46913
1986,Urban regions,Owner,Yes,0.76596,1010,1267,0.74264,0.78929
1986,Urban regions,Owner,No,0.21254,257,1267,0.19001,0.23508
1986,Urban regions,Tenant,Yes,0.60300,1488,2665,0.58442,0.62158
1986,Urban regions,Tenant,No,0.37492,1177,2665,0.35654,0.39331
1986,Rural regions,Owner,Yes,0.74820,414,529,0.71118,0.78522
1986,Rural regions,Owner,No,0.22517,115,529,0.18954,0.26080
1986,Rural regions,Tenant,Yes,0.54237,242,459,0.49674,0.58800
1986,Rural regions,Tenant,No,0.42792,217,459,0.38261,0.47324
1987,Urban regions,Owner,Yes,0.76154,1008,1280,0.73818,0.78489
1987,Urban regions,Owner,No,0.21951,272,1280,0.19683,0.24220
1987,Urban regions,Tenant,Yes,0.60496,1472,2603,0.58618,0.62374
1987,Urban regions,Tenant,No,0.37226,1131,2603,0.35369,0.39084
1987,Rural regions,Owner,Yes,0.75503,404,514,0.71781,0.79224
1987,Rural regions,Owner,No,0.21741,110,514,0.18172,0.25310
1987,Rural regions,Tenant,Yes,0.56970,260,464,0.52460,0.61480
1987,Rural regions,Tenant,No,0.40893,204,464,0.36415,0.45372
1988,Urban regions,Owner,Yes,0.77516,994,1244,0.75195,0.79836
1988,Urban regions,Owner,No,0.20615,250,1244,0.18366,0.22864
1988,Urban regions,Tenant,Yes,0.61189,1423,2494,0.59276,0.63102
1988,Urban regions,Tenant,No,0.36445,1071,2494,0.34556,0.38334
1988,Rural regions,Owner,Yes,0.75329,371,472,0.71436,0.79223
1988,Rural regions,Owner,No,0.21861,101,472,0.18129,0.25594
1988,Rural regions,Tenant,Yes,0.58402,260,450,0.53843,0.62961
1988,Rural regions,Tenant,No,0.38516,190,450,0.34015,0.43017
1989,Urban regions,Owner,Yes,0.78139,986,1228,0.75826,0.80451
1989,Urban regions,Owner,No,0.20214,242,1228,0.17967,0.22461
1989,Urban regions,Tenant,Yes,0.61707,1397,2429,0.59773,0.63641
1989,Urban regions,Tenant,No,0.35729,1032,2429,0.33823,0.37635
1989,Rural regions,Owner,Yes,0.75093,358,454,0.71111,0.79076
1989,Rural regions,Owner,No,0.21995,96,454,0.18181,0.25810
1989,Rural regions,Tenant,Yes,0.54244,234,424,0.49496,0.58992
1989,Rural regions,Tenant,No,0.41257,190,424,0.36566,0.45949
1990,Urban regions,Owner,Yes,0.77792,1037,1278,0.75512,0.80072
1990,Urban regions,Owner,No,0.18956,241,1278,0.16806,0.21106
1990,Urban regions,Tenant,Yes,0.58823,1643,2640,0.56945,0.60701
1990,Urban regions,Tenant,No,0.30595,997,2640,0.28837,0.32353
1990,Rural regions,Owner,Yes,0.61992,574,678,0.58335,0.65648
1990,Rural regions,Owner,No,0.15354,104,678,0.12638,0.18070
1990,Rural regions,Tenant,Yes,0.45747,563,753,0.42186,0.49308
1990,Rural regions,Tenant,No,0.21197,190,753,0.18276,0.24118
1991,Urban regions,Owner,Yes,0.83127,1108,1340,0.81121,0.85133
1991,Urban regions,Owner,No,0.16554,232,1340,0.14563,0.18544
1991,Urban regions,Tenant,Yes,0.59369,1655,2982,0.57605,0.61132
1991,Urban regions,Tenant,No,0.39080,1327,2982,0.37328,0.40831
1991,Rural regions,Owner,Yes,0.67041,598,981,0.64098,0.69984
1991,Rural regions,Owner,No,0.32517,383,981,0.29584,0.35450
1991,Rural regions,Tenant,Yes,0.46429,552,1208,0.43615,0.49242
1991,Rural regions,Tenant,No,0.51735,656,1208,0.48916,0.54554
1992,Urban regions,Owner,Yes,0.82966,1127,1359,0.80967,0.84966
1992,Urban regions,Owner,No,0.16279,232,1359,0.14315,0.18242
1992,Urban regions,Tenant,Yes,0.59898,1660,2921,0.58120,0.61675
1992,Urban regions,Tenant,No,0.36903,1261,2921,0.35153,0.38653
1992,Rural regions,Owner,Yes,0.67782,581,944,0.64799,0.70765
1992,Rural regions,Owner,No,0.31361,363,944,0.28400,0.34322
1992,Rural regions,Tenant,Yes,0.48317,554,1154,0.45432,0.51201
1992,Rural regions,Tenant,No,0.47368,600,1154,0.44486,0.50251
1993,Urban regions,Owner,Yes,0.82719,1118,1344,0.80697,0.84741
1993,Urban regions,Owner,No,0.15733,226,1344,0.13786,0.17680
1993,Urban regions,Tenant,Yes,0.59203,1667,2904,0.57415,0.60990
1993,Urban regions,Tenant,No,0.36158,1237,2904,0.34410,0.37906
1993,Rural regions,Owner,Yes,0.66796,578,941,0.63785,0.69807
1993,Rural regions,Owner,No,0.31928,363,941,0.28947,0.34908
1993,Rural regions,Tenant,Yes,0.47135,555,1171,0.44274,0.49995
1993,Rural regions,Tenant,No,0.46675,616,1171,0.43816,0.49534
1994,Urban regions,Owner,Yes,0.82609,1103,1333,0.80574,0.84645
1994,Urban regions,Owner,No,0.16086,230,1333,0.14113,0.18059
1994,Urban regions,Tenant,Yes,0.59349,1673,2844,0.57543,0.61155
1994,Urban regions,Tenant,No,0.35234,1171,2844,0.33478,0.36990
1994,Rural regions,Owner,Yes,0.68332,603,959,0.65387,0.71278
1994,Rural regions,Owner,No,0.29562,356,959,0.26673,0.32452
1994,Rural regions,Tenant,Yes,0.46622,544,1129,0.43711,0.49534
1994,Rural regions,Tenant,No,0.46608,585,1129,0.43696,0.49519
1995,Urban regions,Owner,Yes,0.82803,1142,1371,0.80804,0.84801
1995,Urban regions,Owner,No,0.15280,229,1371,0.13375,0.17185
1995,Urban regions,Tenant,Yes,0.60405,1771,2934,0.58635,0.62175
1995,Urban regions,Tenant,No,0.34044,1163,2934,0.32329,0.35759
1995,Rural regions,Owner,Yes,0.69624,611,944,0.66689,0.72560
1995,Rural regions,Owner,No,0.27710,333,944,0.24853,0.30566
1995,Rural regions,Tenant,Yes,0.48779,615,1198,0.45947,0.51610
1995,Rural regions,Tenant,No,0.43981,583,1198,0.41169,0.46793
1996,Urban regions,Owner,Yes,0.83203,1144,1370,0.81223,0.85183
1996,Urban regions,Owner,No,0.15018,226,1370,0.13125,0.16910
1996,Urban regions,Tenant,Yes,0.61547,1780,2880,0.59770,0.63324
1996,Urban regions,Tenant,No,0.33179,1100,2880,0.31459,0.34899
1996,Rural regions,Owner,Yes,0.70523,636,973,0.67656,0.73389
1996,Rural regions,Owner,No,0.27207,337,973,0.24410,0.30005
1996,Rural regions,Tenant,Yes,0.51825,624,1161,0.48950,0.54701
1996,Rural regions,Tenant,No,0.41946,537,1161,0.39106,0.44786
1997,Urban regions,Owner,Yes,0.83340,1174,1392,0.81382,0.85298
1997,Urban regions,Owner,No,0.14356,218,1392,0.12513,0.16199
1997,Urban regions,Tenant,Yes,0.62629,1748,2790,0.60834,0.64425
1997,Urban regions,Tenant,No,0.32077,1042,2790,0.30345,0.33809
1997,Rural regions,Owner,Yes,0.70625,650,992,0.67789,0.73460
1997,Rural regions,Owner,No,0.26793,342,992,0.24036,0.29550
1997,Rural regions,Tenant,Yes,0.52426,628,1123,0.49504,0.55348
