year,hhtyp,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Yes,0.52555,624,1262,0.49798,0.55311
1984,Single-person household,West,No,0.47445,638,1262,0.44689,0.50202
1984,Couple without children,West,Yes,0.71898,882,1326,0.69478,0.74319
1984,Couple without children,West,No,0.28102,444,1326,0.25681,0.30522
1984,Single parent,West,Yes,0.65181,192,322,0.59970,0.70393
1984,Single parent,West,No,0.34819,130,322,0.29607,0.40030
1984,Couple with children,West,Yes,0.74748,1691,2590,0.73074,0.76421
1984,Couple with children,West,No,0.25252,899,2590,0.23579,0.26926
1984,Multi-generational household,West,Yes,0.67209,71,126,0.58980,0.75439
1984,Multi-generational household,West,No,0.32791,55,126,0.24561,0.41020
1984,Other Combinations,West,Yes,0.72115,86,131,0.64406,0.79824
1984,Other Combinations,West,No,0.27885,45,131,0.20176,0.35594
1985,Single-person household,West,Yes,0.53978,572,1117,0.51053,0.56902
1985,Single-person household,West,No,0.46022,545,1117,0.43098,0.48947
1985,Couple without children,West,Yes,0.70967,799,1202,0.68400,0.73535
1985,Couple without children,West,No,0.29033,403,1202,0.26465,0.31600
1985,Single parent,West,Yes,0.65349,174,288,0.59844,0.70855
1985,Single parent,West,No,0.34651,114,288,0.29145,0.40156
1985,Couple with children,West,Yes,0.76244,1563,2327,0.74514,0.77973
1985,Couple with children,West,No,0.23756,764,2327,0.22027,0.25486
1985,Multi-generational household,West,Yes,0.68673,68,112,0.60044,0.77302
1985,Multi-generational household,West,No,0.31327,44,112,0.22698,0.39956
1985,Other Combinations,West,Yes,0.64121,72,119,0.55467,0.72776
1985,Other Combinations,West,No,0.35879,47,119,0.27224,0.44533
1986,Single-person household,West,Yes,0.57495,572,1050,0.54503,0.60486
1986,Single-person household,West,No,0.42505,478,1050,0.39514,0.45497
1986,Couple without children,West,Yes,0.70914,787,1180,0.68321,0.73506
1986,Couple without children,West,No,0.29086,393,1180,0.26494,0.31679
1986,Single parent,West,Yes,0.65827,176,275,0.60211,0.71443
1986,Single parent,West,No,0.34173,99,275,0.28557,0.39789
1986,Couple with children,West,Yes,0.76245,1481,2189,0.74462,0.78028
1986,Couple with children,West,No,0.23755,708,2189,0.21972,0.25538
1986,Multi-generational household,West,Yes,0.63860,66,113,0.54963,0.72757
1986,Multi-generational household,West,No,0.36140,47,113,0.27243,0.45037
