"hgeqpter","year","quintil","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","Ostdeutschland","944","0.415706546568047","0.395158956334577","0.436254136801516"
"Ja","1995","1","Westdeutschland","2906","0.676590653001495","0.663175907494903","0.690005398508087"
"Ja","1995","2","Ostdeutschland","736","0.494285834024343","0.468578506811472","0.519993161237214"
"Ja","1995","2","Westdeutschland","2410","0.784302239346118","0.770336621935585","0.798267856756652"
"Ja","1995","3","Ostdeutschland","397","0.555241501074956","0.517780633536567","0.592702368613344"
"Ja","1995","3","Westdeutschland","1771","0.818659512813656","0.80273196259741","0.834587063029902"
"Ja","1995","4","Ostdeutschland","159","0.669476644182014","0.609205566866712","0.729747721497315"
"Ja","1995","4","Westdeutschland","1208","0.817808719579503","0.798339466982366","0.837277972176641"
"Ja","1995","5","Ostdeutschland","40","0.78122068637637","0.664266043426839","0.8981753293259"
"Ja","1995","5","Westdeutschland","700","0.912268673087858","0.892286557895686","0.93225078828003"
"Nein","1995","1","Ostdeutschland","1266","0.584293453431953","0.563745863198484","0.604841043665423"
"Nein","1995","1","Westdeutschland","1765","0.323409346998505","0.309994601491913","0.336824092505097"
"Nein","1995","2","Ostdeutschland","717","0.505714165975657","0.480006838762786","0.531421493188528"
"Nein","1995","2","Westdeutschland","922","0.215697760653882","0.201732143243348","0.229663378064415"
"Nein","1995","3","Ostdeutschland","279","0.444758498925045","0.407297631386656","0.482219366463433"
"Nein","1995","3","Westdeutschland","477","0.181340487186344","0.165412936970097","0.19726803740259"
"Nein","1995","4","Ostdeutschland","75","0.330523355817986","0.270252278502685","0.390794433133288"
"Nein","1995","4","Westdeutschland","302","0.182191280420497","0.162722027823359","0.201660533017634"
"Nein","1995","5","Ostdeutschland","","","",""
"Nein","1995","5","Westdeutschland","70","0.0877313269121422","0.0677492117199704","0.107713442104314"
"Ja","1996","1","Ostdeutschland","921","0.456673262440169","0.434473251552663","0.478873273327675"
"Ja","1996","1","Westdeutschland","2648","0.682383588492375","0.66834574201798","0.69642143496677"
"Ja","1996","2","Ostdeutschland","777","0.491545666917724","0.466421515831469","0.51666981800398"
"Ja","1996","2","Westdeutschland","2402","0.781099451221503","0.766892008683098","0.795306893759908"
"Ja","1996","3","Ostdeutschland","410","0.555354841894056","0.519719588182488","0.590990095605623"
"Ja","1996","3","Westdeutschland","1802","0.806378509909173","0.790251097523501","0.822505922294844"
"Ja","1996","4","Ostdeutschland","183","0.689239394162287","0.633933683564121","0.744545104760453"
"Ja","1996","4","Westdeutschland","1291","0.844469443139846","0.826537124287848","0.862401761991844"
"Ja","1996","5","Ostdeutschland","60","0.73421115009586","0.634235019044478","0.834187281147242"
"Ja","1996","5","Westdeutschland","793","0.908508171510799","0.889405256784244","0.927611086237354"
"Nein","1996","1","Ostdeutschland","1013","0.543326737559831","0.521126726672325","0.565526748447336"
"Nein","1996","1","Westdeutschland","1577","0.317616411507625","0.30357856503323","0.331654257982019"
"Nein","1996","2","Ostdeutschland","744","0.508454333082276","0.48333018199602","0.533578484168531"
"Nein","1996","2","Westdeutschland","852","0.218900548778497","0.204693106240092","0.233107991316902"
"Nein","1996","3","Ostdeutschland","337","0.444645158105944","0.409009904394377","0.480280411817512"
"Nein","1996","3","Westdeutschland","504","0.193621490090827","0.177494077705156","0.209748902476499"
"Nein","1996","4","Ostdeutschland","86","0.310760605837713","0.255454895239547","0.366066316435879"
"Nein","1996","4","Westdeutschland","278","0.155530556860154","0.137598238008156","0.173462875712152"
"Nein","1996","5","Ostdeutschland","","","",""
"Nein","1996","5","Westdeutschland","82","0.0914918284892007","0.0723889137626457","0.110594743215756"
"Ja","1997","1","Ostdeutschland","885","0.465191005522283","0.442529439921339","0.487852571123226"
"Ja","1997","1","Westdeutschland","2571","0.704787052866071","0.690509744858577","0.719064360873565"
"Ja","1997","2","Ostdeutschland","750","0.48924703332603","0.463437173255805","0.515056893396256"
"Ja","1997","2","Westdeutschland","2339","0.77129760232984","0.756793225375764","0.785801979283917"
"Ja","1997","3","Ostdeutschland","456","0.584157148412074","0.549479734813617","0.61883456201053"
"Ja","1997","3","Westdeutschland","1884","0.817109976668169","0.801605175758721","0.832614777577618"
"Ja","1997","4","Ostdeutschland","192","0.640549968282798","0.585793824758198","0.695306111807398"
"Ja","1997","4","Westdeutschland","1351","0.864437106656537","0.847584364624414","0.881289848688659"
"Ja","1997","5","Ostdeutschland","63","0.781420084085389","0.689109788768415","0.873730379402363"
"Ja","1997","5","Westdeutschland","790","0.914751064310778","0.89621635440477","0.933285774216787"
"Nein","1997","1","Ostdeutschland","976","0.534808994477717","0.512147428876774","0.557470560078661"
"Nein","1997","1","Westdeutschland","1350","0.295212947133929","0.280935639126435","0.309490255141423"
"Nein","1997","2","Ostdeutschland","691","0.51075296667397","0.484943106603744","0.536562826744195"
"Nein","1997","2","Westdeutschland","882","0.22870239767016","0.214198020716083","0.243206774624236"
"Nein","1997","3","Ostdeutschland","320","0.415842851587926","0.38116543798947","0.450520265186383"
"Nein","1997","3","Westdeutschland","504","0.182890023331831","0.167385222422382","0.198394824241279"
"Nein","1997","4","Ostdeutschland","103","0.359450031717202","0.304693888192602","0.414206175241802"
"Nein","1997","4","Westdeutschland","234","0.135562893343463","0.118710151311341","0.152415635375586"
"Nein","1997","5","Ostdeutschland","","","",""
"Nein","1997","5","Westdeutschland","82","0.0852489356892217","0.0667142257832133","0.10378364559523"
"Ja","1998","1","Ostdeutschland","1070","0.50931228757876","0.487781857260816","0.530842717896705"
"Ja","1998","1","Westdeutschland","2928","0.707256220239739","0.69369379134732","0.720818649132159"
"Ja","1998","2","Ostdeutschland","765","0.51264068540311","0.486439214282342","0.538842156523878"
"Ja","1998","2","Westdeutschland","2838","0.776439998620997","0.763076753457308","0.789803243784686"
"Ja","1998","3","Ostdeutschland","531","0.580932866117449","0.548625700298945","0.613240031935953"
"Ja","1998","3","Westdeutschland","2168","0.827500903920888","0.813207538875358","0.841794268966419"
"Ja","1998","4","Ostdeutschland","276","0.713416607439721","0.66859815777721","0.758235057102232"
"Ja","1998","4","Westdeutschland","1699","0.861508430060593","0.846328417377325","0.876688442743861"
"Ja","1998","5","Ostdeutschland","86","0.743967583699875","0.664200510978135","0.823734656421615"
"Ja","1998","5","Westdeutschland","968","0.933259993664813","0.918099366322904","0.948420621006723"
"Nein","1998","1","Ostdeutschland","1001","0.49068771242124","0.469157282103295","0.512218142739184"
"Nein","1998","1","Westdeutschland","1396","0.292743779760261","0.279181350867841","0.30630620865268"
"Nein","1998","2","Ostdeutschland","633","0.48735931459689","0.461157843476122","0.513560785717658"
"Nein","1998","2","Westdeutschland","896","0.223560001379003","0.210196756215314","0.236923246542692"
"Nein","1998","3","Ostdeutschland","365","0.419067133882551","0.386759968064047","0.451374299701055"
"Nein","1998","3","Westdeutschland","516","0.172499096079112","0.158205731033581","0.186792461124643"
"Nein","1998","4","Ostdeutschland","115","0.286583392560279","0.241764942897768","0.33140184222279"
"Nein","1998","4","Westdeutschland","290","0.138491569939407","0.123311557256139","0.153671582622675"
"Nein","1998","5","Ostdeutschland","","","",""
"Nein","1998","5","Westdeutschland","73","0.0667400063351866","0.051579378993277","0.0819006336770963"
"Ja","1999","1","Ostdeutschland","850","0.496836192444837","0.472645120650805","0.521027264238869"
"Ja","1999","1","Westdeutschland","2379","0.701537817902717","0.686485474656351","0.716590161149084"
"Ja","1999","2","Ostdeutschland","908","0.557851917772012","0.533440507661854","0.58226332788217"
"Ja","1999","2","Westdeutschland","2779","0.781378721214617","0.767973940562716","0.794783501866518"
"Ja","1999","3","Ostdeutschland","556","0.586960438601238","0.555534194077074","0.618386683125402"
"Ja","1999","3","Westdeutschland","2274","0.86225051649842","0.849214717146306","0.875286315850534"
"Ja","1999","4","Ostdeutschland","284","0.729796348819805","0.686387175604149","0.773205522035461"
"Ja","1999","4","Westdeutschland","1703","0.844772522042464","0.828945607916305","0.860599436168622"
"Ja","1999","5","Ostdeutschland","95","0.861394630240075","0.796822835675615","0.925966424804534"
"Ja","1999","5","Westdeutschland","1071","0.88534228765781","0.867367999643061","0.903316575672558"
"Nein","1999","1","Ostdeutschland","791","0.503163807555163","0.478972735761131","0.527354879349195"
"Nein","1999","1","Westdeutschland","1171","0.298462182097283","0.283409838850916","0.313514525343649"
"Nein","1999","2","Ostdeutschland","682","0.442148082227988","0.41773667211783","0.466559492338146"
"Nein","1999","2","Westdeutschland","873","0.218621278785383","0.205216498133482","0.232026059437284"
