year,hhtyp,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Owner,Yes,0.63682,162,248,0.57684,0.69679
1984,Single-person household,Owner,No,0.36318,86,248,0.30321,0.42316
1984,Single-person household,Tenant,Yes,0.49229,462,1014,0.46150,0.52308
1984,Single-person household,Tenant,No,0.50771,552,1014,0.47692,0.53850
1984,Couple without children,Owner,Yes,0.79377,399,501,0.75831,0.82924
1984,Couple without children,Owner,No,0.20623,102,501,0.17076,0.24169
1984,Couple without children,Tenant,Yes,0.66101,483,825,0.62869,0.69333
1984,Couple without children,Tenant,No,0.33899,342,825,0.30667,0.37131
1984,Single parent,Owner,Yes,0.73179,63,63,0.62151,0.84207
1984,Single parent,Tenant,Yes,0.61105,129,235,0.54858,0.67351
1984,Single parent,Tenant,No,0.38895,106,235,0.32649,0.45142
1984,Couple with children,Owner,Yes,0.82085,835,1011,0.79720,0.84450
1984,Couple with children,Owner,No,0.17915,176,1011,0.15550,0.20280
1984,Couple with children,Tenant,Yes,0.66565,856,1579,0.64238,0.68893
1984,Couple with children,Tenant,No,0.33435,723,1579,0.31107,0.35762
1984,Multi-generational household,Owner,Yes,0.69625,48,48,0.56478,0.82773
1984,Multi-generational household,Tenant,No,0.39417,34,34,0.22744,0.56090
1984,Other Combinations,Owner,Yes,0.72266,38,38,0.57840,0.86691
1984,Other Combinations,Tenant,Yes,0.71984,48,79,0.62018,0.81950
1984,Other Combinations,Tenant,No,0.28016,31,79,0.18050,0.37982
1985,Single-person household,Owner,Yes,0.63090,137,213,0.56594,0.69586
1985,Single-person household,Owner,No,0.36910,76,213,0.30414,0.43406
1985,Single-person household,Tenant,Yes,0.51414,435,904,0.48154,0.54674
1985,Single-person household,Tenant,No,0.48586,469,904,0.45326,0.51846
1985,Couple without children,Owner,Yes,0.78225,356,451,0.74411,0.82038
1985,Couple without children,Owner,No,0.21775,95,451,0.17962,0.25589
1985,Couple without children,Tenant,Yes,0.65450,443,751,0.62046,0.68853
1985,Couple without children,Tenant,No,0.34550,308,751,0.31147,0.37954
1985,Single parent,Owner,Yes,0.71842,60,60,0.60365,0.83318
1985,Single parent,Tenant,Yes,0.61939,114,206,0.55293,0.68586
1985,Single parent,Tenant,No,0.38061,92,206,0.31414,0.44707
1985,Couple with children,Owner,Yes,0.82653,800,966,0.80264,0.85042
1985,Couple with children,Owner,No,0.17347,166,966,0.14958,0.19736
1985,Couple with children,Tenant,Yes,0.68467,763,1361,0.65998,0.70937
1985,Couple with children,Tenant,No,0.31533,598,1361,0.29063,0.34002
1985,Multi-generational household,Owner,Yes,0.70515,48,48,0.57479,0.83551
1985,Other Combinations,Owner,Yes,0.73359,35,35,0.58499,0.88219
1985,Other Combinations,Tenant,Yes,0.56299,37,72,0.44762,0.67837
1985,Other Combinations,Tenant,No,0.43701,35,72,0.32163,0.55238
1986,Single-person household,Owner,Yes,0.68467,151,216,0.62256,0.74678
1986,Single-person household,Owner,No,0.31533,65,216,0.25322,0.37744
1986,Single-person household,Tenant,Yes,0.54302,421,833,0.50917,0.57687
1986,Single-person household,Tenant,No,0.45698,412,833,0.42313,0.49083
1986,Couple without children,Owner,Yes,0.79216,354,445,0.75442,0.82991
1986,Couple without children,Owner,No,0.20784,91,445,0.17009,0.24558
1986,Couple without children,Tenant,Yes,0.64743,433,735,0.61287,0.68200
1986,Couple without children,Tenant,No,0.35257,302,735,0.31800,0.38713
1986,Single parent,Owner,Yes,0.77683,66,66,0.67560,0.87805
1986,Single parent,Tenant,Yes,0.59425,109,191,0.52443,0.66407
1986,Single parent,Tenant,No,0.40575,82,191,0.33593,0.47557
1986,Couple with children,Owner,Yes,0.82183,774,942,0.79738,0.84628
1986,Couple with children,Owner,No,0.17817,168,942,0.15372,0.20262
1986,Couple with children,Tenant,Yes,0.69276,707,1246,0.66714,0.71839
1986,Couple with children,Tenant,No,0.30724,539,1246,0.28161,0.33286
1986,Multi-generational household,Owner,Yes,0.69670,44,44,0.55930,0.83410
1986,Other Combinations,Owner,Yes,0.71849,35,35,0.56732,0.86966
1986,Other Combinations,Tenant,Yes,0.59046,38,69,0.47358,0.70734
1986,Other Combinations,Tenant,No,0.40954,31,69,0.29266,0.52642
1987,Single-person household,Owner,Yes,0.69531,157,221,0.63449,0.75614
1987,Single-person household,Owner,No,0.30469,64,221,0.24386,0.36551
1987,Single-person household,Tenant,Yes,0.54268,423,832,0.50881,0.57655
1987,Single-person household,Tenant,No,0.45732,409,832,0.42345,0.49119
1987,Couple without children,Owner,Yes,0.78537,362,464,0.74797,0.82277
