,Unnamed: 0,year,hhtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,Yes,0.52555,624,5757,0.51538,0.53568
1,1,1984,Single-person household,No,0.47445,638,5757,0.45845,0.48959
2,2,1984,Couple without children,Yes,0.71898,882,5757,0.70918,0.73013
3,3,1984,Couple without children,No,0.28102,444,5757,0.26673,0.29725
4,4,1984,Single parent,Yes,0.65181,192,5757,0.62645,0.67534
5,5,1984,Single parent,No,0.34819,130,5757,0.31124,0.38185
6,6,1984,Couple with children,Yes,0.74748,1691,5757,0.7306,0.76444
7,7,1984,Couple with children,No,0.25252,899,5757,0.241,0.26694
8,8,1984,Multi-generational household,Yes,0.67209,71,5757,0.60995,0.72908
9,9,1984,Multi-generational household,No,0.32791,55,5757,0.25777,0.40349
10,10,1984,Other Combinations,Yes,0.72115,86,5757,0.68714,0.75909
11,11,1984,Other Combinations,No,0.27885,45,5757,0.22968,0.33157
12,12,1985,Single-person household,Yes,0.53978,572,5165,0.52532,0.55376
13,13,1985,Single-person household,No,0.46022,545,5165,0.44534,0.4755
14,14,1985,Couple without children,Yes,0.70971,799,5165,0.69712,0.72311
15,15,1985,Couple without children,No,0.29029,403,5165,0.2748,0.30517
16,16,1985,Single parent,Yes,0.65349,174,5165,0.62371,0.68768
17,17,1985,Single parent,No,0.34651,114,5165,0.31112,0.37881
18,18,1985,Couple with children,Yes,0.76244,1563,5165,0.74724,0.77891
19,19,1985,Couple with children,No,0.23756,764,5165,0.22247,0.25107
20,20,1985,Multi-generational household,Yes,0.6869,68,5165,0.61289,0.75709
21,21,1985,Multi-generational household,No,0.3131,44,5165,0.23349,0.38342
22,22,1985,Other Combinations,Yes,0.64184,72,5165,0.58845,0.69495
23,23,1985,Other Combinations,No,0.35816,47,5165,0.30545,0.41989
24,24,1986,Single-person household,Yes,0.57496,572,4923,0.56228,0.58885
25,25,1986,Single-person household,No,0.42504,478,4923,0.40838,0.44121
26,26,1986,Couple without children,Yes,0.7091,787,4923,0.6959,0.72349
27,27,1986,Couple without children,No,0.2909,393,4923,0.27465,0.30865
28,28,1986,Single parent,Yes,0.65832,176,4923,0.62774,0.6926
29,29,1986,Single parent,No,0.34168,99,4923,0.30573,0.37431
30,30,1986,Couple with children,Yes,0.76245,1481,4923,0.74407,0.7812
31,31,1986,Couple with children,No,0.23755,708,4923,0.22226,0.25287
32,32,1986,Multi-generational household,Yes,0.63897,66,4923,0.54843,0.7225
33,33,1986,Multi-generational household,No,0.36103,47,4923,0.28841,0.45596
34,34,1986,Other Combinations,Yes,0.65092,73,4923,0.58901,0.71889
35,35,1986,Other Combinations,No,0.34908,43,4923,0.28812,0.40785
36,36,1987,Single-person household,Yes,0.57612,580,4862,0.56187,0.59094
37,37,1987,Single-person household,No,0.42388,474,4862,0.40897,0.44224
38,38,1987,Couple without children,Yes,0.71569,785,4862,0.69784,0.7332
39,39,1987,Couple without children,No,0.28431,386,4862,0.2673,0.29912
40,40,1987,Single parent,Yes,0.66359,177,4862,0.62731,0.705
41,41,1987,Single parent,No,0.33641,90,4862,0.29612,0.37426
42,42,1987,Couple with children,Yes,0.76193,1464,4862,0.74226,0.78233
43,43,1987,Couple with children,No,0.23807,679,4862,0.22223,0.25262
44,44,1987,Multi-generational household,Yes,0.67491,69,4862,0.5826,0.77034
45,45,1987,Multi-generational household,No,0.32509,49,4862,0.2637,0.41568
46,46,1987,Other Combinations,Yes,0.65588,69,4862,0.58347,0.71903
47,47,1987,Other Combinations,No,0.34412,40,4862,0.28427,0.4103
48,48,1988,Single-person household,Yes,0.58955,577,4660,0.57383,0.60146
49,49,1988,Single-person household,No,0.41045,439,4660,0.39272,0.42342
50,50,1988,Couple without children,Yes,0.72453,776,4660,0.70398,0.74499
51,51,1988,Couple without children,No,0.27547,368,4660,0.25853,0.29116
52,52,1988,Single parent,Yes,0.68654,175,4660,0.63994,0.72805
53,53,1988,Single parent,No,0.31346,85,4660,0.27592,0.35839
54,54,1988,Couple with children,Yes,0.76774,1402,4660,0.74904,0.78766
55,55,1988,Couple with children,No,0.23226,645,4660,0.21874,0.24559
56,56,1988,Multi-generational household,Yes,0.69381,58,4660,0.58287,0.82115
57,57,1988,Multi-generational household,No,0.30619,40,4660,0.22863,0.39209
