"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","5.79","5.5","2285","5.74","5.84"
"2005","(noch) kein Abschluss","5.79","5.5","893","5.71","5.87"
"2005","AkademikerIn","5.88","5.5","4151","5.85","5.91"
"2005","Hauptschule","5.93","5.5","7508","5.9","5.96"
"2005","Realschule","5.92","5.5","5362","5.89","5.95"
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","","","","",""
"2009","(noch) kein Abschluss","","","","",""
"2009","AkademikerIn","","","","",""
"2009","Hauptschule","","","","",""
"2009","Realschule","","","","",""
"2010","(Fach-)Abitur","5.71","5.5","1895","5.66","5.76"
"2010","(noch) kein Abschluss","5.8","5.5","409","5.68","5.92"
"2010","AkademikerIn","5.8","5.5","3817","5.76","5.84"
"2010","Hauptschule","5.89","5.5","5565","5.86","5.92"
"2010","Realschule","5.85","5.5","4457","5.82","5.88"
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","","","","",""
"2012","(noch) kein Abschluss","","","","",""
"2012","AkademikerIn","","","","",""
"2012","Hauptschule","","","","",""
"2012","Realschule","","","","",""
"2013","(Fach-)Abitur","","","","",""
"2013","(noch) kein Abschluss","","","","",""
"2013","AkademikerIn","","","","",""
"2013","Hauptschule","","","","",""
"2013","Realschule","","","","",""
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","5.85","5.5","4117","5.81","5.89"
"2015","(noch) kein Abschluss","5.88","5.5","939","5.8","5.96"
"2015","AkademikerIn","5.8","5.5","6383","5.77","5.83"
"2015","Hauptschule","5.96","5.5","7740","5.93","5.99"
"2015","Realschule","5.86","5.5","6550","5.83","5.89"
"2016","(Fach-)Abitur","6.31","6.5","521","6.25","6.37"
"2016","(noch) kein Abschluss","6.4","6.5","1019","6.36","6.44"
"2016","AkademikerIn","6.35","6.5","600","6.29","6.41"
"2016","Hauptschule","6.51","6.5","645","6.46","6.56"
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","6.67","6.5","302","6.59","6.75"
"2017","(noch) kein Abschluss","6.78","6.5","726","6.73","6.83"
"2017","AkademikerIn","6.85","6.5","314","6.78","6.92"
"2017","Hauptschule","6.62","6.5","405","6.54","6.7"
"2017","Realschule","","","","",""
"2018","(Fach-)Abitur","6.86","6.5","58","6.74","6.98"
"2018","(noch) kein Abschluss","6.5","6.5","146","6.31","6.69"
"2018","AkademikerIn","6.77","6.5","45","6.62","6.92"
"2018","Hauptschule","6.91","6.5","88","6.73","7.09"
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","","","","",""
"2019","(noch) kein Abschluss","6.14","6.5","128","5.9","6.38"
"2019","AkademikerIn","","","","",""
"2019","Hauptschule","6.59","6.5","44","6.45","6.73"
"2019","Realschule","","","","",""
"2020","(Fach-)Abitur","5.87","5.5","5057","5.84","5.9"
"2020","(noch) kein Abschluss","6","5.5","2251","5.95","6.05"
"2020","AkademikerIn","5.81","5.5","7771","5.79","5.83"
"2020","Hauptschule","5.89","5.5","6723","5.86","5.92"
"2020","Realschule","5.85","5.5","6239","5.82","5.88"
