"year","age_gr","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","17-34","Laendlicher Raum","5.81","5.5","1778","5.76","5.86"
"2005","17-34","Staedtischer Raum","5.83","5.5","3504","5.79","5.87"
"2005","35-65","Laendlicher Raum","5.96","5.5","3885","5.92","6"
"2005","35-65","Staedtischer Raum","5.92","5.5","7677","5.89","5.95"
"2005","66 +","Laendlicher Raum","5.88","5.5","1267","5.81","5.95"
"2005","66 +","Staedtischer Raum","5.89","5.5","2457","5.84","5.94"
"2006","17-34","Laendlicher Raum","","","","",""
"2006","17-34","Staedtischer Raum","","","","",""
"2006","35-65","Laendlicher Raum","","","","",""
"2006","35-65","Staedtischer Raum","","","","",""
"2006","66 +","Laendlicher Raum","","","","",""
"2006","66 +","Staedtischer Raum","","","","",""
"2007","17-34","Laendlicher Raum","","","","",""
"2007","17-34","Staedtischer Raum","","","","",""
"2007","35-65","Laendlicher Raum","","","","",""
"2007","35-65","Staedtischer Raum","","","","",""
"2007","66 +","Laendlicher Raum","","","","",""
"2007","66 +","Staedtischer Raum","","","","",""
"2008","17-34","Laendlicher Raum","","","","",""
"2008","17-34","Staedtischer Raum","","","","",""
"2008","35-65","Laendlicher Raum","","","","",""
"2008","35-65","Staedtischer Raum","","","","",""
"2008","66 +","Laendlicher Raum","","","","",""
"2008","66 +","Staedtischer Raum","","","","",""
"2009","17-34","Laendlicher Raum","","","","",""
"2009","17-34","Staedtischer Raum","","","","",""
"2009","35-65","Laendlicher Raum","","","","",""
"2009","35-65","Staedtischer Raum","","","","",""
"2009","66 +","Laendlicher Raum","","","","",""
"2009","66 +","Staedtischer Raum","","","","",""
"2010","17-34","Laendlicher Raum","5.77","5.5","1177","5.7","5.84"
"2010","17-34","Staedtischer Raum","5.73","5.5","2362","5.68","5.78"
"2010","35-65","Laendlicher Raum","5.86","5.5","3184","5.82","5.9"
"2010","35-65","Staedtischer Raum","5.84","5.5","5858","5.81","5.87"
