"year","mean","median","n","lower_confidence","upper_confidence"
"2005","5.9","5.5","20568","5.88","5.92"
"2006","","","","",""
"2007","","","","",""
"2008","","","","",""
"2009","","","","",""
"2010","5.83","5.5","16559","5.81","5.85"
"2011","","","","",""
"2012","","","","",""
"2013","","","","",""
"2014","","","","",""
"2015","5.88","5.5","26578","5.87","5.89"
"2016","6.37","6.5","2989","6.34","6.4"
"2017","6.72","6.5","1833","6.69","6.75"
"2018","6.75","6.5","373","6.66","6.84"
"2019","6.42","6.5","256","6.28","6.56"
"2020","5.86","5.5","29384","5.85","5.87"
