"year","migback","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","direkter Migrationshintergrund","Laendlicher Raum","5.97","5.5","409","4","5","7","7","7","5.85","6.09","1","7","6","6"
"2005","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","indirekter Migrationshintergrund","Staedtischer Raum","5.94","5.5","714","4","5","7","7","7","5.85","6.03","1","7","6","6"
"2005","kein Migrationshintergrund","Laendlicher Raum","5.91","5.5","6413","4","5","7","7","7","5.88","5.94","1","7","6","6"
"2005","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2010","indirekter Migrationshintergrund","Staedtischer Raum","5.94","5.5","550","4","5","7","7","7","5.84","6.04","1","7","6","6"
"2010","kein Migrationshintergrund","Laendlicher Raum","5.86","5.5","5361","4","5","7","7","7","5.83","5.89","1","7","6","6"
"2010","kein Migrationshintergrund","Staedtischer Raum","5.78","5.5","9093","4","5","7","7","7","5.76","5.8","1","7","6","6"
"2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","Staedtischer Raum","6.09","5.5","4265","5","6","7","7","7","6.06","6.12","1","7","6","7"
"2015","indirekter Migrationshintergrund","Laendlicher Raum","5.94","5.5","314","4","5","7","7","7","5.82","6.06","2","7","6","7"
"2015","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","kein Migrationshintergrund","Laendlicher Raum","5.86","5.5","7492","4","5","7","7","7","5.83","5.89","1","7","6","6"
"2015","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","Laendlicher Raum","6.62","6.5","852","6","7","7","7","7","6.57","6.67","1","7","7","7"
"2016","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","Laendlicher Raum","6.67","6.5","5","5","7","7","7","7","5.56","7.78","5","7","",""
"2016","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","Laendlicher Raum","6.44","6","4","6","6","7","7","7","5.64","7.24","6","7","",""
"2016","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","Laendlicher Raum","6.83","6.5","606","6","7","7","7","7","6.78","6.88","1","7","7","7"
"2017","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","Laendlicher Raum","6.57","6.5","96","6","7","7","7","7","6.31","6.83","1","7","7","7"
"2019","direkter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","indirekter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","Laendlicher Raum","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","Staedtischer Raum","6.07","5.5","6912","5","6","7","7","7","6.04","6.1","1","7","7","7"
"2020","indirekter Migrationshintergrund","Laendlicher Raum","5.66","5.5","340","4","5","7","7","7","5.52","5.8","1","7","6","6"
"2020","indirekter Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","kein Migrationshintergrund","Laendlicher Raum","5.87","5.5","7004","4","5","7","7","7","5.84","5.9","1","7","6","6"
"2020","kein Migrationshintergrund","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","","","","","","","","","","","",""
