"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","Laendlicher Raum","5.74","5.5","550","5.64","5.84"
"2005","(Fach-)Abitur","Staedtischer Raum","5.8","5.5","1735","5.75","5.85"
"2005","(noch) kein Abschluss","Laendlicher Raum","5.69","5.5","258","5.53","5.85"
"2005","(noch) kein Abschluss","Staedtischer Raum","5.83","5.5","635","5.73","5.93"
"2005","AkademikerIn","Laendlicher Raum","5.95","5.5","1220","5.89","6.01"
"2005","AkademikerIn","Staedtischer Raum","5.86","5.5","2931","5.82","5.9"
"2005","Hauptschule","Laendlicher Raum","5.87","5.5","2607","5.82","5.92"
"2005","Hauptschule","Staedtischer Raum","5.95","5.5","4901","5.92","5.98"
"2005","Realschule","Laendlicher Raum","6.01","5.5","2178","5.96","6.06"
"2005","Realschule","Staedtischer Raum","5.86","5.5","3184","5.82","5.9"
"2006","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2006","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2006","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2006","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2006","AkademikerIn","Laendlicher Raum","","","","",""
"2006","AkademikerIn","Staedtischer Raum","","","","",""
"2006","Hauptschule","Laendlicher Raum","","","","",""
"2006","Hauptschule","Staedtischer Raum","","","","",""
"2006","Realschule","Laendlicher Raum","","","","",""
"2006","Realschule","Staedtischer Raum","","","","",""
"2007","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2007","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2007","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2007","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2007","AkademikerIn","Laendlicher Raum","","","","",""
"2007","AkademikerIn","Staedtischer Raum","","","","",""
"2007","Hauptschule","Laendlicher Raum","","","","",""
"2007","Hauptschule","Staedtischer Raum","","","","",""
"2007","Realschule","Laendlicher Raum","","","","",""
"2007","Realschule","Staedtischer Raum","","","","",""
"2008","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2008","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2008","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2008","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2008","AkademikerIn","Laendlicher Raum","","","","",""
"2008","AkademikerIn","Staedtischer Raum","","","","",""
"2008","Hauptschule","Laendlicher Raum","","","","",""
"2008","Hauptschule","Staedtischer Raum","","","","",""
"2008","Realschule","Laendlicher Raum","","","","",""
"2008","Realschule","Staedtischer Raum","","","","",""
"2009","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2009","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2009","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2009","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2009","AkademikerIn","Laendlicher Raum","","","","",""
"2009","AkademikerIn","Staedtischer Raum","","","","",""
"2009","Hauptschule","Laendlicher Raum","","","","",""
"2009","Hauptschule","Staedtischer Raum","","","","",""
"2009","Realschule","Laendlicher Raum","","","","",""
"2009","Realschule","Staedtischer Raum","","","","",""
"2010","(Fach-)Abitur","Laendlicher Raum","5.7","5.5","486","5.6","5.8"
"2010","(Fach-)Abitur","Staedtischer Raum","5.71","5.5","1409","5.65","5.77"
"2010","(noch) kein Abschluss","Laendlicher Raum","5.67","5.5","107","5.43","5.91"
"2010","(noch) kein Abschluss","Staedtischer Raum","5.84","5.5","302","5.69","5.99"
"2010","AkademikerIn","Laendlicher Raum","5.88","5.5","1126","5.82","5.94"
"2010","AkademikerIn","Staedtischer Raum","5.77","5.5","2691","5.73","5.81"
"2010","Hauptschule","Laendlicher Raum","5.89","5.5","2023","5.84","5.94"
"2010","Hauptschule","Staedtischer Raum","5.89","5.5","3542","5.85","5.93"
"2010","Realschule","Laendlicher Raum","5.87","5.5","1871","5.82","5.92"
"2010","Realschule","Staedtischer Raum","5.83","5.5","2586","5.78","5.88"
"2011","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2011","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2011","(noch) kein Abschluss","Laendlicher Raum","","","","",""
