year,regtyp,plh0195,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Most people would exploit you if they had the opportunity,0.37723,6565,14462,0.36933,0.38513
2003,Urban regions,Most people would try to be fair,0.43751,7897,14462,0.42943,0.44560
2003,Rural regions,Most people would exploit you if they had the opportunity,0.42376,3769,7318,0.41243,0.43508
2003,Rural regions,Most people would try to be fair,0.39549,3549,7318,0.38429,0.40670
2008,Urban regions,Most people would exploit you if they had the opportunity,0.38133,5501,12462,0.37280,0.38986
2008,Urban regions,Most people would try to be fair,0.44141,6961,12462,0.43269,0.45013
2008,Rural regions,Most people would exploit you if they had the opportunity,0.42154,3269,6530,0.40956,0.43352
2008,Rural regions,Most people would try to be fair,0.40153,3261,6530,0.38964,0.41342
2013,Urban regions,Most people would exploit you if they had the opportunity,0.29521,6182,15799,0.28810,0.30232
2013,Urban regions,Most people would try to be fair,0.43346,9617,15799,0.42573,0.44119
2013,Rural regions,Most people would exploit you if they had the opportunity,0.34561,3976,9111,0.33584,0.35538
2013,Rural regions,Most people would try to be fair,0.43596,5135,9111,0.42578,0.44615
2018,Urban regions,Most people would exploit you if they had the opportunity,0.30841,6970,18376,0.30173,0.31509
2018,Urban regions,Most people would try to be fair,0.51041,11406,18376,0.50318,0.51764
2018,Rural regions,Most people would exploit you if they had the opportunity,0.34868,3981,9503,0.33909,0.35826
2018,Rural regions,Most people would try to be fair,0.47302,5522,9503,0.46298,0.48306
