"plh0012_h","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"SPD","1984","16-34 Jahre alt","Schleswig-Holstein","43","0.606661262636424","0.495362913354063","0.717959611918784"
"SPD","1984","16-34 Jahre alt","Hamburg","","","",""
"SPD","1984","16-34 Jahre alt","Niedersachsen","96","0.496892616780197","0.425230620023648","0.568554613536747"
"SPD","1984","16-34 Jahre alt","Bremen","","","",""
"SPD","1984","16-34 Jahre alt","Nordrhein-Westfalen","338","0.505252203641214","0.466210940649723","0.544293466632705"
"SPD","1984","16-34 Jahre alt","Hessen","134","0.452933133987957","0.390346411920336","0.515519856055578"
"SPD","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","73","0.473121405457002","0.391574324250621","0.554668486663382"
"SPD","1984","16-34 Jahre alt","Baden-Wuerttemberg","177","0.408349775798501","0.356632929808807","0.460066621788194"
"SPD","1984","16-34 Jahre alt","Bayern","133","0.336120401270097","0.286489682239977","0.385751120300218"
"SPD","1984","16-34 Jahre alt","Saarland","","","",""
"SPD","1984","16-34 Jahre alt","Berlin","","","",""
"SPD","1984","16-34 Jahre alt","Brandenburg","","","",""
"SPD","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"SPD","1984","16-34 Jahre alt","Sachsen","","","",""
"SPD","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"SPD","1984","16-34 Jahre alt","Thueringen","","","",""
"SPD","1984","35-65 Jahre alt","Schleswig-Holstein","85","0.508117355244262","0.429158563350895","0.587076147137629"
"SPD","1984","35-65 Jahre alt","Hamburg","51","0.548958259806214","0.444993828088539","0.65292269152389"
"SPD","1984","35-65 Jahre alt","Niedersachsen","198","0.506845601400778","0.45651202584924","0.557179176952316"
"SPD","1984","35-65 Jahre alt","Bremen","","","",""
"SPD","1984","35-65 Jahre alt","Nordrhein-Westfalen","540","0.487250778349647","0.456146435478754","0.51835512122054"
"SPD","1984","35-65 Jahre alt","Hessen","206","0.545531001478779","0.493661949601816","0.597400053355741"
"SPD","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","134","0.518099498080436","0.455659078523113","0.580539917637759"
"SPD","1984","35-65 Jahre alt","Baden-Wuerttemberg","257","0.386922018477276","0.346868238764802","0.426975798189749"
"SPD","1984","35-65 Jahre alt","Bayern","242","0.347896279835143","0.310434748853108","0.385357810817178"
"SPD","1984","35-65 Jahre alt","Saarland","","","",""
"SPD","1984","35-65 Jahre alt","Berlin","70","0.564845538694728","0.475769441193388","0.653921636196067"
"SPD","1984","35-65 Jahre alt","Brandenburg","","","",""
"SPD","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"SPD","1984","35-65 Jahre alt","Sachsen","","","",""
"SPD","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"SPD","1984","35-65 Jahre alt","Thueringen","","","",""
"SPD","1984","66 und älter","Schleswig-Holstein","","","",""
"SPD","1984","66 und älter","Hamburg","","","",""
"SPD","1984","66 und älter","Niedersachsen","37","0.364895567175151","0.271010986719345","0.458780147630957"
"SPD","1984","66 und älter","Bremen","","","",""
"SPD","1984","66 und älter","Nordrhein-Westfalen","76","0.446321143491357","0.372879149903638","0.519763137079077"
"SPD","1984","66 und älter","Hessen","38","0.521114203727353","0.405725239184417","0.636503168270289"
"SPD","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"SPD","1984","66 und älter","Baden-Wuerttemberg","40","0.335445926028255","0.252676583054298","0.418215269002213"
"SPD","1984","66 und älter","Bayern","39","0.265957434760551","0.194531470278408","0.337383399242695"
"SPD","1984","66 und älter","Saarland","","","",""
"SPD","1984","66 und älter","Berlin","","","",""
"SPD","1984","66 und älter","Brandenburg","","","",""
"SPD","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"SPD","1984","66 und älter","Sachsen","","","",""
"SPD","1984","66 und älter","Sachsen-Anhalt","","","",""
"SPD","1984","66 und älter","Thueringen","","","",""
"CDU","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"CDU","1984","16-34 Jahre alt","Hamburg","","","",""
"CDU","1984","16-34 Jahre alt","Niedersachsen","44","0.259553683739561","0.196720701272253","0.322386666206869"
"CDU","1984","16-34 Jahre alt","Bremen","","","",""
"CDU","1984","16-34 Jahre alt","Nordrhein-Westfalen","127","0.243209087286412","0.20970824937958","0.276709925193245"
"CDU","1984","16-34 Jahre alt","Hessen","42","0.236892802837808","0.183434685217923","0.290350920457692"
"CDU","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","43","0.327042238939334","0.250418617919485","0.403665859959184"
"CDU","1984","16-34 Jahre alt","Baden-Wuerttemberg","79","0.313476714214342","0.264666171917026","0.362287256511658"
"CDU","1984","16-34 Jahre alt","Bayern","","","",""
"CDU","1984","16-34 Jahre alt","Saarland","","","",""
"CDU","1984","16-34 Jahre alt","Berlin","","","",""
"CDU","1984","16-34 Jahre alt","Brandenburg","","","",""
"CDU","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"CDU","1984","16-34 Jahre alt","Sachsen","","","",""
"CDU","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"CDU","1984","16-34 Jahre alt","Thueringen","","","",""
