"plh0012_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","kein Migrationshintergrund","maennlich","1151","0.444271103691274","0.425182835419605","0.463359371962942"
"SPD","1984","kein Migrationshintergrund","weiblich","1206","0.446343447830423","0.427466325742179","0.465220569918667"
"SPD","1984","direkter Migrationshintergrund","maennlich","502","0.590838350265713","0.554204982769128","0.627471717762297"
"SPD","1984","direkter Migrationshintergrund","weiblich","289","0.506947022067568","0.459692655662078","0.554201388473059"
"SPD","1984","indirekter Migrationshintergrund","maennlich","","","",""
"SPD","1984","indirekter Migrationshintergrund","weiblich","","","",""
"CDU","1984","kein Migrationshintergrund","maennlich","768","0.298210216274331","0.280636007284092","0.31578442526457"
"CDU","1984","kein Migrationshintergrund","weiblich","850","0.332010484439797","0.314127429821402","0.349893539058192"
"CDU","1984","direkter Migrationshintergrund","maennlich","37","0.183784305449238","0.154927269190904","0.212641341707573"
"CDU","1984","direkter Migrationshintergrund","weiblich","37","0.237240198937177","0.197033177506361","0.277447220367993"
"CDU","1984","indirekter Migrationshintergrund","maennlich","","","",""
"CDU","1984","indirekter Migrationshintergrund","weiblich","","","",""
"CSU","1984","kein Migrationshintergrund","maennlich","137","0.0535621401310342","0.0449127393718556","0.0622115408902127"
"CSU","1984","kein Migrationshintergrund","weiblich","133","0.052044316216629","0.0436097713709054","0.0604788610623527"
"CSU","1984","direkter Migrationshintergrund","maennlich","","","",""
"CSU","1984","direkter Migrationshintergrund","weiblich","","","",""
"CSU","1984","indirekter Migrationshintergrund","maennlich","","","",""
"CSU","1984","indirekter Migrationshintergrund","weiblich","","","",""
"FDP","1984","kein Migrationshintergrund","maennlich","94","0.0368713898115209","0.0296320676652679","0.044110711957774"
"FDP","1984","kein Migrationshintergrund","weiblich","72","0.0281049903811336","0.0218289984385286","0.0343809823237385"
"FDP","1984","direkter Migrationshintergrund","maennlich","","","",""
"FDP","1984","direkter Migrationshintergrund","weiblich","","","",""
"FDP","1984","indirekter Migrationshintergrund","maennlich","","","",""
"FDP","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Buendnis90/Gruene","1984","kein Migrationshintergrund","maennlich","165","0.058303943954138","0.0493024343441077","0.0673054535641684"
"Buendnis90/Gruene","1984","kein Migrationshintergrund","weiblich","167","0.0547562163014773","0.0461170942243703","0.0633953383785843"
