"plh0012_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2357","0.445338721418029","0.431916463339741","0.458760979496318"
"SPD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","791","0.553600496777361","0.524512638239523","0.582688355315199"
"SPD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1618","0.315623234112845","0.303071649930181","0.328174818295509"
"CDU","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","74","0.207512416239083","0.183783935120158","0.231240897358007"
"CDU","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","270","0.0527801967817129","0.046741721137471","0.0588186724259549"
"CSU","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","166","0.0323551691438743","0.0275766177683474","0.0371337205194011"
"FDP","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","332","0.0564762470672509","0.0502421183425401","0.0627103757919617"
"Buendnis90/Gruene","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","89","0.072135510317563","0.0569975105616798","0.0872735100734463"
"Buendnis90/Gruene","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Andere","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Andere","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Andere","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","496","0.0914868339748224","0.0837008887548262","0.0992727791948187"
"CDU/CSU","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","131","0.10673809534648","0.0886704817711496","0.12480570892181"
"CDU/CSU","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/CSU","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2115","0.442077912199842","0.427976817656532","0.456179006743151"
"SPD","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","664","0.531050362007636","0.499531835606449","0.562568888408823"
"SPD","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","30","0.409355435136431","0.271677787353717","0.547033082919144"
"SPD","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1421","0.305032362686936","0.291959464211183","0.318105261162688"
"CDU","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","72","0.197891952256208","0.172728776512154","0.223055128000261"
"CDU","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","273","0.0612011467433992","0.0543952917202415","0.0680070017665568"
"CSU","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","187","0.0406845833188956","0.035075236578169","0.0462939300596222"
"FDP","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"FDP","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","319","0.060651706367073","0.0538744880523067","0.0674289246818394"
"Buendnis90/Gruene","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","84","0.0701880909750793","0.054053267631267","0.0863229143188917"
"Buendnis90/Gruene","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
