"plh0012_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","Westdeutschland, alte Bundeslaender","maennlich","1669","0.455355505538567","0.438428344689163","0.472282666387971"
"SPD","1984","Westdeutschland, alte Bundeslaender","weiblich","1507","0.449991391235304","0.432518063080837","0.467464719389771"
"SPD","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"SPD","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"CDU","1984","Westdeutschland, alte Bundeslaender","maennlich","807","0.289780108268749","0.274360158205691","0.305200058331806"
"CDU","1984","Westdeutschland, alte Bundeslaender","weiblich","887","0.325713739805788","0.309253771995121","0.342173707616454"
"CDU","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"CDU","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"CSU","1984","Westdeutschland, alte Bundeslaender","maennlich","142","0.051350913310047","0.043848877225239","0.058852949394855"
"CSU","1984","Westdeutschland, alte Bundeslaender","weiblich","142","0.052414765129775","0.0445872349377757","0.0602422953217742"
"CSU","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"CSU","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"FDP","1984","Westdeutschland, alte Bundeslaender","maennlich","104","0.0355069617487447","0.0292168469603888","0.0417970765371006"
"FDP","1984","Westdeutschland, alte Bundeslaender","weiblich","77","0.0270973916146422","0.0213946037770505","0.0328001794522338"
"FDP","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"FDP","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Buendnis90/Gruene","1984","Westdeutschland, alte Bundeslaender","maennlich","219","0.0583654352371988","0.0503970315757633","0.0663338388986342"
"Buendnis90/Gruene","1984","Westdeutschland, alte Bundeslaender","weiblich","212","0.0569920174084071","0.0488495976637152","0.065134437153099"
"Buendnis90/Gruene","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Buendnis90/Gruene","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Die Linke","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Die Linke","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Die Linke","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Die Linke","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Andere","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Andere","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Andere","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Andere","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
