"plh0012_h","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"SPD","1984","(noch) kein Abschluss","kein Migrationshintergrund","43","0.44116475245297","0.34235392810849","0.53997557679745"
"SPD","1984","(noch) kein Abschluss","direkter Migrationshintergrund","228","0.801114947551625","0.75350313681262","0.848726758290629"
"SPD","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"SPD","1984","Hauptschulabschluss","kein Migrationshintergrund","1685","0.505419335349686","0.488440602784001","0.52239806791537"
"SPD","1984","Hauptschulabschluss","direkter Migrationshintergrund","407","0.599602906237701","0.559378653383011","0.63982715909239"
"SPD","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"SPD","1984","Realschulabschluss","kein Migrationshintergrund","369","0.350963036653285","0.321514215605056","0.380411857701515"
"SPD","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"SPD","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"SPD","1984","(Fach-)Abitur","kein Migrationshintergrund","111","0.296711998096756","0.250722079133257","0.342701917060255"
"SPD","1984","(Fach-)Abitur","direkter Migrationshintergrund","75","0.445945535806071","0.358807006835894","0.533084064776248"
"SPD","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"SPD","1984","AkademikerInnen","kein Migrationshintergrund","144","0.305969080480819","0.262960315034138","0.348977845927501"
"SPD","1984","AkademikerInnen","direkter Migrationshintergrund","35","0.46544445138493","0.342273536888536","0.588615365881323"
"SPD","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"CDU","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"CDU","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"CDU","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"CDU","1984","Hauptschulabschluss","kein Migrationshintergrund","998","0.303299774247887","0.287689167125164","0.31891038137061"
"CDU","1984","Hauptschulabschluss","direkter Migrationshintergrund","41","0.20636096826979","0.173138189751189","0.239583746788391"
"CDU","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"CDU","1984","Realschulabschluss","kein Migrationshintergrund","349","0.360650863430734","0.331021996905143","0.390279729956325"
"CDU","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"CDU","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"CDU","1984","(Fach-)Abitur","kein Migrationshintergrund","107","0.301573741014744","0.255369107759642","0.347778374269846"
"CDU","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"CDU","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"CDU","1984","AkademikerInnen","kein Migrationshintergrund","140","0.342011048508835","0.297736089791869","0.386286007225802"
"CDU","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"CDU","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"CSU","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"CSU","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"CSU","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"CSU","1984","Hauptschulabschluss","kein Migrationshintergrund","198","0.0600545186877975","0.0519861645483597","0.0681228728272353"
"CSU","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"CSU","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"CSU","1984","Realschulabschluss","kein Migrationshintergrund","48","0.0490373574531002","0.0357129542708488","0.0623617606353515"
"CSU","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"CSU","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"CSU","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"CSU","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"CSU","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"CSU","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"CSU","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"CSU","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"FDP","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"FDP","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"FDP","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"FDP","1984","Hauptschulabschluss","kein Migrationshintergrund","71","0.0219432261466658","0.0169682265852507","0.0269182257080809"
"FDP","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"FDP","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"FDP","1984","Realschulabschluss","kein Migrationshintergrund","34","0.038211130672797","0.0263824222761687","0.0500398390694254"
"FDP","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"FDP","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"FDP","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"FDP","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"FDP","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"FDP","1984","AkademikerInnen","kein Migrationshintergrund","41","0.0915409856265147","0.064626303331374","0.118455667921655"
"FDP","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"FDP","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
