"plh0012_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","(noch) kein Abschluss","maennlich","157","0.496042826611474","0.430272801711711","0.561812851511237"
"SPD","1984","(noch) kein Abschluss","weiblich","118","0.672393914824886","0.597285200375311","0.74750262927446"
"SPD","1984","Hauptschulabschluss","maennlich","1086","0.519947776755402","0.497846770541822","0.542048782968983"
"SPD","1984","Hauptschulabschluss","weiblich","1021","0.502337868647364","0.480219494604699","0.524456242690028"
"SPD","1984","Realschulabschluss","maennlich","170","0.344601615920859","0.301863770477097","0.387339461364622"
"SPD","1984","Realschulabschluss","weiblich","234","0.350469620283941","0.312913807139243","0.38802543342864"
"SPD","1984","(Fach-)Abitur","maennlich","123","0.345915924206421","0.292620558899813","0.399211289513029"
"SPD","1984","(Fach-)Abitur","weiblich","64","0.264247212340676","0.203290543219745","0.325203881461607"
"SPD","1984","AkademikerInnen","maennlich","123","0.321539621372125","0.27225424962301","0.37082499312124"
"SPD","1984","AkademikerInnen","weiblich","57","0.30880719534251","0.237443313948147","0.380171076736873"
"CDU","1984","(noch) kein Abschluss","maennlich","","","",""
"CDU","1984","(noch) kein Abschluss","weiblich","","","",""
"CDU","1984","Hauptschulabschluss","maennlich","465","0.273799860674451","0.254074147378247","0.293525573970655"
"CDU","1984","Hauptschulabschluss","weiblich","576","0.319457631258631","0.298831291891473","0.34008397062579"
"CDU","1984","Realschulabschluss","maennlich","157","0.357050833122548","0.313963002333503","0.400138663911593"
"CDU","1984","Realschulabschluss","weiblich","208","0.361233254231224","0.323422333116264","0.399044175346183"
"CDU","1984","(Fach-)Abitur","maennlich","67","0.279400350284255","0.229125837065944","0.329674863502565"
"CDU","1984","(Fach-)Abitur","weiblich","48","0.307724112554217","0.243916803607536","0.371531421500898"
"CDU","1984","AkademikerInnen","maennlich","102","0.324683482334081","0.275272632073853","0.37409433259431"
"CDU","1984","AkademikerInnen","weiblich","45","0.346478342568005","0.27297565959585","0.419981025540161"
"CSU","1984","(noch) kein Abschluss","maennlich","","","",""
"CSU","1984","(noch) kein Abschluss","weiblich","","","",""
