"plh0012_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"SPD","1984","16-34 Jahre alt","kein Migrationshintergrund","727","0.44455219982561","0.420436264090189","0.46866813556103"
"SPD","1984","16-34 Jahre alt","direkter Migrationshintergrund","304","0.546481990964851","0.499591007785606","0.593372974144096"
"SPD","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1984","35-65 Jahre alt","kein Migrationshintergrund","1317","0.455774549190312","0.437566258921774","0.47398283945885"
"SPD","1984","35-65 Jahre alt","direkter Migrationshintergrund","481","0.57285358135079","0.535453404528487","0.610253758173092"
"SPD","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1984","66 und älter","kein Migrationshintergrund","313","0.417597316034163","0.382581751018242","0.452612881050083"
"SPD","1984","66 und älter","direkter Migrationshintergrund","","","",""
"SPD","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"CDU","1984","16-34 Jahre alt","kein Migrationshintergrund","365","0.22687141447047","0.206546119106009","0.247196709834931"
"CDU","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"CDU","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU","1984","35-65 Jahre alt","kein Migrationshintergrund","970","0.341769602704623","0.324429151529504","0.359110053879743"
"CDU","1984","35-65 Jahre alt","direkter Migrationshintergrund","49","0.218218493010591","0.186989935278313","0.249447050742869"
"CDU","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU","1984","66 und älter","kein Migrationshintergrund","283","0.372110190902086","0.33779012567484","0.406430256129331"
"CDU","1984","66 und älter","direkter Migrationshintergrund","","","",""
"CDU","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"CSU","1984","16-34 Jahre alt","kein Migrationshintergrund","53","0.0340472889819277","0.0252461209666956","0.0428484569971597"
"CSU","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"CSU","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CSU","1984","35-65 Jahre alt","kein Migrationshintergrund","167","0.0596704578532178","0.0510103273933968","0.0683305883130389"
"CSU","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"CSU","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CSU","1984","66 und älter","kein Migrationshintergrund","50","0.0609069490824988","0.0439261414695889","0.0778877566954087"
"CSU","1984","66 und älter","direkter Migrationshintergrund","","","",""
"CSU","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"FDP","1984","16-34 Jahre alt","kein Migrationshintergrund","33","0.0203066832694916","0.0134614905351405","0.0271518760038426"
"FDP","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1984","35-65 Jahre alt","kein Migrationshintergrund","102","0.0351348412036386","0.0284034160879595","0.0418662663193176"
"FDP","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1984","66 und älter","kein Migrationshintergrund","31","0.0421541886001539","0.0278869877658302","0.0564213894344777"
"FDP","1984","66 und älter","direkter Migrationshintergrund","","","",""
"FDP","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","16-34 Jahre alt","kein Migrationshintergrund","263","0.159331460559241","0.141569770939438","0.177093150179043"
"Buendnis90/Gruene","1984","16-34 Jahre alt","direkter Migrationshintergrund","59","0.145459012995064","0.112251151423222","0.178666874566906"
"Buendnis90/Gruene","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","35-65 Jahre alt","kein Migrationshintergrund","62","0.0200474629902935","0.0149231347582834","0.0251717912223035"
"Buendnis90/Gruene","1984","35-65 Jahre alt","direkter Migrationshintergrund","30","0.0414950743804827","0.0264165479116365","0.056573600849329"
"Buendnis90/Gruene","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","66 und älter","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Die Linke","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Die Linke","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Die Linke","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Die Linke","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Die Linke","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Die Linke","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Die Linke","1984","66 und älter","kein Migrationshintergrund","","","",""
"Die Linke","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Die Linke","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Andere","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Andere","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Andere","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Andere","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Andere","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
